date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
12.02.2017,2017,italy,serie-d-group-a-2016-2017,Triestina,Este,1.46,4.0,5.9,1.81,2.01,1.62,2.2,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2016-2017/monza-mestre-8ARaki7C/,1,4,1
14.05.2017,2017,italy,serie-d-group-a-2016-2017,Rende,Gela,1.74,3.5,3.96,2.34,1.52,1.73,2.0,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2016-2017/bisceglie-ravenna-v1dzZFFf/,1,3,1
26.02.2017,2017,italy,serie-d-group-a-2016-2017,Triestina,ArzignanoChiampo,1.61,3.36,4.77,1.94,1.75,1.67,2.1,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2016-2017/monza-ravenna-rwiQe2tm/,1,1,0
21.05.2017,2017,italy,serie-d-group-c-2016-2017,Olginatese,Lecco,1.83,3.46,3.62,1.90,1.90,1.8,1.91,https://www.oddsportal.com/soccer/italy/serie-d-group-c-2016-2017/arzignanochiampo-tamai-OCMqF8BQ/,2,5,1
21.05.2017,2017,italy,serie-d-group-c-2016-2017,Imolese,Delta Porto Tolle,2.12,3.2,3.09,1.99,1.74,1.67,2.1,https://www.oddsportal.com/soccer/italy/serie-d-group-c-2016-2017/calvi-noale-legnago-salus-td5emaMG/,1,1,0
04.02.2018,2018,italy,serie-d-group-c-2017-2018,Delta Porto Tolle,Tamai,2.06,3.32,3.3,1.53,2.40,1.45,2.63,https://www.oddsportal.com/soccer/italy/serie-d-group-c-2017-2018/delta-porto-tolle-tamai-pv1bkNqL/,2,2,0
07.01.2018,2018,italy,serie-d-group-c-2017-2018,Montebelluna,Calvi Noale,1.83,3.28,4.18,1.92,1.82,1.73,2.0,https://www.oddsportal.com/soccer/italy/serie-d-group-c-2017-2018/montebelluna-calvi-noale-KGZQR7Ua/,0,0,0
29.03.2018,2018,italy,serie-d-group-c-2017-2018,Este,Mantova,2.28,3.26,2.9,1.78,1.97,1.57,2.25,https://www.oddsportal.com/soccer/italy/serie-d-group-c-2017-2018/este-mantova-lSu5TZNf/,0,0,0
03.09.2017,2017,italy,serie-d-group-c-2017-2018,Campodarsego,Ambrosiana,1.51,3.8,5.45,1.57,2.24,1.57,2.25,https://www.oddsportal.com/soccer/italy/serie-d-group-c-2017-2018/montebelluna-arzignanochiampo-bNbnhPa2/,1,3,1
20.05.2018,2018,italy,serie-d-group-a-2017-2018,Cavese,Taranto,1.84,3.44,3.9,1.69,2.09,1.57,2.25,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2017-2018/cavese-taranto-lhcu5ZoM/,1,4,1
25.03.2018,2018,italy,serie-d-group-c-2017-2018,Montebelluna,Ambrosiana,2.41,3.37,2.47,1.67,2.05,1.53,2.38,https://www.oddsportal.com/soccer/italy/serie-d-group-c-2017-2018/montebelluna-ambrosiana-SxonzouA/,0,2,1
19.05.2018,2018,italy,serie-d-group-c-2017-2018,San Severo,Nerostellati Frattese,2.01,3.36,3.38,1.87,1.87,1.62,2.2,https://www.oddsportal.com/soccer/italy/serie-d-group-c-2017-2018/montebelluna-delta-porto-tolle-OrPK7JHu/,2,3,1
22.04.2018,2018,italy,serie-d-group-c-2017-2018,Calvi Noale,Adriese,4.46,3.84,1.65,1.64,2.18,1.62,2.2,https://www.oddsportal.com/soccer/italy/serie-d-group-c-2017-2018/calvi-noale-adriese-OvyHEXDP/,2,4,0
23.05.2018,2018,italy,serie-d-group-a-2017-2018,Rieti,Vibonese,2.2,3.48,2.79,1.66,2.15,1.57,2.25,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2017-2018/fc-rieti-vibonese-AsOXofup/,2,3,1
