date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
14.05.2017,2017,italy,serie-d-group-a-2016-2017,S. N. Notaresco,Vis Pesaro,1.86,3.24,3.72,2.34,1.52,1.73,2.0,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2016-2017/bisceglie-ravenna-v1dzZFFf/,2,1,0
05.03.2017,2017,italy,serie-d-group-a-2016-2017,Ravenna,Adriese,1.41,4.0,6.9,1.81,2.01,1.62,2.2,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2016-2017/monza-mestre-8ARaki7C/,1,2,0
24.05.2017,2017,italy,serie-d-group-a-2016-2017,Bisceglie,Sicula Leonzio,3.62,1.58,5.89,2.48,1.51,1.91,1.8,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2016-2017/bisceglie-sicula-leonzio-UPF8mVyP/,0,2,1
11.12.2016,2016,italy,serie-d-group-a-2016-2017,Scandicci,Fiorenzuola,1.77,3.26,3.93,1.94,1.75,1.67,2.1,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2016-2017/monza-ravenna-rwiQe2tm/,2,2,0
10.12.2017,2017,italy,serie-d-group-d-2017-2018,Romagna Centro,Sasso Marconi,1.93,3.3,3.46,1.97,1.78,1.57,2.25,https://www.oddsportal.com/soccer/italy/serie-d-group-d-2017-2018/correggese-lentigione-v94TCoIP/,1,3,0
23.05.2018,2018,italy,serie-d-group-a-2017-2018,Albissola,Vis Pesaro,1.67,3.95,4.49,1.72,2.05,1.62,2.2,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2017-2018/albissola-vis-pesaro-0Ye43MAH/,1,2,0
17.12.2017,2017,italy,serie-d-group-d-2017-2018,Rimini,Vivi Altotevere,1.47,4.2,5.85,1.73,2.03,1.67,2.1,https://www.oddsportal.com/soccer/italy/serie-d-group-d-2017-2018/rimini-vivi-altotevere-sansepolcro-zVf2QJ4F/,1,1,0
08.10.2017,2017,italy,serie-d-group-a-2017-2018,Correggese,Sammaurese,2.22,3.28,2.79,1.69,2.09,1.57,2.25,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2017-2018/cavese-taranto-lhcu5ZoM/,1,1,0
26.11.2017,2017,italy,serie-d-group-d-2017-2018,Lentigione,Sasso Marconi,1.84,3.3,4.1,2.11,1.61,1.73,2.0,https://www.oddsportal.com/soccer/italy/serie-d-group-d-2017-2018/romagna-centro-sammaurese-hEHsz0c0/,0,0,0
13.09.2017,2017,italy,serie-d-group-d-2017-2018,Fiorenzuola,Pianese,2.36,3.26,2.51,1.84,1.87,1.67,2.1,https://www.oddsportal.com/soccer/italy/serie-d-group-d-2017-2018/fiorenzuola-pianese-Q3X2sr5Q/,1,1,0
23.05.2018,2018,italy,serie-d-group-a-2017-2018,Rieti,Vibonese,2.2,3.48,2.79,1.66,2.15,1.57,2.25,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2017-2018/fc-rieti-vibonese-AsOXofup/,2,3,1
26.11.2017,2017,italy,serie-d-group-d-2017-2018,Sammaurese,Villabiagio,2.27,3.24,2.75,2.25,1.60,1.8,1.91,https://www.oddsportal.com/soccer/italy/serie-d-group-d-2017-2018/correggese-mezzolara-dWH3JKAE/,1,1,0
08.04.2018,2018,italy,serie-d-group-d-2017-2018,Colligiana,Sasso Marconi,2.7,3.24,2.44,2.00,1.76,1.73,2.0,https://www.oddsportal.com/soccer/italy/serie-d-group-d-2017-2018/colligiana-sasso-marconi-pGxsXwuE/,0,0,0
19.11.2017,2017,italy,serie-d-group-d-2017-2018,Sasso Marconi,Colligiana,2.12,3.4,2.88,1.65,2.20,1.5,2.5,https://www.oddsportal.com/soccer/italy/serie-d-group-d-2017-2018/sasso-marconi-colligiana-hWIZ1O40/,1,4,0
03.09.2017,2017,italy,serie-d-group-d-2017-2018,Romagna Centro,Villabiagio,1.82,3.4,3.76,1.95,1.85,1.91,1.8,https://www.oddsportal.com/soccer/italy/serie-d-group-d-2017-2018/fiorenzuola-colligiana-jgH7IvQK/,2,5,1
29.03.2018,2018,italy,serie-d-group-d-2017-2018,Sasso Marconi,Sammaurese,2.61,2.84,2.88,2.46,1.49,2.1,1.67,https://www.oddsportal.com/soccer/italy/serie-d-group-d-2017-2018/sasso-marconi-sammaurese-dfdnBdIf/,2,1,0
22.10.2017,2017,italy,serie-d-group-d-2017-2018,Tuttocuoio,Sasso Marconi,1.77,3.38,3.94,2.77,1.41,2.5,1.49,https://www.oddsportal.com/soccer/italy/serie-d-group-d-2017-2018/correggese-sasso-marconi-WtYbrOkK/,0,2,1
06.05.2018,2018,italy,serie-d-group-d-2017-2018,Trestina,Pianese,2.21,3.58,2.78,1.70,2.08,1.57,2.25,https://www.oddsportal.com/soccer/italy/serie-d-group-d-2017-2018/sporting-trestina-pianese-06HyqYZf/,1,4,1
20.09.2017,2017,italy,serie-d-group-a-2017-2018,Colligiana,Tuttocuoio,2.4,3.5,2.42,1.73,2.03,1.62,2.2,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2017-2018/matelica-aquila-calcio-CpFaq8fC/,0,2,1
29.03.2018,2018,italy,serie-d-group-d-2017-2018,Rimini,Imolese,1.84,3.35,4.09,1.96,1.80,1.67,2.1,https://www.oddsportal.com/soccer/italy/serie-d-group-d-2017-2018/rimini-imolese-lUdrCx3l/,1,3,1
13.05.2018,2018,italy,serie-d-group-a-2017-2018,Altamura,Taranto,2.41,3.24,2.73,1.73,2.03,1.67,2.1,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2017-2018/altamura-taranto-QshM09Pn/,2,2,0
29.03.2018,2018,italy,serie-d-group-a-2017-2018,Castelvetro,Vigor Carpaneto,2.34,3.05,2.99,1.89,1.85,1.67,2.1,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2017-2018/pergolettese-darfo-boario-reMupY9d/,2,3,0
10.09.2017,2017,italy,serie-d-group-d-2017-2018,Sasso Marconi,Trestina,2.39,3.2,2.62,1.90,1.84,1.67,2.1,https://www.oddsportal.com/soccer/italy/serie-d-group-d-2017-2018/mezzolara-forli-fc-EwZRSi9G/,2,3,1
26.11.2017,2017,italy,serie-d-group-a-2017-2018,Montevarchi Calcio,Vivi Altotevere,1.78,3.48,3.8,1.69,2.09,1.62,2.2,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2017-2018/cavese-audace-cerignola-rJ2H1kAt/,1,2,0
02.06.2018,2018,italy,serie-d-group-a-2017-2018,Pro Patria,Vibonese,2.46,3.12,2.76,1.89,1.86,1.62,2.2,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2017-2018/pro-patria-vibonese-j1w7kWeg/,1,3,1
03.09.2017,2017,italy,serie-d-group-d-2017-2018,Rimini,Fiorenzuola,1.59,3.6,4.88,2.09,1.69,1.83,1.83,https://www.oddsportal.com/soccer/italy/serie-d-group-d-2017-2018/tuttocuoio-vigor-carpaneto-rDBdr1qp/,0,2,1
03.12.2017,2017,italy,serie-d-group-a-2017-2018,Sasso Marconi,Imolese,3.66,3.5,1.88,1.61,2.23,1.57,2.25,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2017-2018/rezzato-darfo-boario-hzaQU8uJ/,2,2,0
