date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
14.05.2017,2017,italy,serie-d-group-a-2016-2017,S. N. Notaresco,Vis Pesaro,1.86,3.24,3.72,2.34,1.52,1.73,2.0,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2016-2017/bisceglie-ravenna-v1dzZFFf/,2,1,0
23.04.2017,2017,italy,serie-d-group-e-2016-2017,Finale,Sanremese,2.12,3.1,3.18,1.83,1.85,1.62,2.2,https://www.oddsportal.com/soccer/italy/serie-d-group-e-2016-2017/valdinievole-montecatini-finale-Wnk0u7UF/,1,2,0
13.04.2017,2017,italy,serie-d-group-a-2016-2017,Fezzanese,Massese,4.42,3.5,1.63,1.74,2.06,1.57,2.25,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2016-2017/sicula-leonzio-monza-dx7VZe0l/,1,3,0
13.11.2016,2016,italy,serie-d-group-a-2016-2017,Valdinievole Montecatini,Follonica Gavorrano,2.6,3.2,2.42,1.81,2.01,1.62,2.2,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2016-2017/monza-mestre-8ARaki7C/,0,2,1
13.05.2017,2017,italy,serie-d-group-e-2016-2017,Fermana,Ravenna,1.99,3.17,3.11,1.90,1.90,1.67,2.1,https://www.oddsportal.com/soccer/italy/serie-d-group-e-2016-2017/ligorna-argentina-hdjdtmF9/,2,1,0
18.12.2016,2016,italy,serie-d-group-e-2016-2017,Valdinievole Montecatini,Viareggio,1.42,3.88,6.6,1.90,1.90,1.83,1.83,https://www.oddsportal.com/soccer/italy/serie-d-group-e-2016-2017/follonica-gavorrano-ligorna-AcSbYIbr/,1,1,0
18.12.2016,2016,italy,serie-d-group-a-2016-2017,Follonica Gavorrano,Finale,1.69,3.4,4.4,2.48,1.51,1.91,1.8,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2016-2017/bisceglie-sicula-leonzio-UPF8mVyP/,1,7,1
15.02.2017,2017,italy,serie-d-group-e-2016-2017,Savona,Ghivizzano Borgo,1.51,3.96,5.7,1.97,1.78,1.91,1.8,https://www.oddsportal.com/soccer/italy/serie-d-group-e-2016-2017/savona-ghivizzano-borgo-a-mozzano-ERtTwuyL/,0,2,1
29.01.2017,2017,italy,serie-d-group-e-2016-2017,Sestri Levante,Sporting Recco,1.62,3.4,4.88,1.75,2.05,1.67,2.1,https://www.oddsportal.com/soccer/italy/serie-d-group-e-2016-2017/follonica-gavorrano-ponsacco-pt424vp2/,1,3,0
13.04.2017,2017,italy,serie-d-group-a-2016-2017,Real Forte Querceta,Lavagnese,1.97,3.3,3.28,1.94,1.75,1.67,2.1,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2016-2017/monza-ravenna-rwiQe2tm/,1,1,0
27.05.2018,2018,italy,serie-d-group-a-2017-2018,Vesuvio Ercolanese,Igea Virtus,2.05,3.01,3.51,1.77,1.97,1.67,2.1,https://www.oddsportal.com/soccer/italy/serie-d-group-a-2017-2018/vesuvio-ercolanese-igea-virtus-GpbVouA7/,2,3,0
