date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
21.09.2016,2016,netherlands,knvb-beker-2016-2017,Katwijk,Harkemase Boys,1.27,6.0,11.0,1.71,2.19,2.3,1.58,https://www.oddsportal.com/soccer/netherlands/knvb-beker-2016-2017/katwijk-harkemase-boys-n54FZrSK/#1X2;2,1,3,1
20.09.2016,2016,netherlands,knvb-beker-2016-2017,EVV,Waalwijk,4.26,4.0,1.77,1.48,2.73,1.49,2.51,https://www.oddsportal.com/soccer/netherlands/knvb-beker-2016-2017/evv-waalwijk-Ieq29nEF/#1X2;2,2,3,0
20.09.2016,2016,netherlands,knvb-beker-2016-2017,Rijnsburgse Boys,Almere City,7.7,2.8,1.66,1.27,3.68,1.55,2.36,https://www.oddsportal.com/soccer/netherlands/knvb-beker-2016-2017/rijnsburgse-boys-almere-city-dvfkTt5l/#1X2;2,2,2,0
21.09.2016,2016,netherlands,knvb-beker-2016-2017,Spakenburg,Sittard,2.85,3.64,2.36,1.45,2.85,1.32,3.2,https://www.oddsportal.com/soccer/netherlands/knvb-beker-2016-2017/spakenburg-sittard-rDoTNoT8/#1X2;2,1,3,1
21.09.2016,2016,netherlands,knvb-beker-2016-2017,PSV,Roda,1.25,6.4,10.5,1.37,3.03,1.83,1.81,https://www.oddsportal.com/soccer/netherlands/knvb-beker-2016-2017/psv-roda-p6ikClUd/#1X2;2,1,4,0
14.12.2016,2016,netherlands,knvb-beker-2016-2017,Vitesse,Jodan Boys,1.03,18.28,49.84,1.07,5.68,2.41,1.63,https://www.oddsportal.com/soccer/netherlands/knvb-beker-2016-2017/vitesse-jodan-boys-jTBxaECd/#1X2;2,1,4,0
25.10.2016,2016,netherlands,knvb-beker-2016-2017,G.A. Eagles,Jodan Boys,1.11,9.46,18.5,1.25,3.70,1.95,1.83,https://www.oddsportal.com/soccer/netherlands/knvb-beker-2016-2017/g-a-eagles-jodan-boys-nFFHaHnD/#1X2;2,2,3,1
26.10.2016,2016,netherlands,knvb-beker-2016-2017,Utrecht,Groningen,1.74,3.86,4.36,1.65,2.24,1.57,2.38,https://www.oddsportal.com/soccer/netherlands/knvb-beker-2016-2017/utrecht-groningen-pOIbKiOu/#1X2;2,1,1,0
26.10.2016,2016,netherlands,knvb-beker-2016-2017,Feyenoord,Excelsior,1.18,7.04,13.0,1.35,3.12,1.8,1.99,https://www.oddsportal.com/soccer/netherlands/knvb-beker-2016-2017/feyenoord-excelsior-0I3aO0PD/#1X2;2,1,4,0
26.01.2017,2017,netherlands,knvb-beker-2016-2017,Vitesse,Feyenoord,3.67,3.53,2.05,1.84,2.02,1.72,2.26,https://www.oddsportal.com/soccer/netherlands/knvb-beker-2016-2017/vitesse-feyenoord-EDqNGEgh/#1X2;2,1,2,0
01.03.2017,2017,netherlands,knvb-beker-2016-2017,Sparta Rotterdam,Vitesse,3.21,3.41,2.24,1.87,1.97,1.71,2.24,https://www.oddsportal.com/soccer/netherlands/knvb-beker-2016-2017/sparta-rotterdam-vitesse-Aa9N0IJi/#1X2;2,2,3,1
26.10.2016,2016,netherlands,knvb-beker-2016-2017,AZ Alkmaar,FC Emmen,1.21,6.47,12.25,1.38,3.10,1.73,2.08,https://www.oddsportal.com/soccer/netherlands/knvb-beker-2016-2017/az-alkmaar-fc-emmen-redT4COh/#1X2;2,1,1,0
21.09.2016,2016,netherlands,knvb-beker-2016-2017,Lienden,AZ Alkmaar,11.0,6.55,1.24,1.29,3.56,1.52,2.43,https://www.oddsportal.com/soccer/netherlands/knvb-beker-2016-2017/lienden-az-alkmaar-jwkyMPcL/#1X2;2,2,5,1
