date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
17.01.2021,2021,nigeria,npfl,Jigawa Golden Stars,Kwara,1.67,3.16,5.57,3.06,1.31,2.88,1.38,https://www.oddsportal.com/soccer/nigeria/npfl/jigawa-golden-stars-kwara-fcYlmOtP/,0,0,0
17.01.2021,2021,nigeria,npfl,Nasarawa,Katsina Utd,1.45,3.67,7.77,2.68,1.42,2.99,1.36,https://www.oddsportal.com/soccer/nigeria/npfl/nasarawa-united-katsina-utd-2qTUinSg/,1,1,0
07.03.2021,2021,nigeria,npfl,Rivers United,Jigawa Golden Stars,1.31,4.29,9.33,2.14,1.67,2.71,1.42,https://www.oddsportal.com/soccer/nigeria/npfl/rivers-united-jigawa-golden-stars-CYhAjZ3G/,1,2,0
10.01.2021,2021,nigeria,npfl,Lobi Stars,Warri Wolves,1.58,3.43,5.94,2.56,1.44,2.62,1.45,https://www.oddsportal.com/soccer/nigeria/npfl/lobi-warri-wolves-YmmjtkTs/,1,3,0
24.02.2021,2021,nigeria,npfl,Kwara,Abia Warriors,1.52,3.75,5.97,2.25,1.61,2.28,1.59,https://www.oddsportal.com/soccer/nigeria/npfl/kwara-abia-warriors-2LQKuIkb/,0,2,1
13.01.2021,2021,nigeria,npfl,Abia Warriors,Jigawa Golden Stars,1.57,3.42,6.27,2.60,1.43,2.76,1.4,https://www.oddsportal.com/soccer/nigeria/npfl/abia-warriors-jigawa-golden-stars-MVf8zocJ/,2,4,1
10.01.2021,2021,nigeria,npfl,Katsina Utd,Adamawa Utd,1.23,4.92,11.75,2.04,1.71,2.87,1.38,https://www.oddsportal.com/soccer/nigeria/npfl/katsina-utd-adamawa-utd-rLamqIqM/,1,2,0
10.01.2021,2021,nigeria,npfl,MFM FC,Sunshine Stars,1.61,3.35,5.82,2.51,1.46,2.6,1.46,https://www.oddsportal.com/soccer/nigeria/npfl/mfm-fc-sunshine-stars-dOPMcHbF/,1,1,0
28.02.2021,2021,nigeria,npfl,Enugu Rangers,Heartland,1.68,3.39,5.09,2.42,1.52,2.29,1.58,https://www.oddsportal.com/soccer/nigeria/npfl/enugu-rangers-heartland-fc-Mq0cgyKc/,1,2,0
14.03.2021,2021,nigeria,npfl,Ifeanyi Ubah,Rivers United,2.16,2.85,3.65,3.03,1.33,2.45,1.51,https://www.oddsportal.com/soccer/nigeria/npfl/fc-ifeanyi-ubah-rivers-united-xtGe2W2S/,0,0,0
24.02.2021,2021,nigeria,npfl,Enyimba,Akwa United,1.46,3.75,7.01,2.50,1.50,2.67,1.44,https://www.oddsportal.com/soccer/nigeria/npfl/enyimba-international-akwa-united-E1Pqv5Eg/,0,2,1
08.03.2021,2021,nigeria,npfl,Warri Wolves,Akwa United,1.77,3.08,5.07,2.88,1.36,2.94,1.37,https://www.oddsportal.com/soccer/nigeria/npfl/warri-wolves-akwa-united-4SHm4hYF/,0,0,0
24.02.2021,2021,nigeria,npfl,Wikki Tourist,Enugu Rangers,1.88,3.15,4.19,2.81,1.37,2.53,1.48,https://www.oddsportal.com/soccer/nigeria/npfl/wikki-tourists-enugu-rangers-ppWFtbzh/,1,3,1
07.03.2021,2021,nigeria,npfl,Wikki Tourist,Kwara,1.79,3.02,4.95,2.86,1.36,2.64,1.44,https://www.oddsportal.com/soccer/nigeria/npfl/wikki-tourists-kwara-jPDq5YI9/,0,2,1
03.01.2021,2021,nigeria,npfl,Sunshine Stars,Ifeanyi Ubah,1.64,3.28,5.71,2.67,1.41,2.6,1.46,https://www.oddsportal.com/soccer/nigeria/npfl/sunshine-stars-fc-ifeanyi-ubah-vHxqqh8N/,1,1,0
02.01.2021,2021,nigeria,npfl,Abia Warriors,Rivers United,2.35,2.85,3.18,2.68,1.41,2.17,1.64,https://www.oddsportal.com/soccer/nigeria/npfl/abia-warriors-rivers-united-h0zXofO4/,2,1,0
07.03.2021,2021,nigeria,npfl,Nasarawa,Lobi Stars,1.64,3.25,5.72,2.62,1.42,2.59,1.46,https://www.oddsportal.com/soccer/nigeria/npfl/nasarawa-united-lobi-KvrppXtp/,1,1,0
13.01.2021,2021,nigeria,npfl,Warri Wolves,Katsina Utd,1.61,3.37,5.81,2.55,1.44,2.59,1.46,https://www.oddsportal.com/soccer/nigeria/npfl/warri-wolves-katsina-utd-Y9OQhSCm/,1,3,0
27.12.2020,2020,nigeria,npfl,Nasarawa,Wikki Tourist,1.57,3.32,6.53,2.96,1.34,3.09,1.34,https://www.oddsportal.com/soccer/nigeria/npfl/nasarawa-united-wikki-tourists-pG8sywAn/,1,3,1
21.02.2021,2021,nigeria,npfl,MFM FC,Adamawa Utd,1.35,3.99,9.4,2.45,1.51,3.18,1.32,https://www.oddsportal.com/soccer/nigeria/npfl/mfm-fc-adamawa-utd-rLuQNqUC/,1,2,0
14.03.2021,2021,nigeria,npfl,Kwara,Heartland,1.4,3.94,8.28,2.45,1.52,2.93,1.37,https://www.oddsportal.com/soccer/nigeria/npfl/kwara-heartland-fc-vPjH1KTE/,0,0,0
09.01.2021,2021,nigeria,npfl,Akwa United,Abia Warriors,1.37,3.98,8.93,2.50,1.51,2.85,1.38,https://www.oddsportal.com/soccer/nigeria/npfl/akwa-united-abia-warriors-ngrWzfi2/,1,3,1
21.02.2021,2021,nigeria,npfl,Ifeanyi Ubah,Katsina Utd,1.6,3.29,5.98,2.64,1.42,2.6,1.44,https://www.oddsportal.com/soccer/nigeria/npfl/fc-ifeanyi-ubah-katsina-utd-lbtMOPE6/,1,3,0
10.01.2021,2021,nigeria,npfl,Enyimba,Wikki Tourist,1.39,3.73,8.15,2.55,1.43,2.94,1.35,https://www.oddsportal.com/soccer/nigeria/npfl/enyimba-international-wikki-tourists-tduOxGMk/,1,1,0
27.12.2020,2020,nigeria,npfl,Ifeanyi Ubah,Lobi Stars,1.99,2.97,3.95,2.67,1.42,2.28,1.57,https://www.oddsportal.com/soccer/nigeria/npfl/fc-ifeanyi-ubah-lobi-Kh36VYwO/,1,1,0
14.03.2021,2021,nigeria,npfl,Dakkada FC,Katsina Utd,1.37,4.12,8.45,2.21,1.63,2.69,1.42,https://www.oddsportal.com/soccer/nigeria/npfl/dakkada-fc-katsina-utd-SQMSfle2/,1,1,0
28.02.2021,2021,nigeria,npfl,Ifeanyi Ubah,Plateau United,1.74,3.22,5.04,2.71,1.42,2.49,1.49,https://www.oddsportal.com/soccer/nigeria/npfl/fc-ifeanyi-ubah-plateau-united-W0IyxzkN/,0,0,0
07.03.2021,2021,nigeria,npfl,Plateau United,MFM FC,1.35,4.04,8.65,2.29,1.58,2.7,1.42,https://www.oddsportal.com/soccer/nigeria/npfl/plateau-united-mfm-fc-pniIlDYS/,1,4,1
21.02.2021,2021,nigeria,npfl,Abia Warriors,Warri Wolves,1.52,3.46,6.67,2.64,1.42,2.87,1.37,https://www.oddsportal.com/soccer/nigeria/npfl/abia-warriors-warri-wolves-Wxzuuoam/,1,5,1
07.03.2021,2021,nigeria,npfl,Kano Pillars,Enugu Rangers,1.55,3.42,6.45,2.57,1.44,2.75,1.41,https://www.oddsportal.com/soccer/nigeria/npfl/kano-pillars-enugu-rangers-U9Pz7flc/,0,2,1
14.03.2021,2021,nigeria,npfl,Enugu Rangers,Adamawa Utd,1.12,6.82,20.17,1.83,1.93,3.26,1.27,https://www.oddsportal.com/soccer/nigeria/npfl/enugu-rangers-adamawa-utd-Wbm93ta2/,1,1,0
13.01.2021,2021,nigeria,npfl,Heartland,Enyimba,2.42,2.86,3.04,2.64,1.42,2.21,1.63,https://www.oddsportal.com/soccer/nigeria/npfl/heartland-fc-enyimba-international-Oxt3wmD0/,1,2,0
