date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
02.12.2018,2018,portugal,campeonato-de-portugal-2018-2019,SC Praiense,Real SC,1.97,3.29,3.54,2.10,1.67,1.87,1.84,https://www.oddsportal.com/soccer/portugal/campeonato-de-portugal-2018-2019/sc-praiense-real-sc-zTNqGbAi/,1,1,0
10.03.2019,2019,portugal,campeonato-de-portugal-2018-2019,Agueda,Cinfaes,1.66,3.54,4.95,2.27,1.56,2.31,1.58,https://www.oddsportal.com/soccer/portugal/campeonato-de-portugal-2018-2019/agueda-cinfaes-OpUC4r7g/,0,4,1
19.08.2018,2018,portugal,campeonato-de-portugal-2018-2019,Alcains,Alverca,2.65,3.31,2.41,2.17,1.62,1.92,1.88,https://www.oddsportal.com/soccer/portugal/campeonato-de-portugal-2018-2019/alcains-alverca-CYrr4Z4q/,0,4,1
24.02.2019,2019,portugal,campeonato-de-portugal-2018-2019,Gil Vicente,SC Mirandela,2.27,3.29,2.85,2.13,1.63,1.89,1.91,https://www.oddsportal.com/soccer/portugal/campeonato-de-portugal-2018-2019/gil-vicente-sc-mirandela-fmN70mIC/,1,1,0
28.10.2018,2018,portugal,campeonato-de-portugal-2018-2019,Vizela,SC Mirandela,1.54,4.16,4.31,1.93,1.79,2.0,1.73,https://www.oddsportal.com/soccer/portugal/campeonato-de-portugal-2018-2019/vizela-sc-mirandela-OMs1hbpl/,1,3,1
23.09.2018,2018,portugal,campeonato-de-portugal-2018-2019,Olhanense,SC Praiense,2.19,3.28,2.92,1.77,1.99,1.55,2.28,https://www.oddsportal.com/soccer/portugal/campeonato-de-portugal-2018-2019/olhanense-sc-praiense-CIxrIQvn/,0,2,1
13.01.2019,2019,portugal,campeonato-de-portugal-2018-2019,SC Mirandela,Mirandes,1.33,4.45,7.35,1.69,2.07,1.91,1.8,https://www.oddsportal.com/soccer/portugal/campeonato-de-portugal-2018-2019/sc-mirandela-mirandes-OpUpWPk7/,1,4,1
09.12.2018,2018,portugal,campeonato-de-portugal-2018-2019,Olhanense,Ferreiras,2.02,3.38,3.2,2.13,1.65,1.83,1.88,https://www.oddsportal.com/soccer/portugal/campeonato-de-portugal-2018-2019/olhanense-ferreiras-AoGdDdfA/,1,5,0
04.11.2018,2018,portugal,campeonato-de-portugal-2018-2019,Olhanense,Vasco da Gama,1.35,4.17,7.31,1.64,2.08,1.85,1.86,https://www.oddsportal.com/soccer/portugal/campeonato-de-portugal-2018-2019/olhanense-vasco-da-gama-vidigueira-rwHLfirE/,1,2,0
26.08.2018,2018,portugal,campeonato-de-portugal-2018-2019,U. Madeira,SC Espinho,2.05,3.45,3.15,1.81,1.91,1.64,2.16,https://www.oddsportal.com/soccer/portugal/campeonato-de-portugal-2018-2019/u-madeira-sc-espinho-SpPAl2tF/,2,2,0
