date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
07.03.2021,2021,portugal,campeonato-de-portugal,Sao Joao Ver,Canelas 2010,2.24,2.79,3.45,3.01,1.36,2.36,1.55,https://www.oddsportal.com/soccer/portugal/campeonato-de-portugal/sao-joao-de-ver-canelas-2010-hGlnEeAt/,0,0,0
29.11.2020,2020,portugal,campeonato-de-portugal,Pinhalnovense,Juv. Evora,1.67,3.52,4.63,2.01,1.70,2.02,1.74,https://www.oddsportal.com/soccer/portugal/campeonato-de-portugal/pinhalnovense-juv-evora-ldPF95Mm/,0,2,1
15.11.2020,2020,portugal,campeonato-de-portugal,Santarem,Uniao Almeirim,1.58,3.72,5.21,1.91,1.81,1.99,1.77,https://www.oddsportal.com/soccer/portugal/campeonato-de-portugal/ud-santarem-uniao-almeirim-zHqbdxKC/,1,2,0
04.10.2020,2020,portugal,campeonato-de-portugal,Canelas 2010,Castro Daire,2.24,3.01,3.21,2.51,1.48,2.09,1.69,https://www.oddsportal.com/soccer/portugal/campeonato-de-portugal/canelas-2010-castro-daire-rDmcfn1H/,1,4,0
25.10.2020,2020,portugal,campeonato-de-portugal,Canelas 2010,Lusitania FC,2.53,2.82,2.97,2.45,1.51,1.92,1.81,https://www.oddsportal.com/soccer/portugal/campeonato-de-portugal/canelas-2010-lusitania-fc-4Q6aCKM2/,1,2,0
20.12.2020,2020,portugal,campeonato-de-portugal,Sintrense,Lourinhanense,1.67,3.55,4.49,2.01,1.69,2.0,1.76,https://www.oddsportal.com/soccer/portugal/campeonato-de-portugal/sintrense-sc-lourinhanense-dUYps0F1/,1,6,1
03.01.2021,2021,portugal,campeonato-de-portugal,Gondomar,Coimbroes,1.47,3.97,6.12,1.94,1.75,2.03,1.73,https://www.oddsportal.com/soccer/portugal/campeonato-de-portugal/gondomar-coimbroes-tUxYnky1/,1,2,0
11.02.2021,2021,portugal,campeonato-de-portugal,Juv. Evora,Amora,5.33,3.78,1.55,1.97,1.74,2.06,1.72,https://www.oddsportal.com/soccer/portugal/campeonato-de-portugal/juv-evora-amora-rsqxNFd4/,2,5,1
20.12.2020,2020,portugal,campeonato-de-portugal,Sertanense,Marinhense,2.42,2.96,2.91,2.38,1.49,2.01,1.74,https://www.oddsportal.com/soccer/portugal/campeonato-de-portugal/sertanense-marinhense-2iZhbqX9/,1,3,1
17.01.2021,2021,portugal,campeonato-de-portugal,Sanjoanense,Sao Joao Ver,2.43,2.99,2.86,2.33,1.51,1.92,1.82,https://www.oddsportal.com/soccer/portugal/campeonato-de-portugal/sanjoanense-sao-joao-de-ver-KdNjJmip/,0,0,0
