date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
11.02.2018,2018,portugal,campeonato-de-portugal-2017-2018,Freamunde,Alianca de Gandra,1.88,3.51,3.6,1.96,1.77,1.79,1.92,https://www.oddsportal.com/soccer/portugal/campeonato-de-portugal-2017-2018/freamunde-alianca-de-gandra-f3uWDq5a/,2,1,0
20.08.2017,2017,portugal,campeonato-de-portugal-2017-2018,Agueda,SB Castelo Branco,2.06,3.5,2.88,1.81,1.96,1.71,2.01,https://www.oddsportal.com/soccer/portugal/campeonato-de-portugal-2017-2018/mondinense-pedras-salgadas-tlPuWHYB/,1,1,0
11.02.2018,2018,portugal,campeonato-de-portugal-2017-2018,Gondomar,Felgueiras,2.09,3.29,3.2,2.07,1.68,1.82,1.89,https://www.oddsportal.com/soccer/portugal/campeonato-de-portugal-2017-2018/gondomar-fc-felgueiras-YgvzD3K5/,2,5,1
12.11.2017,2017,portugal,campeonato-de-portugal-2017-2018,Sourense,Ferreira de Aves,2.24,3.28,3.11,2.26,1.61,1.91,1.8,https://www.oddsportal.com/soccer/portugal/campeonato-de-portugal-2017-2018/gd-sourense-ferreira-de-aves-Kb0NHMtE/,1,3,1
18.02.2018,2018,portugal,campeonato-de-portugal-2017-2018,Casa Pia,Montijo,1.39,4.63,6.1,1.68,2.07,1.85,1.86,https://www.oddsportal.com/soccer/portugal/campeonato-de-portugal-2017-2018/casa-pia-montijo-O2qsTxXp/,0,6,1
10.12.2017,2017,portugal,campeonato-de-portugal-2017-2018,Olhanense,Casa Pia,2.64,3.03,2.53,2.32,1.54,1.95,1.77,https://www.oddsportal.com/soccer/portugal/campeonato-de-portugal-2017-2018/olhanense-casa-pia-Kh3X7Jsg/,1,3,0
25.03.2018,2018,portugal,campeonato-de-portugal-2017-2018,Mafra,Pero Pinheiro,1.28,5.24,7.77,1.63,2.15,2.03,1.76,https://www.oddsportal.com/soccer/portugal/campeonato-de-portugal-2017-2018/mafra-pero-pinheiro-UyCVZJDJ/,1,5,0
21.01.2018,2018,portugal,campeonato-de-portugal-2017-2018,Agueda,Marinhense,1.65,3.78,4.32,1.71,2.00,1.69,2.04,https://www.oddsportal.com/soccer/portugal/campeonato-de-portugal-2017-2018/agueda-marinhense-lGcpT42s/,1,4,0
14.01.2018,2018,portugal,campeonato-de-portugal-2017-2018,Oriental,Pinhalnovense,2.21,3.09,3.06,2.27,1.57,1.95,1.77,https://www.oddsportal.com/soccer/portugal/campeonato-de-portugal-2017-2018/oriental-pinhalnovense-GI7YWQGL/,1,1,0
04.02.2018,2018,portugal,campeonato-de-portugal-2017-2018,Pinhalnovense,Armacenenses,1.76,3.4,4.3,1.88,1.84,1.71,2.01,https://www.oddsportal.com/soccer/portugal/campeonato-de-portugal-2017-2018/pinhalnovense-armacenenses-U7UIxj4s/,2,2,0
