date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
30.11.2020,2020,portugal,liga-portugal-2,Mafra,Vilafranquense,1.72,3.71,4.71,1.91,1.92,1.83,1.94,https://www.oddsportal.com/soccer/portugal/liga-portugal-2/mafra-vilafranquense-bFbQg9yb/#1X2;2,2,1,0
04.10.2020,2020,portugal,liga-portugal-2,Varzim,Academica,2.87,3.07,2.55,2.51,1.54,2.08,1.73,https://www.oddsportal.com/soccer/portugal/liga-portugal-2/varzim-academica-86VAqp2F/#1X2;2,2,1,0
24.01.2021,2021,portugal,liga-portugal-2,Chaves,Arouca,2.19,3.0,3.65,2.66,1.46,2.19,1.65,https://www.oddsportal.com/soccer/portugal/liga-portugal-2/chaves-arouca-WMmYVapp/#1X2;2,1,3,1
28.02.2021,2021,portugal,liga-portugal-2,Estoril,Benfica B,1.61,3.86,5.45,2.01,1.83,1.99,1.78,https://www.oddsportal.com/soccer/portugal/liga-portugal-2/estoril-benfica-Mokv8EEb/#1X2;2,1,5,1
23.02.2021,2021,portugal,liga-portugal-2,Oliveirense,Vilafranquense,2.8,2.8,2.86,2.48,1.55,1.99,1.78,https://www.oddsportal.com/soccer/portugal/liga-portugal-2/oliveirense-vilafranquense-QJJ9hZEB/#1X2;2,0,4,1
01.11.2020,2020,portugal,liga-portugal-2,Arouca,Vizela,2.11,3.16,3.62,2.41,1.59,2.07,1.73,https://www.oddsportal.com/soccer/portugal/liga-portugal-2/arouca-vizela-hvyQQA7B/#1X2;2,1,3,1
19.09.2020,2020,portugal,liga-portugal-2,FC Porto B,Vizela,2.72,3.21,2.59,2.11,1.74,1.83,1.94,https://www.oddsportal.com/soccer/portugal/liga-portugal-2/fc-porto-vizela-j7278WZi/#1X2;2,1,5,1
13.09.2020,2020,portugal,liga-portugal-2,Leixoes,Casa Pia,1.53,4.02,6.06,1.99,1.84,2.07,1.73,https://www.oddsportal.com/soccer/portugal/liga-portugal-2/leixoes-casa-pia-dA0z6wEg/#1X2;2,0,4,1
07.11.2020,2020,portugal,liga-portugal-2,Vizela,Leixoes,2.27,3.19,3.23,2.19,1.72,1.88,1.9,https://www.oddsportal.com/soccer/portugal/liga-portugal-2/vizela-leixoes-dnxevUyB/#1X2;2,1,3,1
17.02.2021,2021,portugal,liga-portugal-2,CD Cova da Piedade,Vilafranquense,2.68,2.83,2.97,2.51,1.54,2.03,1.75,https://www.oddsportal.com/soccer/portugal/liga-portugal-2/cova-de-piedade-vilafranquense-lvnMxB1a/#1X2;2,0,2,1
21.02.2021,2021,portugal,liga-portugal-2,Penafiel,FC Porto B,3.04,3.32,2.31,2.00,1.84,1.77,2.01,https://www.oddsportal.com/soccer/portugal/liga-portugal-2/penafiel-fc-porto-zVQdeyVh/#1X2;2,0,0,0
14.11.2020,2020,portugal,liga-portugal-2,Estoril,CD Cova da Piedade,1.46,4.12,7.27,2.20,1.70,2.32,1.59,https://www.oddsportal.com/soccer/portugal/liga-portugal-2/estoril-cova-de-piedade-AFoLRjh5/#1X2;2,1,6,1
04.10.2020,2020,portugal,liga-portugal-2,FC Porto B,Vilafranquense,1.65,3.86,5.0,1.83,2.00,1.83,1.94,https://www.oddsportal.com/soccer/portugal/liga-portugal-2/fc-porto-vilafranquense-KpkGN2ud/#1X2;2,1,3,1
23.09.2020,2020,portugal,liga-portugal-2,Leixoes,Mafra,2.38,3.16,3.03,2.24,1.66,1.91,1.86,https://www.oddsportal.com/soccer/portugal/liga-portugal-2/leixoes-mafra-4hylL9Jc/#1X2;2,2,2,0
22.02.2021,2021,portugal,liga-portugal-2,Benfica B,Mafra,2.51,3.1,2.93,2.02,1.82,1.74,2.05,https://www.oddsportal.com/soccer/portugal/liga-portugal-2/benfica-mafra-hhYSEPVD/#1X2;2,1,2,0
02.02.2021,2021,portugal,liga-portugal-2,Mafra,CD Cova da Piedade,1.84,3.39,4.46,2.23,1.68,2.01,1.76,https://www.oddsportal.com/soccer/portugal/liga-portugal-2/mafra-cova-de-piedade-joLUzAm9/#1X2;2,0,2,1
24.10.2020,2020,portugal,liga-portugal-2,FC Porto B,Chaves,2.93,3.37,2.34,1.94,1.89,1.75,2.05,https://www.oddsportal.com/soccer/portugal/liga-portugal-2/fc-porto-chaves-AeNwFD8a/#1X2;2,2,3,1
