date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
14.01.2017,2017,portugal,primeira-liga-2016-2017,Vitoria Setubal,Nacional,2.26,3.18,3.54,2.30,1.65,1.99,1.9,https://www.oddsportal.com/soccer/portugal/primeira-liga-2016-2017/vitoria-setubal-nacional-dv46e1yK/#1X2;2,1,1,0
08.05.2017,2017,portugal,primeira-liga-2016-2017,Estoril,Chaves,2.1,3.31,3.7,2.13,1.75,1.92,1.97,https://www.oddsportal.com/soccer/portugal/primeira-liga-2016-2017/estoril-chaves-UsDwqt5t/#1X2;2,1,3,1
07.01.2017,2017,portugal,primeira-liga-2016-2017,Estoril,Maritimo,2.87,2.94,2.83,2.56,1.54,2.12,1.8,https://www.oddsportal.com/soccer/portugal/primeira-liga-2016-2017/estoril-maritimo-ns0betKM/#1X2;2,2,1,0
22.12.2016,2016,portugal,primeira-liga-2016-2017,Chaves,Estoril,1.96,3.22,4.52,2.56,1.54,2.3,1.7,https://www.oddsportal.com/soccer/portugal/primeira-liga-2016-2017/chaves-estoril-IBBeyLSj/#1X2;2,1,1,0
15.01.2017,2017,portugal,primeira-liga-2016-2017,Maritimo,Ferreira,2.25,3.22,3.5,2.31,1.64,2.0,1.87,https://www.oddsportal.com/soccer/portugal/primeira-liga-2016-2017/maritimo-ferreira-EFvMmkID/#1X2;2,1,4,1
07.01.2017,2017,portugal,primeira-liga-2016-2017,Ferreira,FC Porto,9.82,4.82,1.37,1.85,2.00,2.22,1.74,https://www.oddsportal.com/soccer/portugal/primeira-liga-2016-2017/ferreira-fc-porto-t4a2f0ZS/#1X2;2,0,0,0
21.01.2017,2017,portugal,primeira-liga-2016-2017,Maritimo,Sporting,5.46,3.77,1.69,2.04,1.82,2.03,1.89,https://www.oddsportal.com/soccer/portugal/primeira-liga-2016-2017/maritimo-sporting-2FHgpyTI/#1X2;2,0,4,1
21.05.2017,2017,portugal,primeira-liga-2016-2017,Tondela,Braga,1.77,3.85,4.43,1.77,2.09,1.73,2.2,https://www.oddsportal.com/soccer/portugal/primeira-liga-2016-2017/tondela-braga-KQ2tkZXT/#1X2;2,1,2,0
24.09.2016,2016,portugal,primeira-liga-2016-2017,Chaves,Benfica,7.6,4.44,1.47,2.03,1.88,2.1,1.73,https://www.oddsportal.com/soccer/portugal/primeira-liga-2016-2017/chaves-benfica-GjBgosvP/#1X2;2,2,2,0
20.05.2017,2017,portugal,primeira-liga-2016-2017,Vitoria Guimaraes,Feirense,1.7,3.77,5.21,1.99,1.85,1.91,1.95,https://www.oddsportal.com/soccer/portugal/primeira-liga-2016-2017/vitoria-guimaraes-feirense-OvTj9xJo/#1X2;2,2,1,0
