date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
04.02.2021,2021,portugal,primeira-liga,Famalicao,Moreirense,2.07,3.24,3.95,2.28,1.68,1.93,1.86,https://www.oddsportal.com/soccer/portugal/primeira-liga/famalicao-moreirense-SIf982aB/#1X2;2,2,2,0
04.01.2021,2021,portugal,primeira-liga,Portimonense,SC Farense,2.4,3.2,3.17,2.38,1.61,1.96,1.83,https://www.oddsportal.com/soccer/portugal/primeira-liga/portimonense-sc-farense-QymXIkIf/#1X2;2,1,2,0
05.02.2021,2021,portugal,primeira-liga,Maritimo,Sporting,6.77,3.88,1.57,2.06,1.83,2.04,1.77,https://www.oddsportal.com/soccer/portugal/primeira-liga/maritimo-sporting-0UcyCy63/#1X2;2,2,2,0
21.09.2020,2020,portugal,primeira-liga,Portimonense,Ferreira,2.39,3.18,3.2,2.49,1.56,2.04,1.78,https://www.oddsportal.com/soccer/portugal/primeira-liga/portimonense-ferreira-SQY3Gsv6/#1X2;2,0,2,1
17.10.2020,2020,portugal,primeira-liga,Maritimo,Portimonense,2.66,3.18,2.83,2.27,1.68,1.9,1.9,https://www.oddsportal.com/soccer/portugal/primeira-liga/maritimo-portimonense-fBkhriTF/#1X2;2,2,3,1
28.09.2020,2020,portugal,primeira-liga,Belenenses,Famalicao,2.52,3.16,3.01,2.20,1.71,1.86,1.94,https://www.oddsportal.com/soccer/portugal/primeira-liga/belenenses-famalicao-zXeVW2On/#1X2;2,2,3,1
27.09.2020,2020,portugal,primeira-liga,Rio Ave,Vitoria Guimaraes,3.08,3.27,2.42,2.21,1.70,1.88,1.92,https://www.oddsportal.com/soccer/portugal/primeira-liga/rio-ave-vitoria-guimaraes-8rFJAC7p/#1X2;2,0,0,0
14.02.2021,2021,portugal,primeira-liga,Santa Clara,Braga,4.77,3.62,1.79,1.99,1.89,1.81,1.98,https://www.oddsportal.com/soccer/portugal/primeira-liga/santa-clara-braga-40D0bwg1/#1X2;2,2,1,0
20.09.2020,2020,portugal,primeira-liga,Santa Clara,Maritimo,2.41,3.07,3.3,2.73,1.48,2.15,1.7,https://www.oddsportal.com/soccer/portugal/primeira-liga/santa-clara-maritimo-bXRmKPvs/#1X2;2,1,2,0
25.01.2021,2021,portugal,primeira-liga,Rio Ave,Santa Clara,2.23,3.02,3.81,2.50,1.57,2.0,1.8,https://www.oddsportal.com/soccer/portugal/primeira-liga/rio-ave-santa-clara-6kRRePF5/#1X2;2,2,3,1
04.10.2020,2020,portugal,primeira-liga,Nacional,Belenenses,2.23,3.31,3.42,2.22,1.71,1.9,1.89,https://www.oddsportal.com/soccer/portugal/primeira-liga/nacional-belenenses-lvh6YFai/#1X2;2,0,0,0
20.02.2021,2021,portugal,primeira-liga,Gil Vicente,Santa Clara,2.55,3.04,3.09,2.70,1.50,2.13,1.7,https://www.oddsportal.com/soccer/portugal/primeira-liga/gil-vicente-santa-clara-2eqVDIhl/#1X2;2,1,1,0
04.02.2021,2021,portugal,primeira-liga,Belenenses,FC Porto,7.58,4.35,1.47,1.97,1.90,2.08,1.74,https://www.oddsportal.com/soccer/portugal/primeira-liga/belenenses-fc-porto-YHMtjfqp/#1X2;2,0,0,0
