date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
24.09.2017,2017,portugal,taca-de-portugal-2017-2018,Merelinense,Real SC,2.81,3.18,2.36,1.98,1.79,1.71,2.06,https://www.oddsportal.com/soccer/portugal/taca-de-portugal-2017-2018/merelinense-real-sc-O8ASKrrE/#1X2;2,1,4,1
13.12.2017,2017,portugal,taca-de-portugal-2017-2018,SC Praiense,SC Farense,2.4,3.2,2.86,2.23,1.63,1.94,1.84,https://www.oddsportal.com/soccer/portugal/taca-de-portugal-2017-2018/sc-praiense-sc-farense-nVkkGiGU/#1X2;2,2,1,0
11.01.2018,2018,portugal,taca-de-portugal-2017-2018,Moreirense,FC Porto,11.71,5.59,1.27,1.64,2.29,2.15,1.72,https://www.oddsportal.com/soccer/portugal/taca-de-portugal-2017-2018/moreirense-fc-porto-bLqKuxoe/#1X2;2,2,3,1
03.09.2017,2017,portugal,taca-de-portugal-2017-2018,Sanjoanense,SC Sabugal,1.25,4.76,9.18,1.90,1.85,2.15,1.62,https://www.oddsportal.com/soccer/portugal/taca-de-portugal-2017-2018/sanjoanense-sc-sabugal-drAFs64D/#1X2;2,1,5,1
28.02.2018,2018,portugal,taca-de-portugal-2017-2018,Aves,Caldas,1.28,5.15,13.07,1.94,1.90,2.64,1.49,https://www.oddsportal.com/soccer/portugal/taca-de-portugal-2017-2018/aves-caldas-sc-W0z44EZr/#1X2;2,1,1,0
03.09.2017,2017,portugal,taca-de-portugal-2017-2018,Pedras Rubras,Camacha,2.14,3.26,2.88,1.87,1.90,1.67,2.07,https://www.oddsportal.com/soccer/portugal/taca-de-portugal-2017-2018/pedras-rubras-camacha-ABJuVSK7/#1X2;2,1,4,1
15.10.2017,2017,portugal,taca-de-portugal-2017-2018,Vizela,Sintrense,1.55,3.43,5.22,2.03,1.66,2.0,1.73,https://www.oddsportal.com/soccer/portugal/taca-de-portugal-2017-2018/vizela-sintrense-04nxlWyh/#1X2;2,1,4,1
15.10.2017,2017,portugal,taca-de-portugal-2017-2018,SC Farense,Estoril,3.96,3.64,1.85,2.02,1.86,1.82,1.92,https://www.oddsportal.com/soccer/portugal/taca-de-portugal-2017-2018/sc-farense-estoril-AsI5Ivn7/#1X2;2,1,1,0
15.10.2017,2017,portugal,taca-de-portugal-2017-2018,Leiria,SC Espinho,1.69,3.56,4.44,1.93,1.81,1.81,1.9,https://www.oddsportal.com/soccer/portugal/taca-de-portugal-2017-2018/leiria-sc-espinho-YcfjQSqo/#1X2;2,1,2,0
24.09.2017,2017,portugal,taca-de-portugal-2017-2018,Vizela,Covilha,2.83,2.99,2.36,2.25,1.56,1.96,1.77,https://www.oddsportal.com/soccer/portugal/taca-de-portugal-2017-2018/vizela-covilha-hOvTas6l/#1X2;2,1,3,1
19.11.2017,2017,portugal,taca-de-portugal-2017-2018,U. Madeira,Freamunde,1.74,3.66,4.62,2.17,1.66,2.0,1.81,https://www.oddsportal.com/soccer/portugal/taca-de-portugal-2017-2018/u-madeira-freamunde-8lnVzQWB/#1X2;2,1,6,1
03.09.2017,2017,portugal,taca-de-portugal-2017-2018,Coimbroes,Rio Tinto,1.44,4.41,5.31,1.61,2.22,1.77,1.94,https://www.oddsportal.com/soccer/portugal/taca-de-portugal-2017-2018/coimbroes-rio-tinto-SQ0erweO/#1X2;2,1,1,0
03.09.2017,2017,portugal,taca-de-portugal-2017-2018,Anadia,Agueda,1.95,3.22,3.35,1.87,1.90,1.67,2.1,https://www.oddsportal.com/soccer/portugal/taca-de-portugal-2017-2018/anadia-agueda-ru6Brnk7/#1X2;2,1,1,0
15.10.2017,2017,portugal,taca-de-portugal-2017-2018,Sanjoanense,Rio Ave,7.91,4.71,1.35,1.79,1.95,2.12,1.69,https://www.oddsportal.com/soccer/portugal/taca-de-portugal-2017-2018/sanjoanense-rio-ave-lhuiUyoJ/#1X2;2,2,4,0
13.12.2017,2017,portugal,taca-de-portugal-2017-2018,Sporting,Vilaverdense,1.05,12.62,35.08,1.32,3.19,3.39,1.37,https://www.oddsportal.com/soccer/portugal/taca-de-portugal-2017-2018/sporting-vilaverdense-fc-OjRfyynt/#1X2;2,1,4,0
03.09.2017,2017,portugal,taca-de-portugal-2017-2018,Charneca Caparica,Operario,3.96,3.47,1.76,2.22,1.69,2.08,1.76,https://www.oddsportal.com/soccer/portugal/taca-de-portugal-2017-2018/fc-porto-sporting-Uk3WT4xr/#1X2;2,2,2,0
15.10.2017,2017,portugal,taca-de-portugal-2017-2018,SC Praiense,Alcains,1.3,4.71,7.44,1.67,2.04,1.96,1.76,https://www.oddsportal.com/soccer/portugal/taca-de-portugal-2017-2018/sc-praiense-alcains-db2IpcVa/#1X2;2,1,5,1
24.09.2017,2017,portugal,taca-de-portugal-2017-2018,SC Vila Real,Oliveirense,4.29,3.68,1.64,1.80,1.94,1.77,1.94,https://www.oddsportal.com/soccer/portugal/taca-de-portugal-2017-2018/sc-vila-real-oliveirense-O8lc53rR/#1X2;2,1,1,0
15.10.2017,2017,portugal,taca-de-portugal-2017-2018,Alta Lisboa,Famalicao,7.84,4.22,1.35,1.60,2.12,1.92,1.8,https://www.oddsportal.com/soccer/portugal/taca-de-portugal-2017-2018/alta-lisboa-famalicao-0W89nJ0m/#1X2;2,2,2,0
24.09.2017,2017,portugal,taca-de-portugal-2017-2018,Lusitano FCV,Academico Viseu,3.56,3.43,1.9,2.05,1.69,1.76,1.97,https://www.oddsportal.com/soccer/portugal/taca-de-portugal-2017-2018/lusitano-fcv-academico-viseu-rDXucuj7/#1X2;2,2,1,0
03.09.2017,2017,portugal,taca-de-portugal-2017-2018,Casa Pia,Pinhalnovense,2.03,3.25,3.13,1.81,1.99,1.62,2.16,https://www.oddsportal.com/soccer/portugal/taca-de-portugal-2017-2018/casa-pia-pinhalnovense-2RijKB6k/#1X2;2,1,2,0
15.10.2017,2017,portugal,taca-de-portugal-2017-2018,Arouca,Coruchense,1.41,4.43,7.19,1.89,1.90,2.09,1.68,https://www.oddsportal.com/soccer/portugal/taca-de-portugal-2017-2018/arouca-gd-coruchense-UB0Qry0C/#1X2;2,1,3,0
19.11.2017,2017,portugal,taca-de-portugal-2017-2018,Leiria,Aves,5.33,3.44,1.67,2.22,1.64,2.2,1.67,https://www.oddsportal.com/soccer/portugal/taca-de-portugal-2017-2018/leiria-aves-nNZbYWAD/#1X2;2,2,3,0
03.09.2017,2017,portugal,taca-de-portugal-2017-2018,Oriental,Lusitano VRSA,1.99,3.37,3.11,2.10,1.63,1.88,1.83,https://www.oddsportal.com/soccer/portugal/taca-de-portugal-2017-2018/fc-cesarense-caldas-sc-n1rYlCMo/#1X2;2,2,3,1
15.10.2017,2017,portugal,taca-de-portugal-2017-2018,Nacional,Merelinense,1.46,3.33,6.07,1.76,2.06,1.83,1.88,https://www.oddsportal.com/soccer/portugal/taca-de-portugal-2017-2018/nacional-merelinense-rTysmjib/#1X2;2,1,6,1
24.09.2017,2017,portugal,taca-de-portugal-2017-2018,Alta Lisboa,Salgueiros,4.87,3.73,1.55,1.71,2.03,1.74,1.99,https://www.oddsportal.com/soccer/portugal/taca-de-portugal-2017-2018/alta-lisboa-sc-salgueiros-rFO8H6Xj/#1X2;2,1,5,1
14.10.2017,2017,portugal,taca-de-portugal-2017-2018,Torcatense,Maritimo,7.18,3.65,1.4,1.68,2.01,1.96,1.76,https://www.oddsportal.com/soccer/portugal/taca-de-portugal-2017-2018/gd-uniao-torcatense-maritimo-jcJZhLNJ/#1X2;2,2,1,0
15.10.2017,2017,portugal,taca-de-portugal-2017-2018,Vilaverdense,Boavista,6.02,3.72,1.53,2.17,1.61,2.27,1.62,https://www.oddsportal.com/soccer/portugal/taca-de-portugal-2017-2018/vilaverdense-fc-boavista-08rMQ2vR/#1X2;2,1,1,0
19.11.2017,2017,portugal,taca-de-portugal-2017-2018,Moreirense,Felgueiras,1.28,5.17,10.39,1.74,2.09,2.26,1.65,https://www.oddsportal.com/soccer/portugal/taca-de-portugal-2017-2018/moreirense-fc-felgueiras-fo80j5Wb/#1X2;2,1,7,1
