date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
22.11.2020,2020,portugal,taca-de-portugal,AD Limianos,Fontinhas,3.49,3.68,1.93,1.83,1.97,1.71,2.06,https://www.oddsportal.com/soccer/portugal/taca-de-portugal/ad-limianos-gd-fontinhas-vVXs3Iw2/#1X2;2,2,3,1
11.10.2020,2020,portugal,taca-de-portugal,Camara de Lobos,Vizela,23.25,11.91,1.08,1.21,4.22,2.0,1.79,https://www.oddsportal.com/soccer/portugal/taca-de-portugal/camara-de-lobos-vizela-I7uk9YUH/#1X2;2,2,2,0
23.12.2020,2020,portugal,taca-de-portugal,Leiria,Gil Vicente,4.88,3.59,1.71,2.08,1.75,1.98,1.78,https://www.oddsportal.com/soccer/portugal/taca-de-portugal/leiria-gil-vicente-zmv97XVS/#1X2;2,2,3,0
12.12.2020,2020,portugal,taca-de-portugal,Estoril,Boavista,2.72,3.08,2.67,2.33,1.60,1.92,1.81,https://www.oddsportal.com/soccer/portugal/taca-de-portugal/estoril-boavista-Wre5iY6N/#1X2;2,1,3,1
22.11.2020,2020,portugal,taca-de-portugal,Desportivo Moncao,Rio Ave,32.25,12.99,1.04,1.18,4.68,2.31,1.58,https://www.oddsportal.com/soccer/portugal/taca-de-portugal/desportivo-moncao-rio-ave-4EKlQlub/#1X2;2,2,3,1
11.02.2021,2021,portugal,taca-de-portugal,Estoril,Benfica,7.75,4.77,1.4,1.73,2.17,1.95,1.84,https://www.oddsportal.com/soccer/portugal/taca-de-portugal/estoril-benfica-nBNvcSLp/#1X2;2,2,4,1
09.12.2020,2020,portugal,taca-de-portugal,Estoril,Lusitano GC,1.29,5.32,9.56,1.82,1.99,2.29,1.58,https://www.oddsportal.com/soccer/portugal/taca-de-portugal/estoril-lusitano-gc-AiLpRUPi/#1X2;2,1,5,0
23.12.2020,2020,portugal,taca-de-portugal,Nacional,Leixoes,1.66,3.64,5.27,2.01,1.80,1.94,1.81,https://www.oddsportal.com/soccer/portugal/taca-de-portugal/nacional-leixoes-C8Vz3ivp/#1X2;2,1,4,1
21.10.2020,2020,portugal,taca-de-portugal,Tirsense,Montijo,1.61,4.15,5.11,1.93,1.92,1.89,1.89,https://www.oddsportal.com/soccer/portugal/taca-de-portugal/tirsense-montijo-rVUSDw4E/#1X2;2,2,5,1
28.10.2020,2020,portugal,taca-de-portugal,Vitoria Setubal,Academico Viseu,3.4,3.57,2.03,2.05,1.79,1.78,1.92,https://www.oddsportal.com/soccer/portugal/taca-de-portugal/vitoria-setubal-academico-viseu-zP1TrxHC/#1X2;2,2,1,0
