date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
23.11.2019,2019,russia,fnl-2019-2020,Chertanovo M.,SKA Khabarovsk,2.06,3.19,3.69,2.29,1.62,1.97,1.81,https://www.oddsportal.com/soccer/russia/fnl-2019-2020/fc-chertanovo-moscow-ska-khabarovsk-GEuc6VLU/,1,1,0
18.08.2019,2019,russia,fnl-2019-2020,Nizhny Novgorod,SKA Khabarovsk,1.83,3.32,4.38,2.35,1.60,2.19,1.71,https://www.oddsportal.com/soccer/russia/fnl-2019-2020/fc-nizhny-novgorod-est-2015-ska-khabarovsk-QXU5R5Yd/,0,2,1
20.08.2019,2019,russia,fnl-2019-2020,Spartak Moscow 2,Yenisey,2.63,3.26,2.51,2.02,1.80,1.76,2.05,https://www.oddsportal.com/soccer/russia/fnl-2019-2020/spartak-moscow-yenisey-Y3LQMsmS/,1,2,0
28.07.2019,2019,russia,fnl-2019-2020,Tomsk,Tekstilshtik,1.45,3.88,8.97,2.42,1.52,2.81,1.47,https://www.oddsportal.com/soccer/russia/fnl-2019-2020/tomsk-tekstilshtik-lfhrocUg/,1,3,1
17.11.2019,2019,russia,fnl-2019-2020,M. Saransk,F. Voronezh,3.11,3.1,2.35,2.43,1.56,2.05,1.81,https://www.oddsportal.com/soccer/russia/fnl-2019-2020/m-saransk-f-voronezh-r15cIyFP/,0,2,1
13.07.2019,2019,russia,fnl-2019-2020,R. Volgograd,Tekstilshtik,1.49,3.79,7.95,2.41,1.60,2.52,1.53,https://www.oddsportal.com/soccer/russia/fnl-2019-2020/r-volgograd-tekstilshtik-KGVgNYKk/,1,5,1
05.10.2019,2019,russia,fnl-2019-2020,M. Saransk,R. Volgograd,8.84,4.64,1.34,2.21,1.67,2.76,1.48,https://www.oddsportal.com/soccer/russia/fnl-2019-2020/m-saransk-r-volgograd-QTfI6pFK/,2,1,0
23.10.2019,2019,russia,fnl-2019-2020,Tomsk,M. Saransk,1.4,3.98,9.38,2.38,1.58,2.76,1.47,https://www.oddsportal.com/soccer/russia/fnl-2019-2020/tomsk-m-saransk-fkOdQVBA/,1,2,0
19.10.2019,2019,russia,fnl-2019-2020,F. Voronezh,Shinnik Yaroslavl,2.63,3.1,2.72,2.36,1.59,1.96,1.88,https://www.oddsportal.com/soccer/russia/fnl-2019-2020/f-voronezh-shinnik-yaroslavl-trSLOIz6/,2,4,0
21.09.2019,2019,russia,fnl-2019-2020,M. Saransk,Tekstilshtik,2.06,3.29,3.6,2.19,1.68,1.94,1.9,https://www.oddsportal.com/soccer/russia/fnl-2019-2020/m-saransk-tekstilshtik-KUSdBmqh/,1,1,0
23.11.2019,2019,russia,fnl-2019-2020,T. Moscow,Luch,1.49,3.88,6.94,2.09,1.67,2.25,1.62,https://www.oddsportal.com/soccer/russia/fnl-2019-2020/t-moscow-luch-vladivostok-8CjD8L2b/,2,2,0
17.11.2019,2019,russia,fnl-2019-2020,Armavir,T. Moscow,4.32,3.25,1.87,2.52,1.52,2.21,1.7,https://www.oddsportal.com/soccer/russia/fnl-2019-2020/armavir-t-moscow-SYtUCFxm/,1,3,1
05.10.2019,2019,russia,fnl-2019-2020,T. Moscow,Shinnik Yaroslavl,1.96,3.39,3.67,2.05,1.78,1.85,2.0,https://www.oddsportal.com/soccer/russia/fnl-2019-2020/t-moscow-shinnik-yaroslavl-dIY0bMM0/,1,2,0
23.11.2019,2019,russia,fnl-2019-2020,F. Voronezh,Nizhny Novgorod,3.92,3.16,1.94,2.43,1.56,2.13,1.7,https://www.oddsportal.com/soccer/russia/fnl-2019-2020/f-voronezh-fc-nizhny-novgorod-est-2015-Meh5AsYo/,2,2,0
25.08.2019,2019,russia,fnl-2019-2020,T. Moscow,Yenisey,1.75,3.51,4.62,2.15,1.69,2.01,1.84,https://www.oddsportal.com/soccer/russia/fnl-2019-2020/t-moscow-yenisey-QDOSJEWm/,1,2,0
