date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
06.03.2021,2021,russia,fnl,Krasnodar 2,Veles Moscow,2.71,3.3,2.59,2.07,1.78,1.79,1.97,https://www.oddsportal.com/soccer/russia/fnl/krasnodar-veles-moscow-KMhpwssH/,1,3,1
09.10.2020,2020,russia,fnl,Omsk,T. Moscow,9.55,5.1,1.33,1.78,2.09,2.14,1.68,https://www.oddsportal.com/soccer/russia/fnl/irtysh-omsk-t-moscow-COHrvE8R/,2,2,0
09.10.2020,2020,russia,fnl,D. Bryansk,Shinnik Yaroslavl,3.11,2.75,2.68,3.24,1.31,2.59,1.48,https://www.oddsportal.com/soccer/russia/fnl/d-bryansk-shinnik-yaroslavl-EX3AZXGr/,1,2,0
22.08.2020,2020,russia,fnl,T. Moscow,Baltika,2.52,3.13,2.92,2.39,1.59,1.99,1.78,https://www.oddsportal.com/soccer/russia/fnl/t-moscow-baltika-vuPfq9Xu/,0,2,1
27.02.2021,2021,russia,fnl,Spartak Moscow 2,D. Bryansk,1.75,3.35,5.33,2.38,1.60,2.19,1.64,https://www.oddsportal.com/soccer/russia/fnl/spartak-moscow-d-bryansk-YiF3Q3cB/,0,0,0
05.09.2020,2020,russia,fnl,Shinnik Yaroslavl,FK Chayka,2.09,3.25,3.65,2.15,1.71,1.93,1.83,https://www.oddsportal.com/soccer/russia/fnl/shinnik-yaroslavl-fk-chayka-peschanokopskoye-htILgHiF/,0,0,0
31.08.2020,2020,russia,fnl,FK Chayka,F. Voronezh,2.71,2.87,2.81,2.61,1.46,2.11,1.67,https://www.oddsportal.com/soccer/russia/fnl/fk-chayka-peschanokopskoye-f-voronezh-4nnte6Wi/,1,3,1
23.09.2020,2020,russia,fnl,Baltika,FK Chayka,1.62,3.71,5.66,2.29,1.64,2.23,1.62,https://www.oddsportal.com/soccer/russia/fnl/baltika-fk-chayka-peschanokopskoye-A5EOfxlp/,2,1,0
22.08.2020,2020,russia,fnl,SKA Khabarovsk,F. Voronezh,1.94,3.27,4.07,2.51,1.54,2.18,1.65,https://www.oddsportal.com/soccer/russia/fnl/ska-khabarovsk-f-voronezh-ChN2sm2h/,1,1,0
23.09.2020,2020,russia,fnl,Shinnik Yaroslavl,Chertanovo M.,1.9,3.38,4.07,2.19,1.69,1.97,1.8,https://www.oddsportal.com/soccer/russia/fnl/shinnik-yaroslavl-fc-chertanovo-moscow-h6Pp2KeA/,0,2,1
16.08.2020,2020,russia,fnl,Nizhny Novgorod,Neftekhimik,2.32,3.06,3.3,2.57,1.51,2.13,1.68,https://www.oddsportal.com/soccer/russia/fnl/fc-nizhny-novgorod-est-2015-neftekhimik-2gEGVk3t/,2,1,0
