date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
01.03.2017,2017,russia,russian-cup-2016-2017,Lokomotiv Moscow,Tosno,1.51,3.99,7.68,2.22,1.70,2.45,1.61,https://www.oddsportal.com/soccer/russia/russian-cup-2016-2017/lokomotiv-moscow-fk-tosno-hG0EqTLT/#1X2;2,1,1,0
01.03.2017,2017,russia,russian-cup-2016-2017,Ufa,FK Anzi Makhackala,1.98,3.06,4.77,2.91,1.43,2.52,1.59,https://www.oddsportal.com/soccer/russia/russian-cup-2016-2017/ufa-anzhi-fPntumUp/#1X2;2,1,1,0
21.09.2016,2016,russia,russian-cup-2016-2017,M. Saransk,FK Anzi Makhackala,2.83,3.03,2.83,2.45,1.61,1.94,1.82,https://www.oddsportal.com/soccer/russia/russian-cup-2016-2017/m-saransk-anzhi-rRCK5ZLo/#1X2;2,2,3,1
21.09.2016,2016,russia,russian-cup-2016-2017,Dynamo Moscow,FK Rostov,1.54,4.56,5.75,2.03,1.86,2.05,1.68,https://www.oddsportal.com/soccer/russia/russian-cup-2016-2017/dynamo-moscow-fk-rostov-hrDSuvBa/#1X2;2,1,4,0
27.10.2016,2016,russia,russian-cup-2016-2017,FK Anzi Makhackala,Zenit,6.47,4.07,1.53,1.86,1.95,1.91,1.87,https://www.oddsportal.com/soccer/russia/russian-cup-2016-2017/anzhi-zenit-st-petersburg-ENYdTn7A/#1X2;2,1,4,0
26.10.2016,2016,russia,russian-cup-2016-2017,Tosno,Dynamo Moscow,3.22,3.05,2.38,2.44,1.57,1.98,1.81,https://www.oddsportal.com/soccer/russia/russian-cup-2016-2017/fk-tosno-dynamo-moscow-6cVlV8xb/#1X2;2,1,5,1
22.09.2016,2016,russia,russian-cup-2016-2017,Shinnik Yaroslavl,FK Krylya Sovetov Samara,2.98,3.08,2.57,2.60,1.53,2.0,1.74,https://www.oddsportal.com/soccer/russia/russian-cup-2016-2017/shinnik-yaroslavl-krylya-sovetov-samara-S0NBoWzU/#1X2;2,2,2,0
21.09.2016,2016,russia,russian-cup-2016-2017,Tosno,Arsenal Tula,2.17,3.24,3.64,2.36,1.63,1.91,1.83,https://www.oddsportal.com/soccer/russia/russian-cup-2016-2017/fk-tosno-arsenal-tula-WYT2mh6H/#1X2;2,1,2,0
01.03.2017,2017,russia,russian-cup-2016-2017,Rubin Kazan,FK Novosibirsk,1.36,4.61,10.31,2.12,1.77,2.64,1.54,https://www.oddsportal.com/soccer/russia/russian-cup-2016-2017/rubin-kazan-fk-novosibirsk-MVvS2jMi/#1X2;2,1,1,0
06.04.2017,2017,russia,russian-cup-2016-2017,Ural,Rubin Kazan,4.85,3.18,1.9,2.90,1.44,2.52,1.56,https://www.oddsportal.com/soccer/russia/russian-cup-2016-2017/ural-rubin-kazan-ALb8I20i/#1X2;2,1,3,1
05.04.2017,2017,russia,russian-cup-2016-2017,Lokomotiv Moscow,Ufa,1.6,3.53,7.22,2.85,1.46,2.72,1.51,https://www.oddsportal.com/soccer/russia/russian-cup-2016-2017/lokomotiv-moscow-ufa-8GKPgJNj/#1X2;2,1,1,0
21.09.2016,2016,russia,russian-cup-2016-2017,Chelyabinsk,Ural,5.85,3.5,1.7,2.16,1.76,1.9,1.86,https://www.oddsportal.com/soccer/russia/russian-cup-2016-2017/chelyabinsk-ural-jc3u1BzH/#1X2;2,2,3,0
21.09.2016,2016,russia,russian-cup-2016-2017,Spartak Nalchik,Krasnodar,4.62,3.66,1.66,2.20,1.72,1.85,1.77,https://www.oddsportal.com/soccer/russia/russian-cup-2016-2017/spartak-nalchik-krasnodar-Iq5X2X54/#1X2;2,2,2,0
21.09.2016,2016,russia,russian-cup-2016-2017,Yenisey,CSKA Moscow,4.62,3.58,1.73,2.04,1.83,1.78,1.99,https://www.oddsportal.com/soccer/russia/russian-cup-2016-2017/yenisey-cska-moscow-nPdlak5T/#1X2;2,1,3,1
