date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
29.12.2020,2020,scotland,championship,Inverness,Dunfermline,2.4,3.35,2.84,1.85,1.95,1.68,2.1,https://www.oddsportal.com/soccer/scotland/championship/inverness-dunfermline-K4qRdtp5/#1X2;2,0,2,1
21.11.2020,2020,scotland,championship,Arbroath,Morton,2.31,3.39,2.94,1.90,1.90,1.73,2.03,https://www.oddsportal.com/soccer/scotland/championship/arbroath-morton-rseRVCuk/#1X2;2,0,0,0
24.10.2020,2020,scotland,championship,Queen of South,Raith,2.71,3.36,2.49,1.90,1.91,1.69,2.09,https://www.oddsportal.com/soccer/scotland/championship/queen-of-south-raith-6oDPNFmS/#1X2;2,2,7,1
24.10.2020,2020,scotland,championship,Alloa,Dunfermline,4.53,3.82,1.7,1.82,2.00,1.78,1.97,https://www.oddsportal.com/soccer/scotland/championship/alloa-dunfermline-x6L8Rcl3/#1X2;2,2,5,1
05.02.2021,2021,scotland,championship,Ayr,Hearts,6.22,4.72,1.43,1.43,2.62,1.6,2.23,https://www.oddsportal.com/soccer/scotland/championship/ayr-hearts-MVUKbNWk/#1X2;2,2,1,0
23.01.2021,2021,scotland,championship,Dunfermline,Ayr,1.72,3.88,4.38,1.73,2.10,1.7,2.08,https://www.oddsportal.com/soccer/scotland/championship/dunfermline-ayr-Y5dX7R93/#1X2;2,0,0,0
20.02.2021,2021,scotland,championship,Arbroath,Raith,2.42,3.35,2.83,1.93,1.87,1.71,2.03,https://www.oddsportal.com/soccer/scotland/championship/arbroath-raith-GhjfDMoq/#1X2;2,1,1,0
07.11.2020,2020,scotland,championship,Ayr,Dunfermline,2.78,3.53,2.36,1.71,2.14,1.6,2.23,https://www.oddsportal.com/soccer/scotland/championship/ayr-dunfermline-6ahbxF2L/#1X2;2,0,0,0
31.10.2020,2020,scotland,championship,Morton,Ayr,2.38,3.44,2.82,1.80,2.01,1.65,2.13,https://www.oddsportal.com/soccer/scotland/championship/morton-ayr-Wt0ouHI2/#1X2;2,1,5,1
24.11.2020,2020,scotland,championship,Hearts,Alloa,1.17,6.82,14.64,1.55,2.36,2.39,1.54,https://www.oddsportal.com/soccer/scotland/championship/hearts-alloa-4z8aHDQe/#1X2;2,1,3,0
06.02.2021,2021,scotland,championship,Morton,Raith,2.88,3.28,2.41,1.74,2.10,1.57,2.28,https://www.oddsportal.com/soccer/scotland/championship/morton-raith-SSH6MQOd/#1X2;2,2,1,0
17.02.2021,2021,scotland,championship,Inverness,Queen of South,1.64,4.02,4.62,1.65,2.22,1.65,2.15,https://www.oddsportal.com/soccer/scotland/championship/inverness-queen-of-south-x2VdAaE4/#1X2;2,2,1,0
27.01.2021,2021,scotland,championship,Morton,Inverness,3.3,3.55,2.07,1.77,2.05,1.64,2.15,https://www.oddsportal.com/soccer/scotland/championship/morton-inverness-I1p2hRhJ/#1X2;2,0,4,1
17.10.2020,2020,scotland,championship,Ayr,Queen of South,1.91,3.62,3.73,1.78,2.03,1.68,2.08,https://www.oddsportal.com/soccer/scotland/championship/ayr-queen-of-south-bHHpNrcH/#1X2;2,1,3,1
16.10.2020,2020,scotland,championship,Hearts,Dundee FC,1.7,3.72,4.79,1.99,1.83,1.92,1.82,https://www.oddsportal.com/soccer/scotland/championship/hearts-dundee-fc-r7vI4zsj/#1X2;2,1,8,1
20.02.2021,2021,scotland,championship,Hearts,Morton,1.22,6.23,11.06,1.42,2.65,1.93,1.81,https://www.oddsportal.com/soccer/scotland/championship/hearts-morton-2oWlZ382/#1X2;2,0,2,1
30.01.2021,2021,scotland,championship,Morton,Arbroath,2.57,3.29,2.67,2.04,1.78,1.77,1.98,https://www.oddsportal.com/soccer/scotland/championship/morton-arbroath-WOU09JTA/#1X2;2,2,1,0
23.01.2021,2021,scotland,championship,Hearts,Raith,1.26,5.75,9.57,1.49,2.59,1.86,1.88,https://www.oddsportal.com/soccer/scotland/championship/hearts-raith-Cdey7oP9/#1X2;2,2,5,1
29.12.2020,2020,scotland,championship,Hearts,Arbroath,1.19,6.61,12.91,1.49,2.56,2.17,1.65,https://www.oddsportal.com/soccer/scotland/championship/hearts-arbroath-xtfMcMUb/#1X2;2,1,4,1
15.01.2021,2021,scotland,championship,Morton,Dunfermline,3.64,3.56,1.96,1.85,1.94,1.72,2.05,https://www.oddsportal.com/soccer/scotland/championship/morton-dunfermline-bZEu2yMp/#1X2;2,0,0,0
05.12.2020,2020,scotland,championship,Alloa,Ayr,3.07,3.45,2.21,1.81,2.00,1.67,2.09,https://www.oddsportal.com/soccer/scotland/championship/alloa-ayr-AgzQjEHE/#1X2;2,2,2,0
31.10.2020,2020,scotland,championship,Dundee FC,Raith,1.89,3.68,3.76,1.75,2.08,1.67,2.09,https://www.oddsportal.com/soccer/scotland/championship/dundee-fc-raith-OQaiJZeq/#1X2;2,0,2,1
27.02.2021,2021,scotland,championship,Raith,Alloa,1.77,3.76,4.2,1.77,2.06,1.71,2.04,https://www.oddsportal.com/soccer/scotland/championship/raith-alloa-r3jZDgxf/#1X2;2,1,4,1
30.01.2021,2021,scotland,championship,Hearts,Dunfermline,1.48,4.39,6.14,1.60,2.32,1.72,2.05,https://www.oddsportal.com/soccer/scotland/championship/hearts-dunfermline-bBWhBuab/#1X2;2,1,1,0
31.10.2020,2020,scotland,championship,Dunfermline,Queen of South,1.64,3.9,4.91,1.80,2.01,1.79,1.96,https://www.oddsportal.com/soccer/scotland/championship/dunfermline-queen-of-south-MBIfIgBk/#1X2;2,1,5,1
31.10.2020,2020,scotland,championship,Inverness,Arbroath,2.13,3.49,3.21,1.92,1.88,1.75,2.0,https://www.oddsportal.com/soccer/scotland/championship/inverness-arbroath-rR63GXu2/#1X2;2,1,4,1
20.02.2021,2021,scotland,championship,Ayr,Inverness,2.69,3.5,2.44,1.72,2.13,1.58,2.25,https://www.oddsportal.com/soccer/scotland/championship/ayr-inverness-fqkbCt1k/#1X2;2,2,2,0
17.10.2020,2020,scotland,championship,Morton,Alloa,1.89,3.66,3.77,1.82,1.98,1.73,2.03,https://www.oddsportal.com/soccer/scotland/championship/morton-alloa-McwM3fdd/#1X2;2,1,1,0
26.12.2020,2020,scotland,championship,Queen of South,Dundee FC,3.59,3.58,1.97,1.78,2.03,1.67,2.09,https://www.oddsportal.com/soccer/scotland/championship/queen-of-south-dundee-fc-hhhA0Opt/#1X2;2,2,4,1
29.12.2020,2020,scotland,championship,Raith,Queen of South,1.43,4.71,6.15,1.53,2.48,1.67,2.12,https://www.oddsportal.com/soccer/scotland/championship/raith-queen-of-south-berVe0aB/#1X2;2,2,2,0
23.02.2021,2021,scotland,championship,Inverness,Alloa,1.49,4.25,6.05,1.75,2.07,1.86,1.88,https://www.oddsportal.com/soccer/scotland/championship/inverness-alloa-UXkt65vG/#1X2;2,0,4,1
07.11.2020,2020,scotland,championship,Arbroath,Queen of South,2.35,3.4,2.88,1.87,1.93,1.72,2.03,https://www.oddsportal.com/soccer/scotland/championship/arbroath-queen-of-south-hdlfwemF/#1X2;2,0,2,1
23.01.2021,2021,scotland,championship,Queen of South,Morton,2.28,3.38,3.01,1.95,1.85,1.75,2.01,https://www.oddsportal.com/soccer/scotland/championship/queen-of-south-morton-8Olp5PgM/#1X2;2,1,3,1
12.12.2020,2020,scotland,championship,Hearts,Queen of South,1.26,5.63,9.69,1.53,2.49,1.89,1.84,https://www.oddsportal.com/soccer/scotland/championship/hearts-queen-of-south-4GBLul9D/#1X2;2,1,7,1
02.03.2021,2021,scotland,championship,Dundee FC,Inverness,2.3,3.36,2.98,1.91,1.89,1.72,2.05,https://www.oddsportal.com/soccer/scotland/championship/dundee-fc-inverness-0MTOcsnd/#1X2;2,1,3,1
12.12.2020,2020,scotland,championship,Arbroath,Alloa,1.97,3.44,3.7,2.05,1.77,1.85,1.89,https://www.oddsportal.com/soccer/scotland/championship/arbroath-alloa-UcJ8rjPf/#1X2;2,2,1,0
26.01.2021,2021,scotland,championship,Raith,Hearts,5.3,4.24,1.54,1.54,2.37,1.64,2.13,https://www.oddsportal.com/soccer/scotland/championship/raith-hearts-lMhod9gf/#1X2;2,2,4,0
03.02.2021,2021,scotland,championship,Arbroath,Inverness,3.33,3.41,2.12,2.01,1.80,1.8,1.95,https://www.oddsportal.com/soccer/scotland/championship/arbroath-inverness-6LowfvUN/#1X2;2,0,2,1
29.12.2020,2020,scotland,championship,Dundee FC,Alloa,1.49,4.2,6.13,1.83,1.98,1.91,1.84,https://www.oddsportal.com/soccer/scotland/championship/dundee-fc-alloa-Q5jIb2Fh/#1X2;2,1,4,1
20.11.2020,2020,scotland,championship,Dunfermline,Hearts,4.91,3.52,1.72,1.75,2.09,1.7,2.05,https://www.oddsportal.com/soccer/scotland/championship/dunfermline-hearts-GfgZTjA1/#1X2;2,1,3,1
05.12.2020,2020,scotland,championship,Raith,Dunfermline,3.07,3.66,2.14,1.64,2.25,1.56,2.31,https://www.oddsportal.com/soccer/scotland/championship/raith-dunfermline-zyK4qW9l/#1X2;2,0,4,1
21.11.2020,2020,scotland,championship,Queen of South,Alloa,2.08,3.5,3.34,1.84,1.96,1.7,2.08,https://www.oddsportal.com/soccer/scotland/championship/queen-of-south-alloa-W2yMif28/#1X2;2,1,2,0
27.02.2021,2021,scotland,championship,Morton,Dundee FC,3.96,3.51,1.89,1.95,1.85,1.81,1.94,https://www.oddsportal.com/soccer/scotland/championship/morton-dundee-fc-nycQFF7s/#1X2;2,0,4,1
07.11.2020,2020,scotland,championship,Raith,Morton,2.03,3.74,3.24,1.58,2.27,1.53,2.36,https://www.oddsportal.com/soccer/scotland/championship/raith-morton-2VwUWhQr/#1X2;2,1,5,0
06.02.2021,2021,scotland,championship,Alloa,Queen of South,2.76,3.55,2.35,1.70,2.14,1.56,2.27,https://www.oddsportal.com/soccer/scotland/championship/alloa-queen-of-south-2oll4q9S/#1X2;2,1,3,1
20.02.2021,2021,scotland,championship,Dundee FC,Queen of South,1.61,4.09,4.95,1.66,2.22,1.68,2.1,https://www.oddsportal.com/soccer/scotland/championship/dundee-fc-queen-of-south-l6l2B0Ge/#1X2;2,2,5,1
20.02.2021,2021,scotland,championship,Dunfermline,Alloa,1.49,4.27,6.05,1.77,2.05,1.9,1.84,https://www.oddsportal.com/soccer/scotland/championship/dunfermline-alloa-0th6AKV1/#1X2;2,1,3,1
19.12.2020,2020,scotland,championship,Morton,Queen of South,2.2,3.54,3.02,1.73,2.10,1.62,2.19,https://www.oddsportal.com/soccer/scotland/championship/morton-queen-of-south-AVgsckvl/#1X2;2,1,2,0
30.01.2021,2021,scotland,championship,Raith,Dundee FC,3.25,3.63,2.07,1.72,2.12,1.6,2.21,https://www.oddsportal.com/soccer/scotland/championship/raith-dundee-fc-pSY48wqH/#1X2;2,1,4,1
26.02.2021,2021,scotland,championship,Inverness,Hearts,4.69,4.09,1.63,1.62,2.21,1.66,2.14,https://www.oddsportal.com/soccer/scotland/championship/inverness-hearts-ABZdXswF/#1X2;2,0,2,1
06.02.2021,2021,scotland,championship,Arbroath,Dunfermline,3.77,3.5,1.94,2.01,1.80,1.83,1.91,https://www.oddsportal.com/soccer/scotland/championship/arbroath-dunfermline-v7uGa3Hq/#1X2;2,1,2,0
29.12.2020,2020,scotland,championship,Ayr,Morton,2.08,3.51,3.32,1.80,2.01,1.67,2.09,https://www.oddsportal.com/soccer/scotland/championship/ayr-morton-WriEar0n/#1X2;2,0,2,1
11.12.2020,2020,scotland,championship,Ayr,Raith,2.43,3.49,2.7,1.76,2.06,1.6,2.21,https://www.oddsportal.com/soccer/scotland/championship/ayr-raith-8lICsAv1/#1X2;2,0,0,0
