date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
18.03.2017,2017,scotland,championship-2016-2017,Hibernian,Dumbarton,1.27,5.86,11.23,1.52,2.60,1.9,1.98,https://www.oddsportal.com/soccer/scotland/championship-2016-2017/hibernian-dumbarton-2sIaQ9BJ/#1X2;2,0,4,1
01.04.2017,2017,scotland,championship-2016-2017,Dunfermline,Hibernian,4.54,3.53,1.84,2.04,1.79,1.91,1.92,https://www.oddsportal.com/soccer/scotland/championship-2016-2017/dunfermline-hibernian-OKleFq3I/#1X2;2,0,2,1
15.10.2016,2016,scotland,championship-2016-2017,Raith,Hibernian,5.64,3.91,1.58,1.85,1.96,1.79,2.0,https://www.oddsportal.com/soccer/scotland/championship-2016-2017/raith-hibernian-lbAhDNK3/#1X2;2,0,0,0
17.12.2016,2016,scotland,championship-2016-2017,Dumbarton,Falkirk,4.46,3.65,1.82,1.99,1.84,1.9,1.98,https://www.oddsportal.com/soccer/scotland/championship-2016-2017/dumbarton-falkirk-ChkSjU8P/#1X2;2,1,3,1
29.04.2017,2017,scotland,championship-2016-2017,Dunfermline,Morton,2.11,3.49,3.46,1.97,1.88,1.75,2.1,https://www.oddsportal.com/soccer/scotland/championship-2016-2017/dunfermline-morton-MPDSpyg3/#1X2;2,1,4,1
06.05.2017,2017,scotland,championship-2016-2017,Morton,Dundee Utd,3.88,3.61,1.93,1.94,1.87,1.8,2.02,https://www.oddsportal.com/soccer/scotland/championship-2016-2017/morton-dundee-utd-j55qsghS/#1X2;2,0,2,1
12.11.2016,2016,scotland,championship-2016-2017,Hibernian,Falkirk,1.58,3.94,5.99,2.05,1.80,2.09,1.77,https://www.oddsportal.com/soccer/scotland/championship-2016-2017/hibernian-falkirk-lrUFGdRe/#1X2;2,0,2,1
29.04.2017,2017,scotland,championship-2016-2017,Dundee Utd,Dumbarton,1.66,4.04,4.98,1.75,2.13,1.73,2.2,https://www.oddsportal.com/soccer/scotland/championship-2016-2017/dundee-utd-dumbarton-rZEOoHwc/#1X2;2,0,4,1
08.11.2016,2016,scotland,championship-2016-2017,Dundee Utd,Dunfermline,1.35,5.23,8.01,1.49,2.71,1.67,2.16,https://www.oddsportal.com/soccer/scotland/championship-2016-2017/dundee-utd-dunfermline-ELL1v0J2/#1X2;2,1,1,0
05.11.2016,2016,scotland,championship-2016-2017,St. Mirren,Dumbarton,2.03,3.54,3.61,1.81,2.03,1.61,2.29,https://www.oddsportal.com/soccer/scotland/championship-2016-2017/st-mirren-dumbarton-zyluNblS/#1X2;2,2,1,0
10.05.2017,2017,scotland,league-one-2016-2017,Airdrieonians,Alloa,2.49,3.41,2.82,1.71,2.17,1.62,2.4,https://www.oddsportal.com/soccer/scotland/league-one-2016-2017/airdrieonians-alloa-U9Fpk0hr/#1X2;2,1,1,0
22.10.2016,2016,scotland,championship-2016-2017,Dundee Utd,Dumbarton,1.4,4.77,6.97,1.57,2.42,1.73,2.05,https://www.oddsportal.com/soccer/scotland/championship-2016-2017/dundee-utd-dumbarton-zFC4AL4M/#1X2;2,1,3,1
25.03.2017,2017,scotland,championship-2016-2017,Ayr,Dumbarton,2.56,3.47,2.75,1.83,2.01,1.65,2.35,https://www.oddsportal.com/soccer/scotland/championship-2016-2017/ayr-dumbarton-YVerIoJa/#1X2;2,1,3,1
29.10.2016,2016,scotland,championship-2016-2017,Hibernian,St. Mirren,1.29,5.33,9.91,1.66,2.23,2.0,1.71,https://www.oddsportal.com/soccer/scotland/championship-2016-2017/hibernian-st-mirren-SCiq3wcd/#1X2;2,1,2,0
05.11.2016,2016,scotland,championship-2016-2017,Ayr,Hibernian,6.57,4.2,1.51,1.92,1.92,1.98,1.81,https://www.oddsportal.com/soccer/scotland/championship-2016-2017/ayr-hibernian-SSu7IIdq/#1X2;2,2,3,0
08.04.2017,2017,scotland,championship-2016-2017,St. Mirren,Dumbarton,1.72,3.93,4.84,1.79,2.06,1.73,2.1,https://www.oddsportal.com/soccer/scotland/championship-2016-2017/st-mirren-dumbarton-jP1NII9A/#1X2;2,0,2,1
15.04.2017,2017,scotland,championship-2016-2017,Dumbarton,Dunfermline,2.93,3.53,2.34,1.78,2.09,1.63,2.41,https://www.oddsportal.com/soccer/scotland/championship-2016-2017/dumbarton-dunfermline-n7apYc9c/#1X2;2,2,2,0
15.04.2017,2017,scotland,championship-2016-2017,Falkirk,St. Mirren,1.97,3.5,3.86,1.92,1.93,1.76,2.08,https://www.oddsportal.com/soccer/scotland/championship-2016-2017/falkirk-st-mirren-K07bAfHj/#1X2;2,0,4,1
17.05.2017,2017,scotland,league-one-2016-2017,Brechin,Alloa,3.14,3.25,2.38,1.79,2.04,1.7,2.15,https://www.oddsportal.com/soccer/scotland/league-one-2016-2017/brechin-alloa-SnQYQE1q/#1X2;2,1,1,0
26.04.2017,2017,scotland,championship-2016-2017,Hibernian,Raith,1.52,4.13,6.74,2.02,1.82,2.15,1.77,https://www.oddsportal.com/soccer/scotland/championship-2016-2017/hibernian-raith-bBt6TZNS/#1X2;2,1,5,1
06.05.2017,2017,scotland,championship-2016-2017,Queen of South,Dunfermline,2.32,3.43,2.98,1.76,2.10,1.64,2.38,https://www.oddsportal.com/soccer/scotland/championship-2016-2017/queen-of-south-dunfermline-8b7AxD0q/#1X2;2,2,1,0
