date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
11.02.2017,2017,scotland,premiership-2016-2017,Dundee FC,Kilmarnock,2.03,3.47,3.82,2.08,1.79,1.9,1.98,https://www.oddsportal.com/soccer/scotland/premiership-2016-2017/dundee-fc-kilmarnock-nuqKvldl/#1X2;2,0,2,1
25.02.2017,2017,scotland,premiership-2016-2017,Aberdeen,Ross County,1.44,4.98,7.76,1.67,2.37,1.87,2.04,https://www.oddsportal.com/soccer/scotland/premiership-2016-2017/aberdeen-ross-county-UwkY4pAg/#1X2;2,1,1,0
28.12.2016,2016,scotland,premiership-2016-2017,Celtic,Ross County,1.15,8.74,19.59,1.34,3.27,2.12,1.81,https://www.oddsportal.com/soccer/scotland/premiership-2016-2017/celtic-ross-county-YFVwUcrT/#1X2;2,1,2,0
29.04.2017,2017,scotland,premiership-2016-2017,Motherwell,Dundee FC,2.09,3.55,3.5,1.81,2.04,1.69,2.28,https://www.oddsportal.com/soccer/scotland/premiership-2016-2017/motherwell-dundee-fc-A7wbU7Rt/#1X2;2,2,5,1
29.04.2017,2017,scotland,premiership-2016-2017,Rangers,Celtic,4.88,3.88,1.72,1.77,2.09,1.78,2.13,https://www.oddsportal.com/soccer/scotland/premiership-2016-2017/rangers-celtic-M7SOYS1S/#1X2;2,2,6,1
29.04.2017,2017,scotland,premiership-2016-2017,Aberdeen,St Johnstone,1.48,4.22,7.51,1.96,1.88,2.17,1.76,https://www.oddsportal.com/soccer/scotland/premiership-2016-2017/aberdeen-st-johnstone-vmFjUnAq/#1X2;2,2,2,0
16.05.2017,2017,scotland,premiership-2016-2017,Dundee Utd,Falkirk,2.08,3.46,3.59,1.81,2.02,1.67,2.28,https://www.oddsportal.com/soccer/scotland/premiership-2016-2017/dundee-utd-falkirk-IPbJK94T/#1X2;2,0,4,1
08.04.2017,2017,scotland,premiership-2016-2017,Hamilton,Ross County,2.78,3.3,2.66,2.06,1.81,1.84,2.08,https://www.oddsportal.com/soccer/scotland/premiership-2016-2017/hamilton-ross-county-WIuapDT2/#1X2;2,0,2,1
26.10.2016,2016,scotland,premiership-2016-2017,Rangers,St Johnstone,1.67,3.99,4.96,1.80,2.03,1.8,1.96,https://www.oddsportal.com/soccer/scotland/premiership-2016-2017/rangers-st-johnstone-WjZi1miS/#1X2;2,0,2,1
23.10.2016,2016,scotland,premiership-2016-2017,St Johnstone,Dundee FC,1.89,3.6,4.08,2.01,1.80,1.91,1.89,https://www.oddsportal.com/soccer/scotland/premiership-2016-2017/st-johnstone-dundee-fc-bsior8pj/#1X2;2,1,3,1
01.02.2017,2017,scotland,premiership-2016-2017,Celtic,Aberdeen,1.45,4.67,7.5,1.65,2.30,1.9,2.02,https://www.oddsportal.com/soccer/scotland/premiership-2016-2017/celtic-aberdeen-GEmOw8Bf/#1X2;2,1,1,0
08.04.2017,2017,scotland,premiership-2016-2017,Hearts,Dundee FC,1.61,4.0,5.84,1.85,1.99,1.9,1.98,https://www.oddsportal.com/soccer/scotland/premiership-2016-2017/hearts-dundee-fc-f1dGLTj2/#1X2;2,1,1,0
13.05.2017,2017,scotland,premiership-2016-2017,Kilmarnock,Inverness,2.4,3.36,2.97,2.04,1.81,1.83,2.07,https://www.oddsportal.com/soccer/scotland/premiership-2016-2017/kilmarnock-inverness-bkoGO3eI/#1X2;2,1,3,1
16.04.2017,2017,scotland,premiership-2016-2017,Ross County,Celtic,10.45,6.4,1.26,1.41,2.92,1.82,2.12,https://www.oddsportal.com/soccer/scotland/premiership-2016-2017/ross-county-celtic-IZsBsBDL/#1X2;2,0,4,1
29.01.2017,2017,scotland,premiership-2016-2017,Celtic,Hearts,1.24,6.69,11.91,1.44,2.81,1.9,2.02,https://www.oddsportal.com/soccer/scotland/premiership-2016-2017/celtic-hearts-KzWiyFkd/#1X2;2,1,4,0
10.12.2016,2016,scotland,premiership-2016-2017,Dundee FC,Ross County,2.62,3.34,2.74,1.99,1.86,1.78,2.13,https://www.oddsportal.com/soccer/scotland/premiership-2016-2017/dundee-fc-ross-county-KEIXICIU/#1X2;2,0,0,0
16.05.2017,2017,scotland,premiership-2016-2017,Motherwell,Kilmarnock,1.84,3.67,4.26,1.96,1.88,1.89,2.01,https://www.oddsportal.com/soccer/scotland/premiership-2016-2017/motherwell-kilmarnock-jqY1n7mP/#1X2;2,1,4,1
27.12.2016,2016,scotland,premiership-2016-2017,Hearts,Kilmarnock,1.43,4.8,7.76,1.64,2.33,1.83,2.09,https://www.oddsportal.com/soccer/scotland/premiership-2016-2017/hearts-kilmarnock-fPWZUwTM/#1X2;2,1,4,0
26.11.2016,2016,scotland,premiership-2016-2017,Dundee FC,Inverness,2.49,3.23,2.98,2.05,1.80,1.71,2.14,https://www.oddsportal.com/soccer/scotland/premiership-2016-2017/dundee-fc-inverness-pYVyMNSf/#1X2;2,1,3,1
01.04.2017,2017,scotland,premiership-2016-2017,Inverness,Kilmarnock,2.1,3.42,3.64,2.07,1.80,1.9,2.01,https://www.oddsportal.com/soccer/scotland/premiership-2016-2017/inverness-kilmarnock-Wpt1TKhB/#1X2;2,0,2,1
31.01.2017,2017,scotland,premiership-2016-2017,Ross County,Motherwell,2.01,3.68,3.69,1.67,2.28,1.63,2.44,https://www.oddsportal.com/soccer/scotland/premiership-2016-2017/ross-county-motherwell-f5nSxSQ0/#1X2;2,2,3,1
28.12.2016,2016,scotland,premiership-2016-2017,Inverness,Motherwell,1.92,3.71,3.99,1.78,2.11,1.7,2.3,https://www.oddsportal.com/soccer/scotland/premiership-2016-2017/inverness-motherwell-02XVVJDG/#1X2;2,2,3,1
01.10.2016,2016,scotland,premiership-2016-2017,Hamilton,Inverness,3.22,3.46,2.35,1.96,1.94,1.73,2.09,https://www.oddsportal.com/soccer/scotland/premiership-2016-2017/hamilton-inverness-067JjuXh/#1X2;2,0,2,1
26.11.2016,2016,scotland,premiership-2016-2017,Partick Thistle,Rangers,4.79,3.7,1.72,1.84,2.01,1.78,2.11,https://www.oddsportal.com/soccer/scotland/premiership-2016-2017/partick-rangers-l6xTNqbr/#1X2;2,2,3,1
06.11.2016,2016,scotland,premiership-2016-2017,Ross County,Rangers,5.01,4.09,1.66,1.69,2.23,1.66,2.21,https://www.oddsportal.com/soccer/scotland/premiership-2016-2017/ross-county-rangers-fVcjAQTr/#1X2;2,0,2,1
11.03.2017,2017,scotland,premiership-2016-2017,Hearts,Hamilton,1.58,4.2,5.9,1.80,2.06,1.84,2.05,https://www.oddsportal.com/soccer/scotland/premiership-2016-2017/hearts-hamilton-l2OAI3vg/#1X2;2,1,4,0
01.02.2017,2017,scotland,premiership-2016-2017,Partick Thistle,St Johnstone,2.66,3.17,2.87,2.33,1.64,1.99,1.92,https://www.oddsportal.com/soccer/scotland/premiership-2016-2017/partick-st-johnstone-U5Drbxc9/#1X2;2,2,1,0
01.10.2016,2016,scotland,premiership-2016-2017,Kilmarnock,Aberdeen,5.4,4.24,1.67,1.95,1.95,1.85,1.84,https://www.oddsportal.com/soccer/scotland/premiership-2016-2017/kilmarnock-aberdeen-UoazmcWH/#1X2;2,2,4,0
25.09.2016,2016,scotland,premiership-2016-2017,Hamilton,St Johnstone,3.12,3.42,2.44,2.07,1.84,1.81,2.0,https://www.oddsportal.com/soccer/scotland/premiership-2016-2017/hamilton-st-johnstone-GrZ0YcHO/#1X2;2,0,2,1
31.12.2016,2016,scotland,premiership-2016-2017,Rangers,Celtic,4.98,3.95,1.71,1.71,2.20,1.74,2.25,https://www.oddsportal.com/soccer/scotland/premiership-2016-2017/rangers-celtic-SxiDrccM/#1X2;2,2,3,1
