date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
06.02.2021,2021,scotland,premiership,Ross County,Dundee Utd,2.46,3.29,2.92,2.03,1.82,1.77,2.02,https://www.oddsportal.com/soccer/scotland/premiership/ross-county-dundee-utd-Cn64Jt8f/#1X2;2,2,2,0
12.08.2020,2020,scotland,premiership,Motherwell,Livingston,2.41,3.27,3.09,2.34,1.63,1.98,1.81,https://www.oddsportal.com/soccer/scotland/premiership/motherwell-livingston-YJLomrhB/#1X2;2,0,4,1
05.12.2020,2020,scotland,premiership,St. Mirren,Aberdeen,3.63,3.2,2.15,2.51,1.55,2.13,1.69,https://www.oddsportal.com/soccer/scotland/premiership/st-mirren-aberdeen-SOiYtMmS/#1X2;2,0,2,1
27.01.2021,2021,scotland,premiership,Hibernian,Rangers,8.16,4.81,1.38,1.78,2.08,2.07,1.74,https://www.oddsportal.com/soccer/scotland/premiership/hibernian-rangers-AJ7sEoWE/#1X2;2,2,1,0
05.12.2020,2020,scotland,premiership,Motherwell,Hibernian,3.0,3.35,2.36,2.04,1.80,1.8,1.97,https://www.oddsportal.com/soccer/scotland/premiership/motherwell-hibernian-693PrrJF/#1X2;2,2,3,0
29.08.2020,2020,scotland,premiership,Kilmarnock,Dundee Utd,2.58,3.29,2.82,2.20,1.70,1.88,1.9,https://www.oddsportal.com/soccer/scotland/premiership/kilmarnock-dundee-utd-rHwd3fr9/#1X2;2,1,4,0
17.02.2021,2021,scotland,premiership,St. Mirren,Hamilton,1.7,3.56,5.38,2.31,1.64,2.17,1.67,https://www.oddsportal.com/soccer/scotland/premiership/st-mirren-hamilton-xfeaLmLi/#1X2;2,0,2,1
13.02.2021,2021,scotland,premiership,Motherwell,Hamilton,1.84,3.56,4.39,2.07,1.80,1.9,1.87,https://www.oddsportal.com/soccer/scotland/premiership/motherwell-hamilton-vasauOUD/#1X2;2,2,5,1
24.11.2020,2020,scotland,premiership,Hibernian,St Johnstone,2.27,3.19,3.34,2.46,1.57,2.05,1.74,https://www.oddsportal.com/soccer/scotland/premiership/hibernian-st-johnstone-tnhGH5KG/#1X2;2,0,4,1
21.11.2020,2020,scotland,premiership,St Johnstone,Motherwell,2.25,3.2,3.36,2.43,1.58,2.04,1.75,https://www.oddsportal.com/soccer/scotland/premiership/st-johnstone-motherwell-ryIUM0dd/#1X2;2,0,2,1
12.09.2020,2020,scotland,premiership,St. Mirren,Hibernian,4.74,3.84,1.71,1.92,1.92,1.9,1.89,https://www.oddsportal.com/soccer/scotland/premiership/st-mirren-hibernian-UX1wGXRE/#1X2;2,2,3,0
08.08.2020,2020,scotland,premiership,Hamilton,Ross County,2.76,3.29,2.65,2.19,1.72,1.88,1.91,https://www.oddsportal.com/soccer/scotland/premiership/hamilton-ross-county-Y5tDYrwI/#1X2;2,2,1,0
03.03.2021,2021,scotland,premiership,Hamilton,St Johnstone,5.06,3.6,1.72,2.30,1.64,2.14,1.68,https://www.oddsportal.com/soccer/scotland/premiership/hamilton-st-johnstone-p0QsXaxf/#1X2;2,0,2,1
12.09.2020,2020,scotland,premiership,Livingston,Hamilton,1.58,3.81,6.28,2.19,1.70,2.17,1.68,https://www.oddsportal.com/soccer/scotland/premiership/livingston-hamilton-tCLrfj5e/#1X2;2,2,3,1
