date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
22.10.2016,2016,scotland,scottish-cup-2016-2017,Berwick,Hawick Royal Albert,1.29,5.49,8.27,1.33,3.18,1.5,2.45,https://www.oddsportal.com/soccer/scotland/scottish-cup-2016-2017/berwick-hawick-royal-albert-KI8bSAbC/,2,5,1
22.10.2016,2016,scotland,scottish-cup-2016-2017,BSC Glasgow,Beith,5.05,4.55,1.46,1.40,2.83,1.42,2.65,https://www.oddsportal.com/soccer/scotland/scottish-cup-2016-2017/bsc-glasgow-beith-Ofqc82sE/,2,1,0
03.12.2016,2016,scotland,scottish-cup-2016-2017,Stranraer,East Kilbride,1.55,4.19,5.17,1.45,2.68,1.47,2.65,https://www.oddsportal.com/soccer/scotland/scottish-cup-2016-2017/stranraer-east-kilbride-GUT68Rqg/,1,3,1
03.12.2016,2016,scotland,scottish-cup-2016-2017,Beith,Morton,13.77,6.22,1.18,1.32,3.29,1.6,2.34,https://www.oddsportal.com/soccer/scotland/scottish-cup-2016-2017/beith-morton-W08ygnp6/,2,6,0
26.11.2016,2016,scotland,scottish-cup-2016-2017,Elgin City,Hawick Royal Albert,1.27,5.95,9.81,1.43,2.76,1.8,1.97,https://www.oddsportal.com/soccer/scotland/scottish-cup-2016-2017/elgin-city-hawick-royal-albert-hGdpiQEI/,1,9,1
23.04.2017,2017,scotland,scottish-cup-2016-2017,Celtic,Rangers,1.44,4.53,7.31,1.70,2.19,1.85,2.04,https://www.oddsportal.com/soccer/scotland/scottish-cup-2016-2017/celtic-rangers-6PXe0pHl/,1,2,0
22.10.2016,2016,scotland,scottish-cup-2016-2017,Gala Fairydean,Elgin City,6.33,4.45,1.44,1.42,2.72,1.48,2.5,https://www.oddsportal.com/soccer/scotland/scottish-cup-2016-2017/gala-fairydean-rovers-elgin-city-UXNNg3SK/,2,4,0
26.11.2016,2016,scotland,scottish-cup-2016-2017,Buckie Thistle,Dunfermline,7.11,5.45,1.36,1.44,2.74,1.62,2.1,https://www.oddsportal.com/soccer/scotland/scottish-cup-2016-2017/buckie-thistle-dunfermline-IglWET6P/,2,8,1
22.10.2016,2016,scotland,scottish-cup-2016-2017,Edinburgh City,Forfar Athletic,4.12,4.14,1.67,1.51,2.50,1.51,2.42,https://www.oddsportal.com/soccer/scotland/scottish-cup-2016-2017/edinburgh-city-forfar-athletic-Ic8cm15l/,0,0,0
21.01.2017,2017,scotland,scottish-cup-2016-2017,Kilmarnock,Hamilton,2.5,3.2,2.92,2.04,1.80,1.78,2.13,https://www.oddsportal.com/soccer/scotland/scottish-cup-2016-2017/kilmarnock-hamilton-S6dd9NMd/,2,1,0
22.10.2016,2016,scotland,scottish-cup-2016-2017,Wick Academy,Whitehill Welfare,1.69,4.22,3.93,1.49,2.55,1.47,2.53,https://www.oddsportal.com/soccer/scotland/scottish-cup-2016-2017/wick-academy-whitehill-welfare-8n1Apak7/,1,5,1
29.11.2016,2016,scotland,scottish-cup-2016-2017,Albion Rovers,Queen of South,3.77,3.64,1.96,1.77,2.08,1.66,2.29,https://www.oddsportal.com/soccer/scotland/scottish-cup-2016-2017/albion-rovers-queen-of-south-OfXE65E5/,1,3,1
03.12.2016,2016,scotland,scottish-cup-2016-2017,Formartine Utd,Annan,2.78,3.99,2.21,1.50,2.60,1.43,2.77,https://www.oddsportal.com/soccer/scotland/scottish-cup-2016-2017/formartine-utd-annan-pALN4qqI/,1,4,0
05.03.2017,2017,scotland,scottish-cup-2016-2017,Celtic,St. Mirren,1.05,15.06,52.72,1.23,4.27,2.53,1.58,https://www.oddsportal.com/soccer/scotland/scottish-cup-2016-2017/celtic-st-mirren-AaHCGb9B/,1,5,1
11.02.2017,2017,scotland,scottish-cup-2016-2017,Dunfermline,Hamilton,2.55,3.33,2.79,1.94,1.88,1.73,2.17,https://www.oddsportal.com/soccer/scotland/scottish-cup-2016-2017/dunfermline-hamilton-424Cveej/,0,2,1
22.01.2017,2017,scotland,scottish-cup-2016-2017,Raith,Hearts,6.17,4.26,1.52,1.81,2.06,1.93,1.95,https://www.oddsportal.com/soccer/scotland/scottish-cup-2016-2017/raith-hearts-vi3Epvpd/,0,2,1
21.01.2017,2017,scotland,scottish-cup-2016-2017,Livingston,East Fife,1.6,4.15,5.47,1.75,2.13,1.85,2.04,https://www.oddsportal.com/soccer/scotland/scottish-cup-2016-2017/livingston-east-fife-f9UQBROk/,2,1,0
21.01.2017,2017,scotland,scottish-cup-2016-2017,Alloa,Dunfermline,3.71,3.77,1.93,1.62,2.36,1.57,2.55,https://www.oddsportal.com/soccer/scotland/scottish-cup-2016-2017/alloa-dunfermline-lMp571i9/,2,5,1
21.01.2017,2017,scotland,scottish-cup-2016-2017,Morton,Falkirk,2.56,3.25,2.8,2.13,1.74,1.88,2.01,https://www.oddsportal.com/soccer/scotland/scottish-cup-2016-2017/morton-falkirk-bD5xEMgR/,1,2,0
22.10.2016,2016,scotland,scottish-cup-2016-2017,Annan,East Stirlingshire,1.6,4.16,4.66,1.53,2.46,1.5,2.45,https://www.oddsportal.com/soccer/scotland/scottish-cup-2016-2017/annan-east-stirlingshire-fs6UkfRn/,0,0,0
21.01.2017,2017,scotland,scottish-cup-2016-2017,Elgin City,Inverness,7.91,5.26,1.36,1.46,2.73,1.69,2.28,https://www.oddsportal.com/soccer/scotland/scottish-cup-2016-2017/elgin-city-inverness-004AoKUk/,2,3,1
21.01.2017,2017,scotland,scottish-cup-2016-2017,Bonnyrigg Rose,Hibernian,21.91,10.29,1.08,1.29,3.47,2.4,1.63,https://www.oddsportal.com/soccer/scotland/scottish-cup-2016-2017/bonnyrigg-rose-hibernian-4OL5lQdL/,2,9,1
26.11.2016,2016,scotland,scottish-cup-2016-2017,Peterhead,Alloa,2.65,3.48,2.56,1.70,2.18,1.49,2.58,https://www.oddsportal.com/soccer/scotland/scottish-cup-2016-2017/peterhead-alloa-UarenyTj/,2,1,0
04.03.2017,2017,scotland,scottish-cup-2016-2017,Rangers,Hamilton,1.37,5.07,8.55,1.66,2.29,1.97,1.91,https://www.oddsportal.com/soccer/scotland/scottish-cup-2016-2017/rangers-hamilton-ljGGFIOH/,1,6,0
21.01.2017,2017,scotland,scottish-cup-2016-2017,Dundee FC,St. Mirren,1.57,4.19,5.4,1.71,2.17,1.77,2.16,https://www.oddsportal.com/soccer/scotland/scottish-cup-2016-2017/dundee-fc-st-mirren-2Pl96L6F/,2,2,0
31.01.2017,2017,scotland,scottish-cup-2016-2017,Clyde,Stirling,1.82,3.93,4.04,1.57,2.36,1.55,2.58,https://www.oddsportal.com/soccer/scotland/scottish-cup-2016-2017/clyde-stirling-t2bTrpli/,1,5,1
03.12.2016,2016,scotland,scottish-cup-2016-2017,Stenhousemuir,Forres Mechanics,1.43,4.88,6.69,1.37,2.95,1.45,2.71,https://www.oddsportal.com/soccer/scotland/scottish-cup-2016-2017/stenhousemuir-forres-mechanics-f9xzhvxG/,1,4,1
29.11.2016,2016,scotland,scottish-cup-2016-2017,St. Mirren,Spartans,1.29,5.77,8.67,1.36,2.90,1.83,1.89,https://www.oddsportal.com/soccer/scotland/scottish-cup-2016-2017/st-mirren-spartans-xvV297Un/,1,6,1
22.10.2016,2016,scotland,scottish-cup-2016-2017,Linlithgow Rose,Stirling,4.34,4.04,1.66,1.55,2.41,1.5,2.45,https://www.oddsportal.com/soccer/scotland/scottish-cup-2016-2017/linlithgow-rose-stirling-nw0EqJ4D/,2,3,0
11.02.2017,2017,scotland,scottish-cup-2016-2017,Celtic,Inverness,1.13,8.44,20.37,1.36,3.20,2.1,1.81,https://www.oddsportal.com/soccer/scotland/scottish-cup-2016-2017/celtic-inverness-hOp70xI9/,1,6,0
29.11.2016,2016,scotland,scottish-cup-2016-2017,East Fife,Edinburgh City,1.5,4.45,6.25,1.69,2.24,1.79,2.0,https://www.oddsportal.com/soccer/scotland/scottish-cup-2016-2017/east-fife-edinburgh-city-bcRdj0s7/,0,2,1
21.01.2017,2017,scotland,scottish-cup-2016-2017,Rangers,Motherwell,1.42,4.84,7.08,1.56,2.49,1.79,2.12,https://www.oddsportal.com/soccer/scotland/scottish-cup-2016-2017/rangers-motherwell-IyF5n0Fq/,1,3,1
