date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
27.03.2017,2017,serbia,prva-liga-2016-2017,Bezanija,Kolubara,1.69,3.21,4.93,2.39,1.53,2.1,1.67,https://www.oddsportal.com/soccer/serbia/prva-liga-2016-2017/bezanija-kolubara-CzvIKXXD/,1,1,0
17.05.2017,2017,serbia,prva-liga-2016-2017,BSK Borca,Odzaci,1.83,3.64,3.5,2.99,1.37,2.25,1.57,https://www.oddsportal.com/soccer/serbia/prva-liga-2016-2017/bsk-borca-ofk-odzaci-zkihdC7n/,1,3,1
17.05.2017,2017,serbia,prva-liga-2016-2017,CSK Pivara,Kolubara,2.23,3.21,2.91,2.71,1.42,2.2,1.62,https://www.oddsportal.com/soccer/serbia/prva-liga-2016-2017/csk-pivara-kolubara-Ump1fjxa/,2,1,0
28.04.2017,2017,serbia,prva-liga-2016-2017,Sindjelic Beograd,Macva,3.0,3.17,2.2,2.17,1.64,1.67,2.1,https://www.oddsportal.com/soccer/serbia/prva-liga-2016-2017/sindjelic-beograd-macva-sabac-Um87rYLk/,0,4,1
24.04.2017,2017,serbia,prva-liga-2016-2017,Din. Vranje,OFK Beograd,1.17,5.61,15.0,1.29,3.31,1.83,1.83,https://www.oddsportal.com/soccer/serbia/prva-liga-2016-2017/din-vranje-ofk-beograd-4pmhwwpA/,1,1,0
21.04.2017,2017,serbia,prva-liga-2016-2017,Bezanija,Sindjelic Beograd,1.92,3.03,3.92,2.84,1.39,2.25,1.57,https://www.oddsportal.com/soccer/serbia/prva-liga-2016-2017/bezanija-sindjelic-beograd-QgllvJU3/,0,2,1
28.04.2017,2017,serbia,prva-liga-2016-2017,Odzaci,Proleter,1.52,3.68,5.99,2.19,1.63,2.1,1.67,https://www.oddsportal.com/soccer/serbia/prva-liga-2016-2017/ofk-odzaci-proleter-novi-sad-nT4rlfbS/,1,4,1
23.04.2018,2018,serbia,prva-liga-2017-2018,FK Indjija,Novi Pazar,2.58,3.01,2.62,2.55,1.42,2.15,1.7,https://www.oddsportal.com/soccer/serbia/prva-liga-2017-2018/indjija-novi-pazar-IyoZ5GcK/,1,2,0
23.09.2017,2017,serbia,prva-liga-2017-2018,TSC Backa Topola,Bezanija,1.97,3.17,3.61,2.25,1.52,2.01,1.72,https://www.oddsportal.com/soccer/serbia/prva-liga-2017-2018/tsc-backa-topola-bezanija-YHYoMKBd/,1,4,0
02.05.2018,2018,serbia,prva-liga-2017-2018,Sloboda,Radnicki 1923,1.41,4.13,6.62,2.01,1.73,2.24,1.58,https://www.oddsportal.com/soccer/serbia/prva-liga-2017-2018/sloboda-radnicki-1923-tlVnBBZa/,1,2,0
