date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
11.12.2016,2016,south-africa,first-division-2016-2017,Tshakhuma,Pretoria U.,2.09,2.9,3.66,1.88,1.84,1.59,2.21,https://www.oddsportal.com/soccer/south-africa/first-division-2016-2017/tshakhuma-pretoria-u-vqucolHd/,2,5,1
30.10.2016,2016,south-africa,first-division-2016-2017,Santos,Royal Eagles,3.31,2.89,2.12,1.86,1.86,1.61,2.17,https://www.oddsportal.com/soccer/south-africa/first-division-2016-2017/tshakhuma-cape-town-all-stars-2shqwWNq/,0,2,1
25.11.2016,2016,south-africa,first-division-2016-2017,Santos,Mthatha Bucks,2.62,2.97,2.49,2.27,1.58,1.94,1.77,https://www.oddsportal.com/soccer/south-africa/first-division-2016-2017/mbombela-santos-Q3wQa2lt/,0,0,0
11.02.2017,2017,south-africa,first-division-2016-2017,Magesi,Witbank,3.49,2.89,2.17,2.03,1.72,1.64,2.12,https://www.oddsportal.com/soccer/south-africa/first-division-2016-2017/magesi-witbank-C8yvVmlD/,0,4,1
19.11.2016,2016,south-africa,first-division-2016-2017,Pretoria U.,Magesi,2.1,3.14,3.33,2.02,1.73,1.72,2.0,https://www.oddsportal.com/soccer/south-africa/first-division-2016-2017/pretoria-u-magesi-StmgVyRb/,1,1,0
23.04.2017,2017,south-africa,first-division-2016-2017,Pretoria U.,Stellenbosch,2.25,3.06,3.09,2.10,1.67,1.75,1.96,https://www.oddsportal.com/soccer/south-africa/first-division-2016-2017/pretoria-u-stellenbosch-fc-4Mb1c9Ss/,2,2,0
10.12.2016,2016,south-africa,first-division-2016-2017,Mbombela,Witbank,2.36,2.8,3.18,2.17,1.63,1.76,1.96,https://www.oddsportal.com/soccer/south-africa/first-division-2016-2017/mbombela-witbank-8f1EgC9G/,1,6,1
06.05.2017,2017,south-africa,first-division-2016-2017,Ubuntu Cape Town,Mthatha Bucks,2.29,3.01,3.09,1.77,1.95,1.61,2.41,https://www.oddsportal.com/soccer/south-africa/first-division-2016-2017/ubuntu-cape-town-fc-mthatha-bucks-OOUQiQDG/,1,1,0
05.11.2016,2016,south-africa,first-division-2016-2017,Royal Eagles,Tshakhuma,1.85,3.08,4.36,1.81,1.93,1.52,2.36,https://www.oddsportal.com/soccer/south-africa/first-division-2016-2017/royal-eagles-fc-tshakhuma-IBTAIbsg/,1,6,1
10.12.2016,2016,south-africa,first-division-2016-2017,Royal Eagles,Jomo Cosmos,1.85,3.17,4.2,1.89,1.84,1.61,2.17,https://www.oddsportal.com/soccer/south-africa/first-division-2016-2017/royal-eagles-fc-jomo-cosmos-6VtkmAnp/,1,3,1
27.11.2016,2016,south-africa,first-division-2016-2017,Thanda Royal Zulu,Jomo Cosmos,1.69,3.4,4.77,1.76,1.98,1.59,2.21,https://www.oddsportal.com/soccer/south-africa/first-division-2016-2017/thanda-royal-zulu-jomo-cosmos-8zwXtZPA/,1,2,0
14.05.2017,2017,south-africa,first-division-2016-2017,Royal AM,Thanda Royal Zulu,2.82,2.92,2.46,2.12,1.64,1.82,1.86,https://www.oddsportal.com/soccer/south-africa/first-division-2016-2017/royal-am-thanda-royal-zulu-ILpvIMRL/,2,3,1
03.05.2017,2017,south-africa,first-division-2016-2017,Mbombela,Ubuntu Cape Town,1.9,3.05,4.18,2.26,1.58,2.05,1.85,https://www.oddsportal.com/soccer/south-africa/first-division-2016-2017/mbombela-ubuntu-cape-town-fc-lrOkfbIH/,1,4,1
26.11.2016,2016,south-africa,first-division-2016-2017,Royal AM,Black Leopards,2.32,3.04,2.99,1.66,2.12,1.45,2.55,https://www.oddsportal.com/soccer/south-africa/first-division-2016-2017/royal-am-black-leopards-IopKqyth/,2,3,1
15.02.2017,2017,south-africa,first-division-2016-2017,Cape Town All Stars,Royal Eagles,3.22,2.88,2.3,2.02,1.73,1.72,2.0,https://www.oddsportal.com/soccer/south-africa/first-division-2016-2017/cape-town-all-stars-royal-eagles-fc-OSMDsRXI/,1,1,0
26.11.2016,2016,south-africa,first-division-2016-2017,Magesi,AmaZulu,2.78,2.91,2.55,2.05,1.71,1.68,2.06,https://www.oddsportal.com/soccer/south-africa/first-division-2016-2017/magesi-amazulu-0UF5QDuU/,1,5,1
05.11.2016,2016,south-africa,first-division-2016-2017,Stellenbosch,Cape Town All Stars,1.69,3.53,4.48,1.77,1.97,1.62,2.16,https://www.oddsportal.com/soccer/south-africa/first-division-2016-2017/stellenbosch-fc-cape-town-all-stars-EwNJGxC5/,0,2,1
30.10.2016,2016,south-africa,first-division-2016-2017,Pretoria U.,Royal AM,2.22,2.95,3.26,2.08,1.69,1.71,2.02,https://www.oddsportal.com/soccer/south-africa/first-division-2016-2017/pretoria-u-royal-am-YL2ZymrE/,0,4,1
