date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
20.02.2021,2021,south-africa,gladafrica-championship,Pretoria U.,Cape Town Spurs,2.59,2.93,2.72,2.52,1.49,2.05,1.7,https://www.oddsportal.com/soccer/south-africa/gladafrica-championship/pretoria-u-cape-town-spurs-tpcMj2K4/,1,2,0
07.03.2021,2021,south-africa,gladafrica-championship,Cape Town Spurs,Steenberg United,2.5,2.97,2.81,2.32,1.58,1.91,1.79,https://www.oddsportal.com/soccer/south-africa/gladafrica-championship/cape-town-spurs-steenberg-united-z7Ie51Zc/,0,2,1
07.04.2021,2021,south-africa,gladafrica-championship,Uthongathi,JDR Stars,2.8,2.89,2.62,2.66,1.45,2.13,1.63,https://www.oddsportal.com/soccer/south-africa/gladafrica-championship/uthongathi-jdr-stars-z5XiVlgK/,0,2,1
17.03.2021,2021,south-africa,gladafrica-championship,Free State Stars,Cape Town All Stars,2.39,2.81,3.16,2.53,1.49,2.05,1.7,https://www.oddsportal.com/soccer/south-africa/gladafrica-championship/free-state-stars-cape-town-all-stars-dznwIvJ3/,1,4,1
04.04.2021,2021,south-africa,gladafrica-championship,Royal AM,JDR Stars,2.23,2.89,3.47,2.49,1.50,2.08,1.68,https://www.oddsportal.com/soccer/south-africa/gladafrica-championship/royal-am-jdr-stars-lCic97W0/,2,1,0
05.03.2021,2021,south-africa,gladafrica-championship,Cape Umoya United,Uthongathi,2.53,2.81,2.95,2.31,1.58,1.9,1.81,https://www.oddsportal.com/soccer/south-africa/gladafrica-championship/cape-umoya-united-uthongathi-APlwmKJT/,2,2,0
20.02.2021,2021,south-africa,gladafrica-championship,Steenberg United,Pretoria Callies,3.49,3.06,2.09,2.39,1.55,2.03,1.72,https://www.oddsportal.com/soccer/south-africa/gladafrica-championship/steenberg-united-pretoria-callies-x6H7wl8h/,2,1,0
12.03.2021,2021,south-africa,gladafrica-championship,Steenberg United,Cape Umoya United,2.54,2.88,2.84,2.08,1.72,1.75,1.97,https://www.oddsportal.com/soccer/south-africa/gladafrica-championship/steenberg-united-cape-umoya-united-dM643u4A/,1,3,1
07.03.2021,2021,south-africa,gladafrica-championship,Pretoria Callies,Royal AM,2.16,3.07,3.31,2.39,1.55,2.0,1.72,https://www.oddsportal.com/soccer/south-africa/gladafrica-championship/pretoria-callies-royal-am-8Sb1MeX0/,2,5,1
03.04.2021,2021,south-africa,gladafrica-championship,Pretoria U.,Free State Stars,2.6,3.14,2.6,2.26,1.62,1.89,1.82,https://www.oddsportal.com/soccer/south-africa/gladafrica-championship/pretoria-u-free-state-stars-rB8EHVOK/,2,1,0
31.03.2021,2021,south-africa,gladafrica-championship,Pretoria Callies,Uthongathi,2.4,2.69,3.31,2.79,1.37,2.22,1.6,https://www.oddsportal.com/soccer/south-africa/gladafrica-championship/pretoria-callies-uthongathi-bJvNVaAE/,2,4,1
20.02.2021,2021,south-africa,gladafrica-championship,JDR Stars,Royal AM,2.5,2.96,2.81,2.26,1.61,1.9,1.82,https://www.oddsportal.com/soccer/south-africa/gladafrica-championship/jdr-stars-royal-am-nNcIir5b/,0,0,0
20.02.2021,2021,south-africa,gladafrica-championship,Sekhukhune,TS Sporting,1.82,3.11,4.51,2.49,1.51,2.15,1.62,https://www.oddsportal.com/soccer/south-africa/gladafrica-championship/sekhukhune-ts-sporting-KzdQkMZA/,0,2,1
07.03.2021,2021,south-africa,gladafrica-championship,Sekhukhune,Free State Stars,2.17,3.04,3.3,2.56,1.48,2.1,1.65,https://www.oddsportal.com/soccer/south-africa/gladafrica-championship/sekhukhune-free-state-stars-EcHa4Ll4/,1,1,0
10.04.2021,2021,south-africa,gladafrica-championship,Steenberg United,Uthongathi,2.56,2.95,2.79,2.55,1.50,2.05,1.69,https://www.oddsportal.com/soccer/south-africa/gladafrica-championship/steenberg-united-uthongathi-I5KrL4VC/,1,3,1
03.04.2021,2021,south-africa,gladafrica-championship,Pretoria Callies,Jomo Cosmos,2.6,2.91,2.79,2.65,1.42,2.14,1.63,https://www.oddsportal.com/soccer/south-africa/gladafrica-championship/pretoria-callies-jomo-cosmos-UsmAKZ1D/,0,0,0
13.03.2021,2021,south-africa,gladafrica-championship,Pretoria U.,Sekhukhune,3.0,2.94,2.39,2.52,1.49,2.04,1.69,https://www.oddsportal.com/soccer/south-africa/gladafrica-championship/pretoria-u-sekhukhune-OWjqdcdp/,0,0,0
14.02.2021,2021,south-africa,gladafrica-championship,Polokwane,TS Sporting,2.46,2.9,2.95,2.98,1.33,2.41,1.52,https://www.oddsportal.com/soccer/south-africa/gladafrica-championship/polokwane-city-ts-sporting-YJXrwqj5/,0,0,0
13.02.2021,2021,south-africa,gladafrica-championship,Cape Town Spurs,Sekhukhune,4.77,3.49,1.68,2.26,1.61,2.12,1.66,https://www.oddsportal.com/soccer/south-africa/gladafrica-championship/cape-town-spurs-sekhukhune-lG3vto6n/,2,5,1
17.02.2021,2021,south-africa,gladafrica-championship,Jomo Cosmos,JDR Stars,2.69,3.01,2.57,2.41,1.53,2.02,1.73,https://www.oddsportal.com/soccer/south-africa/gladafrica-championship/jomo-cosmos-jdr-stars-O8QezszO/,0,0,0
16.02.2021,2021,south-africa,gladafrica-championship,Pretoria Callies,Cape Town Spurs,1.82,3.17,4.4,2.50,1.50,2.21,1.6,https://www.oddsportal.com/soccer/south-africa/gladafrica-championship/pretoria-callies-cape-town-spurs-fPfcNyIf/,2,1,0
16.03.2021,2021,south-africa,gladafrica-championship,Cape Umoya United,Pretoria U.,2.48,2.89,2.93,2.21,1.63,1.84,1.86,https://www.oddsportal.com/soccer/south-africa/gladafrica-championship/cape-umoya-united-pretoria-u-EBdYIK3c/,2,2,0
06.04.2021,2021,south-africa,gladafrica-championship,Pretoria U.,Steenberg United,2.32,2.82,3.32,2.83,1.38,2.28,1.57,https://www.oddsportal.com/soccer/south-africa/gladafrica-championship/pretoria-u-steenberg-united-rBp67o1D/,1,2,0
16.03.2021,2021,south-africa,gladafrica-championship,Royal AM,Jomo Cosmos,1.97,3.03,3.95,2.56,1.43,2.2,1.61,https://www.oddsportal.com/soccer/south-africa/gladafrica-championship/royal-am-jomo-cosmos-GQwVJ0li/,0,0,0
