date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
26.10.2018,2018,south-africa,premier-league-2018-2019,Bidvest Wits,Highlands,2.34,2.69,3.7,2.85,1.37,2.31,1.59,https://www.oddsportal.com/soccer/south-africa/premier-league-2018-2019/bidvest-wits-highlands-fXjHmG20/,1,1,0
27.11.2018,2018,south-africa,premier-league-2018-2019,Highlands,AmaZulu,1.69,3.34,5.61,2.42,1.51,2.35,1.59,https://www.oddsportal.com/soccer/south-africa/premier-league-2018-2019/highlands-amazulu-0ClyECG5/,2,3,1
21.09.2018,2018,south-africa,premier-league-2018-2019,Bidvest Wits,Polokwane,1.96,2.97,4.64,2.91,1.36,2.33,1.59,https://www.oddsportal.com/soccer/south-africa/premier-league-2018-2019/bidvest-wits-polokwane-city-tSLJrUK3/,2,1,0
13.01.2019,2019,south-africa,premier-league-2018-2019,Bloem Celtic,Golden Arrows,2.29,2.8,3.65,2.57,1.47,2.11,1.72,https://www.oddsportal.com/soccer/south-africa/premier-league-2018-2019/bloem-celtic-golden-arrows-fkhjqwSD/,0,2,1
10.11.2018,2018,south-africa,premier-league-2018-2019,Mamelodi Sundowns,Orlando Pirates,1.95,3.11,4.31,2.36,1.54,2.12,1.71,https://www.oddsportal.com/soccer/south-africa/premier-league-2018-2019/mamelodi-sundowns-orlando-pirates-0lKNQUBn/,0,0,0
06.01.2019,2019,south-africa,premier-league-2018-2019,Baroka,Black Leopards,2.19,2.89,3.79,2.72,1.40,2.29,1.61,https://www.oddsportal.com/soccer/south-africa/premier-league-2018-2019/baroka-black-leopards-CCNCVJcE/,2,3,1
26.09.2018,2018,south-africa,premier-league-2018-2019,Baroka,Free State Stars,2.44,2.83,3.26,2.65,1.38,2.16,1.68,https://www.oddsportal.com/soccer/south-africa/premier-league-2018-2019/baroka-free-state-stars-KblBLcJ7/,0,0,0
23.09.2018,2018,south-africa,premier-league-2018-2019,Bloem Celtic,Maritzburg Utd,2.07,2.79,4.53,2.57,1.41,2.26,1.59,https://www.oddsportal.com/soccer/south-africa/premier-league-2018-2019/bloem-celtic-maritzburg-utd-nXz4NJle/,2,1,0
29.08.2018,2018,south-africa,premier-league-2018-2019,Baroka,Highlands,3.13,2.62,2.75,2.98,1.32,2.4,1.56,https://www.oddsportal.com/soccer/south-africa/premier-league-2018-2019/baroka-highlands-bibh9TTp/,0,2,1
06.10.2018,2018,south-africa,premier-league-2018-2019,Free State Stars,Bloem Celtic,2.61,2.73,3.16,2.61,1.39,2.17,1.67,https://www.oddsportal.com/soccer/south-africa/premier-league-2018-2019/free-state-stars-bloem-celtic-GQ3kZGm7/,1,2,0
09.01.2019,2019,south-africa,premier-league-2018-2019,Maritzburg Utd,Free State Stars,2.63,2.81,3.02,2.70,1.40,2.18,1.67,https://www.oddsportal.com/soccer/south-africa/premier-league-2018-2019/maritzburg-utd-free-state-stars-MocdNe5f/,2,3,1
01.02.2019,2019,south-africa,premier-league-2018-2019,Bidvest Wits,Maritzburg Utd,1.48,3.82,7.5,2.23,1.64,2.39,1.57,https://www.oddsportal.com/soccer/south-africa/premier-league-2018-2019/bidvest-wits-maritzburg-utd-4r2kuUQu/,1,1,0
11.05.2019,2019,south-africa,premier-league-2018-2019,Orlando Pirates,Polokwane,1.56,3.87,5.99,2.00,1.82,2.02,1.78,https://www.oddsportal.com/soccer/south-africa/premier-league-2018-2019/orlando-pirates-polokwane-city-nN5Np5L8/,1,3,0
11.12.2018,2018,south-africa,premier-league-2018-2019,Free State Stars,Orlando Pirates,3.28,2.85,2.44,2.62,1.46,2.11,1.68,https://www.oddsportal.com/soccer/south-africa/premier-league-2018-2019/free-state-stars-orlando-pirates-tUUj8spp/,2,4,1
29.08.2018,2018,south-africa,premier-league-2018-2019,Supersport Utd,Chippa Utd.,2.2,2.68,4.25,3.37,1.25,2.68,1.46,https://www.oddsportal.com/soccer/south-africa/premier-league-2018-2019/supersport-utd-chippa-utd-6gJDGByB/,1,3,1
22.09.2018,2018,south-africa,premier-league-2018-2019,Golden Arrows,Chippa Utd.,2.45,2.83,3.22,2.50,1.44,2.08,1.75,https://www.oddsportal.com/soccer/south-africa/premier-league-2018-2019/golden-arrows-chippa-utd-EuKRt8kG/,0,0,0
29.08.2018,2018,south-africa,premier-league-2018-2019,Free State Stars,Cape Town City,2.6,2.71,3.23,2.90,1.33,2.38,1.57,https://www.oddsportal.com/soccer/south-africa/premier-league-2018-2019/free-state-stars-cape-town-city-bq4TXC6o/,0,4,1
25.05.2019,2019,south-africa,first-division-2018-2019,Tshakhuma,Royal Eagles,2.56,2.85,3.04,2.46,1.54,2.01,1.77,https://www.oddsportal.com/soccer/south-africa/first-division-2018-2019/tshakhuma-royal-eagles-fc-IqLhwQ0j/,1,3,1
21.12.2018,2018,south-africa,premier-league-2018-2019,Bidvest Wits,Chippa Utd.,1.9,3.12,4.55,2.64,1.45,2.33,1.6,https://www.oddsportal.com/soccer/south-africa/premier-league-2018-2019/bidvest-wits-chippa-utd-Y10RJMb2/,1,2,0
13.04.2019,2019,south-africa,premier-league-2018-2019,Orlando Pirates,Free State Stars,1.42,4.33,7.44,1.81,1.99,2.01,1.78,https://www.oddsportal.com/soccer/south-africa/premier-league-2018-2019/orlando-pirates-free-state-stars-8G2XZSkg/,1,3,1
02.10.2018,2018,south-africa,premier-league-2018-2019,AmaZulu,Maritzburg Utd,2.63,2.86,2.79,2.45,1.49,2.05,1.76,https://www.oddsportal.com/soccer/south-africa/premier-league-2018-2019/amazulu-maritzburg-utd-z7Wcq1BE/,0,0,0
18.08.2018,2018,south-africa,premier-league-2018-2019,Chippa Utd.,Black Leopards,2.38,2.8,3.49,2.71,1.38,2.25,1.63,https://www.oddsportal.com/soccer/south-africa/premier-league-2018-2019/chippa-utd-black-leopards-xERdKgxn/,0,4,1
13.04.2019,2019,south-africa,premier-league-2018-2019,Highlands,Maritzburg Utd,1.85,3.22,4.67,2.36,1.53,2.22,1.65,https://www.oddsportal.com/soccer/south-africa/premier-league-2018-2019/highlands-maritzburg-utd-xj7yZn5a/,1,1,0
19.01.2019,2019,south-africa,premier-league-2018-2019,Chippa Utd.,Maritzburg Utd,2.06,2.8,4.47,3.00,1.34,2.51,1.52,https://www.oddsportal.com/soccer/south-africa/premier-league-2018-2019/chippa-utd-maritzburg-utd-M38WO8ta/,1,2,0
