date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
05.01.2021,2021,south-africa,premier-league,Stellenbosch,Tshakhuma,2.51,2.83,3.05,2.69,1.42,2.18,1.63,https://www.oddsportal.com/soccer/south-africa/premier-league/stellenbosch-fc-tshakhuma-OQB1DH4a/,1,2,0
04.11.2020,2020,south-africa,premier-league,Tshakhuma,Swallows,2.51,2.81,3.09,2.60,1.45,2.14,1.66,https://www.oddsportal.com/soccer/south-africa/premier-league/tshakhuma-swallows-fc-f3i57wWK/,2,2,0
21.11.2020,2020,south-africa,premier-league,Stellenbosch,Chippa Utd.,2.42,2.67,3.48,2.88,1.36,2.33,1.56,https://www.oddsportal.com/soccer/south-africa/premier-league/stellenbosch-fc-chippa-utd-Q92rrZ8c/,1,2,0
06.03.2021,2021,south-africa,premier-league,Cape Town City,Stellenbosch,1.8,3.49,4.19,1.99,1.80,1.88,1.85,https://www.oddsportal.com/soccer/south-africa/premier-league/cape-town-city-stellenbosch-fc-0pMJbf65/,2,3,1
28.11.2020,2020,south-africa,premier-league,Mamelodi Sundowns,Stellenbosch,1.41,4.13,7.8,2.27,1.61,2.51,1.49,https://www.oddsportal.com/soccer/south-africa/premier-league/mamelodi-sundowns-stellenbosch-fc-U1LUgW79/,1,3,0
15.12.2020,2020,south-africa,premier-league,Swallows,Maritzburg Utd,1.99,2.95,4.21,2.57,1.46,2.2,1.62,https://www.oddsportal.com/soccer/south-africa/premier-league/swallows-fc-maritzburg-utd-UqSbc5E1/,1,2,0
24.10.2020,2020,south-africa,premier-league,Baroka,Maritzburg Utd,2.44,2.74,3.3,2.79,1.39,2.22,1.61,https://www.oddsportal.com/soccer/south-africa/premier-league/baroka-maritzburg-utd-0Ctw7lJl/,1,3,1
06.04.2021,2021,south-africa,premier-league,Kaizer Chiefs,Stellenbosch,2.45,2.74,3.25,2.58,1.45,2.07,1.7,https://www.oddsportal.com/soccer/south-africa/premier-league/kaizer-chiefs-stellenbosch-fc-AeVK4MYe/,0,4,1
17.02.2021,2021,south-africa,premier-league,Mamelodi Sundowns,Baroka,1.47,3.91,7.06,2.24,1.63,2.35,1.54,https://www.oddsportal.com/soccer/south-africa/premier-league/mamelodi-sundowns-baroka-r9BOcELB/,1,2,0
27.10.2020,2020,south-africa,premier-league,Black Leopards,Baroka,2.68,2.75,2.91,2.65,1.43,2.14,1.65,https://www.oddsportal.com/soccer/south-africa/premier-league/black-leopards-baroka-h4xcFXS5/,2,4,1
07.03.2021,2021,south-africa,premier-league,Black Leopards,Golden Arrows,3.5,3.15,2.09,2.29,1.60,1.97,1.77,https://www.oddsportal.com/soccer/south-africa/premier-league/black-leopards-golden-arrows-2mLr39ci/,2,4,1
28.10.2020,2020,south-africa,premier-league,Mamelodi Sundowns,Tshakhuma,1.33,4.77,8.2,1.72,2.11,2.01,1.74,https://www.oddsportal.com/soccer/south-africa/premier-league/mamelodi-sundowns-tshakhuma-E9NiyFkP/,0,0,0
09.12.2020,2020,south-africa,premier-league,Kaizer Chiefs,Black Leopards,1.52,3.72,6.48,2.25,1.63,2.29,1.58,https://www.oddsportal.com/soccer/south-africa/premier-league/kaizer-chiefs-black-leopards-fRDGpSUe/,0,4,1
16.12.2020,2020,south-africa,premier-league,Black Leopards,Tshakhuma,2.82,2.86,2.66,2.70,1.42,2.17,1.64,https://www.oddsportal.com/soccer/south-africa/premier-league/black-leopards-tshakhuma-zoZkaRqk/,0,2,1
29.11.2020,2020,south-africa,premier-league,Chippa Utd.,Tshakhuma,2.6,2.89,2.89,2.65,1.44,2.19,1.63,https://www.oddsportal.com/soccer/south-africa/premier-league/chippa-utd-tshakhuma-2FJxhAxM/,0,2,1
02.03.2021,2021,south-africa,premier-league,AmaZulu,Supersport Utd,2.95,2.76,2.64,2.60,1.48,2.08,1.69,https://www.oddsportal.com/soccer/south-africa/premier-league/amazulu-supersport-utd-ttkgrZLO/,1,1,0
