date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
14.03.2017,2017,south-america,copa-libertadores-2017,FBC Melgar (Per),Emelec (Ecu),2.8,3.14,2.71,2.40,1.61,2.05,1.87,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/fbc-melgar-emelec-MmQX1LuK/,1,1,0
29.11.2017,2017,south-america,copa-libertadores-2017,Lanus (Zon),Gremio (Grb),2.37,2.9,3.59,2.90,1.41,2.33,1.61,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/lanus-gremio-4bSJe1Io/,2,3,1
08.03.2017,2017,south-america,copa-libertadores-2017,Sport Boys (Bol),Libertad Asuncion (Par),4.5,3.62,1.9,2.10,1.83,1.96,1.96,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/sport-boys-libertad-asuncion-IcntJDGB/,0,6,1
25.10.2017,2017,south-america,copa-libertadores-2017,Barcelona SC (Gr1),Gremio (Grb),2.52,2.82,3.35,3.07,1.37,2.39,1.58,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/barcelona-sc-gremio-nkbNcyjc/,2,3,0
15.03.2017,2017,south-america,copa-libertadores-2017,Barcelona SC (Gr1),Atl. Nacional (Col),2.86,3.04,2.73,2.46,1.58,2.1,1.83,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/barcelona-sc-atl-nacional-hhADsWx8/,1,3,1
01.02.2017,2017,south-america,copa-libertadores-2017,Botafogo RJ (Gr2),Colo Colo (Gr4),2.29,3.25,3.4,2.22,1.71,1.92,1.96,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/botafogo-rj-colo-colo-C2fpZu45/,1,3,1
07.03.2017,2017,south-america,copa-libertadores-2017,Deportes Iquique (Chi),Guarani (Par),2.3,3.39,3.33,1.98,1.93,1.77,2.15,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/deportes-iquique-guarani-lvSYOuq2/,2,1,0
09.02.2017,2017,south-america,copa-libertadores-2017,The Strongest (Gr2),Wanderers (Uru),1.37,5.05,8.67,1.66,2.28,1.99,1.91,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/the-strongest-wanderers-UuvmC2Uc/,1,4,0
14.09.2017,2017,south-america,copa-libertadores-2017,Botafogo RJ (Gr2),Gremio (Grb),2.53,2.81,3.32,3.38,1.31,2.51,1.53,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/botafogo-rj-gremio-Ig65TEtB/,0,0,0
07.07.2017,2017,south-america,copa-libertadores-2017,Nacional (Uru),Botafogo RJ (Gr2),2.07,3.07,4.1,2.82,1.44,2.45,1.61,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/club-nacional-botafogo-rj-vVN7l1vG/,2,1,0
16.03.2017,2017,south-america,copa-libertadores-2017,Ind. Medellin (Col),River Plate (Arg),2.09,3.27,3.81,2.40,1.61,2.11,1.79,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/ind-medellin-river-plate-4CFx1ueQ/,2,4,1
13.09.2017,2017,south-america,copa-libertadores-2017,San Lorenzo (Zon),Lanus (Zon),2.23,2.95,3.84,3.00,1.39,2.44,1.56,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/san-lorenzo-lanus-pt8cVzCb/,1,2,0
28.01.2017,2017,south-america,copa-libertadores-2017,Ind. del Valle (Ecu),Dep. Municipal (Per),1.36,5.1,9.75,1.96,1.91,2.44,1.63,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/independiente-del-valle-dep-municipal-dluSmgPd/,0,4,1
08.08.2017,2017,south-america,copa-libertadores-2017,Lanus (Zon),The Strongest (Gr2),1.45,4.32,8.16,1.97,1.87,2.26,1.71,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/lanus-the-strongest-pzwhTj87/,1,1,0
15.02.2017,2017,south-america,copa-libertadores-2017,Botafogo RJ (Gr2),Olimpia Asuncion (Par),1.86,3.29,4.8,2.41,1.58,2.19,1.75,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/botafogo-rj-olimpia-asuncion-C0L6n3FT/,1,1,0
26.05.2017,2017,south-america,copa-libertadores-2017,Estudiantes L.P. (Zon),Botafogo RJ (Gr2),1.95,3.29,4.3,2.43,1.57,2.19,1.69,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/estudiantes-l-p-botafogo-rj-2PUvt2cU/,1,1,0
09.08.2017,2017,south-america,copa-libertadores-2017,River Plate (Arg),Guarani (Par),1.43,4.37,8.64,2.07,1.79,2.29,1.66,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/river-plate-guarani-AHpuWhOl/,0,2,1
31.01.2017,2017,south-america,copa-libertadores-2017,CA Cerro (Uru),U. Espanola (Gr4),2.44,3.12,3.27,2.53,1.57,2.05,1.81,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/ca-cerro-u-espanola-6PglYaJB/,2,5,1
08.02.2017,2017,south-america,copa-libertadores-2017,Colo Colo (Gr4),Botafogo RJ (Gr2),1.49,4.41,6.61,1.77,2.09,1.94,1.98,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/colo-colo-botafogo-rj-lnhHyZP3/,0,2,1
01.11.2017,2017,south-america,copa-libertadores-2017,Lanus (Zon),River Plate (Arg),2.93,3.09,2.59,2.33,1.58,1.97,1.83,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/lanus-river-plate-bP1Rde53/,1,6,1
23.01.2017,2017,south-america,copa-libertadores-2017,U. Sucre (Gr2),Wanderers (Uru),2.26,3.16,3.51,2.40,1.60,2.13,1.76,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/universitario-de-sucre-wanderers-SW38weei/,1,5,1
03.02.2017,2017,south-america,copa-libertadores-2017,Dep. Capiata (Par),U. de Deportes (Per),1.94,3.26,4.63,2.52,1.57,2.19,1.74,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/deportivo-capiata-universitario-de-deportes-zqU77vqT/,2,4,1
23.01.2017,2017,south-america,copa-libertadores-2017,Dep. Capiata (Par),Dep. Tachira (Ven),1.77,3.42,5.55,2.45,1.55,2.28,1.69,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/deportivo-capiata-dep-tachira-vHAQEBIj/,1,1,0
10.03.2017,2017,south-america,copa-libertadores-2017,The Strongest (Gr2),Santa Fe (Col),1.62,3.77,5.95,2.02,1.84,2.03,1.89,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/the-strongest-santa-fe-dnjEf1CN/,1,2,0
02.02.2017,2017,south-america,copa-libertadores-2017,Wanderers (Uru),The Strongest (Gr2),1.54,4.12,6.79,1.86,2.03,1.99,1.9,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/wanderers-the-strongest-C4qrDrFi/,2,2,0
24.05.2017,2017,south-america,copa-libertadores-2017,Santa Fe (Col),The Strongest (Gr2),1.62,3.82,5.8,2.03,1.81,2.12,1.81,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/santa-fe-the-strongest-MmQn90RG/,0,2,1
10.03.2017,2017,south-america,copa-libertadores-2017,Sporting Cristal (Per),Santos (Grd),3.53,3.39,2.15,2.01,1.85,1.86,2.05,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/sporting-cristal-santos-Q1tVs0ll/,0,2,1
16.02.2017,2017,south-america,copa-libertadores-2017,Junior (Col),Atl. Tucuman (Zon),2.03,3.18,4.02,2.80,1.44,2.41,1.64,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/junior-atl-tucuman-CKaYRldc/,1,1,0
25.05.2017,2017,south-america,copa-libertadores-2017,Emelec (Ecu),FBC Melgar (Per),1.18,7.45,14.57,1.45,2.82,2.08,1.84,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/emelec-fbc-melgar-d6vGEbPP/,1,3,0
15.03.2017,2017,south-america,copa-libertadores-2017,Nacional (Uru),Zulia (Ven),1.24,6.07,14.78,1.76,2.11,2.59,1.57,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/club-nacional-zulia-M38iC2ad/,2,1,0
24.02.2017,2017,south-america,copa-libertadores-2017,The Strongest (Gr2),U. Espanola (Gr4),1.3,5.59,9.8,1.55,2.50,1.92,1.98,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/the-strongest-u-espanola-rLTkjoG4/,1,5,0
07.07.2017,2017,south-america,copa-libertadores-2017,Emelec (Ecu),San Lorenzo (Zon),2.23,3.07,3.67,2.68,1.49,2.21,1.71,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/emelec-san-lorenzo-x6Rjhqui/,2,1,0
24.10.2017,2017,south-america,copa-libertadores-2017,River Plate (Arg),Lanus (Zon),1.7,3.46,5.92,2.42,1.57,2.31,1.61,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/river-plate-lanus-YoAuZiDd/,1,1,0
03.02.2017,2017,south-america,copa-libertadores-2017,Ind. del Valle (Ecu),Olimpia Asuncion (Par),1.95,3.32,4.4,2.56,1.55,2.2,1.72,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/independiente-del-valle-olimpia-asuncion-ETua90EG/,1,1,0
24.01.2017,2017,south-america,copa-libertadores-2017,Dep. Municipal (Per),Ind. del Valle (Ecu),2.64,2.91,2.93,2.60,1.50,2.13,1.78,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/dep-municipal-independiente-del-valle-roipP9nd/,2,1,0
16.03.2017,2017,south-america,copa-libertadores-2017,U. Catolica (Gr4),Flamengo RJ (Gr1),2.9,3.41,2.48,1.77,2.11,1.64,2.41,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/u-catolica-flamengo-rj-zFUk8d2g/,1,1,0
25.05.2017,2017,south-america,copa-libertadores-2017,Penarol (Uru),Wilstermann (Gr2),2.32,3.54,2.94,1.56,2.45,1.52,2.68,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/penarol-wilstermann-drbXKZoa/,1,2,0
18.05.2017,2017,south-america,copa-libertadores-2017,San Lorenzo (Zon),Flamengo RJ (Gr1),1.98,3.42,3.88,2.08,1.78,1.92,1.95,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/san-lorenzo-flamengo-rj-MVW15fnC/,1,3,1
26.05.2017,2017,south-america,copa-libertadores-2017,Guarani (Par),Deportes Iquique (Chi),1.73,3.93,4.49,1.55,2.49,1.57,2.51,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/guarani-deportes-iquique-CCZb0258/,0,0,0
10.02.2017,2017,south-america,copa-libertadores-2017,U. de Deportes (Per),Dep. Capiata (Par),2.08,3.33,3.74,2.10,1.76,1.92,2.0,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/universitario-de-deportes-deportivo-capiata-SzMZ2bip/,2,3,0
23.02.2017,2017,south-america,copa-libertadores-2017,Atl. Tucuman (Zon),Junior (Col),1.62,3.73,6.08,2.36,1.61,2.26,1.7,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/atl-tucuman-junior-fqkwR8B3/,1,4,1
09.03.2017,2017,south-america,copa-libertadores-2017,Zamora (Ven),Gremio (Grb),3.17,3.16,2.43,2.44,1.59,2.04,1.83,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/zamora-gremio-jq6HmPL2/,2,2,0
10.08.2017,2017,south-america,copa-libertadores-2017,Botafogo RJ (Gr2),Nacional (Uru),1.91,3.29,4.61,2.63,1.51,2.32,1.65,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/botafogo-rj-club-nacional-YeFrjEFK/,1,2,0
21.09.2017,2017,south-america,copa-libertadores-2017,Santos (Grd),Barcelona SC (Gr1),1.67,3.61,5.68,2.27,1.65,2.14,1.72,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/santos-barcelona-sc-8raIQCQT/,2,1,0
22.11.2017,2017,south-america,copa-libertadores-2017,Gremio (Grb),Lanus (Zon),1.73,3.22,6.35,2.90,1.38,2.71,1.46,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/gremio-lanus-2glyXHuo/,1,1,0
01.02.2017,2017,south-america,copa-libertadores-2017,Carabobo (Ven),Junior (Col),3.27,3.03,2.46,2.79,1.48,2.22,1.73,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/carabobo-junior-KSchXJYH/,2,1,0
07.03.2017,2017,south-america,copa-libertadores-2017,Wilstermann (Gr2),Penarol (Uru),2.36,3.4,3.26,2.10,1.83,1.82,2.11,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/wilstermann-penarol-IcQA3YGO/,1,8,1
05.07.2017,2017,south-america,copa-libertadores-2017,Guarani (Par),River Plate (Arg),3.25,3.11,2.38,2.36,1.61,2.0,1.9,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/guarani-river-plate-fs26pXLp/,2,2,0
24.05.2017,2017,south-america,copa-libertadores-2017,Santos (Grd),Sporting Cristal (Per),1.19,7.35,14.23,1.44,2.86,2.09,1.82,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/santos-sporting-cristal-rcRT21QD/,1,4,0
09.02.2017,2017,south-america,copa-libertadores-2017,Olimpia Asuncion (Par),Ind. del Valle (Ecu),1.53,3.97,7.06,2.19,1.70,2.26,1.71,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/olimpia-asuncion-independiente-del-valle-dhV38KTM/,1,4,1
28.01.2017,2017,south-america,copa-libertadores-2017,Dep. Tachira (Ven),Dep. Capiata (Par),2.33,3.17,3.39,2.40,1.62,2.07,1.83,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/dep-tachira-deportivo-capiata-xM3XXjPS/,0,0,0
27.01.2017,2017,south-america,copa-libertadores-2017,Wanderers (Uru),U. Sucre (Gr2),1.34,5.27,9.79,1.72,2.07,2.21,1.75,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/wanderers-universitario-de-sucre-vVkaTAXq/,1,7,1
10.03.2017,2017,south-america,copa-libertadores-2017,Lanus (Zon),Nacional (Uru),1.72,3.52,5.71,2.51,1.56,2.3,1.68,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/lanus-club-nacional-OIklDrpj/,2,1,0
06.07.2017,2017,south-america,copa-libertadores-2017,Barcelona SC (Gr1),Palmeiras (Grd),2.57,3.15,2.91,2.32,1.64,1.98,1.9,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/barcelona-sc-palmeiras-MgT2ksP9/,1,1,0
06.07.2017,2017,south-america,copa-libertadores-2017,The Strongest (Gr2),Lanus (Zon),1.58,3.8,6.39,2.20,1.70,2.23,1.7,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/the-strongest-lanus-ltVfi3fc/,0,2,1
21.09.2017,2017,south-america,copa-libertadores-2017,Gremio (Grb),Botafogo RJ (Gr2),1.69,3.44,6.02,2.75,1.45,2.53,1.52,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/gremio-botafogo-rj-Uo5qMWYp/,1,1,0
09.03.2017,2017,south-america,copa-libertadores-2017,Atl. Tucuman (Zon),Palmeiras (Grd),2.61,3.28,2.98,2.33,1.69,1.97,1.92,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/atl-tucuman-palmeiras-hIypkuzo/,0,2,1
17.05.2017,2017,south-america,copa-libertadores-2017,Sporting Cristal (Per),Santa Fe (Col),2.78,3.27,2.58,2.13,1.74,1.91,1.99,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/sporting-cristal-santa-fe-fsYovImD/,2,2,0
08.02.2017,2017,south-america,copa-libertadores-2017,Junior (Col),Carabobo (Ven),1.65,3.47,5.74,2.35,1.61,2.32,1.68,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/junior-carabobo-tfAOZCfG/,1,3,0
26.05.2017,2017,south-america,copa-libertadores-2017,Gremio (Grb),Zamora (Ven),1.08,12.06,31.28,1.21,4.56,2.17,1.75,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/gremio-zamora-j7l4vLrk/,1,4,0
08.02.2017,2017,south-america,copa-libertadores-2017,EL Nacional (Gr1),Atl. Tucuman (Zon),2.0,3.38,3.91,2.24,1.67,2.01,1.86,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/el-nacional-atl-tucuman-Kp9SYW9M/,2,1,0
11.04.2017,2017,south-america,copa-libertadores-2017,Wilstermann (Gr2),Atl. Tucuman (Zon),1.97,3.42,4.21,2.21,1.71,2.01,1.91,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/wilstermann-atl-tucuman-ldgGiYeq/,1,3,1
23.05.2017,2017,south-america,copa-libertadores-2017,Nacional (Uru),Lanus (Zon),2.22,3.19,3.47,2.24,1.68,1.97,1.92,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/club-nacional-lanus-AmTUPLTe/,2,1,0
17.03.2017,2017,south-america,copa-libertadores-2017,Santa Fe (Col),Sporting Cristal (Per),1.37,4.66,10.06,2.03,1.82,2.44,1.6,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/santa-fe-sporting-cristal-KOuZtK3f/,1,3,0
17.03.2017,2017,south-america,copa-libertadores-2017,Santos (Grd),The Strongest (Gr2),1.38,4.94,8.75,1.69,2.22,2.09,1.83,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/santos-the-strongest-2mJzC2sb/,1,2,0
01.02.2017,2017,south-america,copa-libertadores-2017,Atl. Tucuman (Zon),EL Nacional (Gr1),1.41,4.45,9.7,2.36,1.64,2.97,1.44,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/atl-tucuman-el-nacional-0QBMFi3p/,0,4,1
01.11.2017,2017,south-america,copa-libertadores-2017,Gremio (Grb),Barcelona SC (Gr1),1.56,3.99,6.51,2.12,1.75,2.14,1.73,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/gremio-barcelona-sc-tliWeFK9/,2,1,0
19.05.2017,2017,south-america,copa-libertadores-2017,Botafogo RJ (Gr2),Atl. Nacional (Col),2.31,3.29,3.15,2.14,1.74,1.92,1.94,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/botafogo-rj-atl-nacional-OYVzsrrO/,1,1,0
19.05.2017,2017,south-america,copa-libertadores-2017,FBC Melgar (Per),River Plate (Cdo),2.98,3.43,2.31,1.76,2.11,1.66,2.33,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/fbc-melgar-river-plate-IFuCFvAJ/,2,5,1
15.03.2017,2017,south-america,copa-libertadores-2017,Botafogo RJ (Gr2),Estudiantes L.P. (Zon),2.23,3.02,3.78,2.83,1.45,2.34,1.67,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/botafogo-rj-estudiantes-l-p-M9ZJpQra/,1,3,1
17.02.2017,2017,south-america,copa-libertadores-2017,U. Espanola (Chi),The Strongest (Gr2),1.77,3.56,4.25,1.89,1.95,1.81,2.1,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/u-espanola-the-strongest-0dvoiR0b/,0,2,1
14.09.2017,2017,south-america,copa-libertadores-2017,Barcelona SC (Gr1),Santos (Grd),1.74,3.64,5.1,2.55,1.52,2.38,1.58,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/barcelona-sc-santos-v371UfR4/,0,2,1
26.05.2017,2017,south-america,copa-libertadores-2017,Atl. Nacional (Col),Barcelona SC (Gr1),1.77,3.66,4.67,2.00,1.84,1.97,1.92,https://www.oddsportal.com/soccer/south-america/copa-libertadores-2017/atl-nacional-barcelona-sc-nBsRrtZs/,1,4,1
