date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
24.02.2021,2021,south-america,copa-libertadores,Cesar Vallejo (Per),Caracas (Ven),2.09,3.16,3.89,2.64,1.50,2.23,1.62,https://www.oddsportal.com/soccer/south-america/copa-libertadores/cesar-vallejo-caracas-QLfgTQ1e/,0,0,0
25.02.2021,2021,south-america,copa-libertadores,Royal Pari (Bol),Guarani (Par),3.55,3.68,2.0,1.83,2.01,1.77,2.01,https://www.oddsportal.com/soccer/south-america/copa-libertadores/royal-pari-guarani-KKFEz99L/,2,5,1
09.03.2021,2021,south-america,copa-libertadores,Wanderers (Uru),Bolivar (Gr2),1.93,3.63,3.79,2.00,1.83,1.82,1.95,https://www.oddsportal.com/soccer/south-america/copa-libertadores/wanderers-bolivar-nX4iLCYh/,1,1,0
17.03.2021,2021,south-america,copa-libertadores,Libertad Asuncion (Par),U. Catolica (Ecu),1.64,3.83,5.49,2.01,1.84,1.93,1.85,https://www.oddsportal.com/soccer/south-america/copa-libertadores/libertad-asuncion-u-catolica-QXYp6QQh/,0,4,1
12.03.2021,2021,south-america,copa-libertadores,Guarani (Par),Atl. Nacional (Col),2.61,3.13,2.84,2.45,1.56,2.01,1.77,https://www.oddsportal.com/soccer/south-america/copa-libertadores/guarani-atl-nacional-tOylItIH/,2,2,0
18.03.2021,2021,south-america,copa-libertadores,Junior (Col),Caracas (Ven),1.33,4.85,9.0,1.86,1.94,2.24,1.61,https://www.oddsportal.com/soccer/south-america/copa-libertadores/junior-caracas-pxOFH9R6/,1,4,1
16.03.2021,2021,south-america,copa-libertadores,Bolivar (Gr2),Wanderers (Uru),1.17,7.32,12.95,1.44,2.70,2.18,1.65,https://www.oddsportal.com/soccer/south-america/copa-libertadores/bolivar-wanderers-48adKWma/,1,5,0
19.03.2021,2021,south-america,copa-libertadores,Atl. Nacional (Col),Guarani (Par),1.58,4.04,5.71,1.95,1.89,1.97,1.8,https://www.oddsportal.com/soccer/south-america/copa-libertadores/atl-nacional-guarani-hbuhH0XN/,1,3,0
24.02.2021,2021,south-america,copa-libertadores,Liverpool M. (Uru),U. Catolica (Ecu),2.14,3.54,3.44,2.02,1.82,1.8,1.96,https://www.oddsportal.com/soccer/south-america/copa-libertadores/liverpool-m-u-catolica-Ug1pVnXr/,1,3,1
10.03.2021,2021,south-america,copa-libertadores,U. Espanola (Gr4),Ind. del Valle (Ecu),2.79,3.55,2.42,1.74,2.15,1.63,2.22,https://www.oddsportal.com/soccer/south-america/copa-libertadores/u-espanola-independiente-del-valle-CWwOzB9K/,1,1,0
10.03.2021,2021,south-america,copa-libertadores,U. Catolica (Ecu),Libertad Asuncion (Par),1.72,3.5,5.33,2.34,1.60,2.14,1.68,https://www.oddsportal.com/soccer/south-america/copa-libertadores/u-catolica-libertad-asuncion-nszs76Bn/,2,1,0
11.03.2021,2021,south-america,copa-libertadores,U. De Chile (Gr4),San Lorenzo (Zon),2.85,2.96,2.74,2.91,1.41,2.26,1.61,https://www.oddsportal.com/soccer/south-america/copa-libertadores/u-de-chile-san-lorenzo-WGKfVlXs/,0,2,1
16.03.2021,2021,south-america,copa-libertadores,Lara (Ven),Santos (Bra),4.59,3.42,1.78,2.21,1.65,2.09,1.7,https://www.oddsportal.com/soccer/south-america/copa-libertadores/lara-santos-xMc4IAIB/,0,2,1
03.03.2021,2021,south-america,copa-libertadores,U. Catolica (Ecu),Liverpool M. (Uru),1.42,4.89,6.94,1.62,2.35,1.82,1.94,https://www.oddsportal.com/soccer/south-america/copa-libertadores/u-catolica-liverpool-m-CIjkU6nk/,1,3,0
