date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
12.10.2016,2016,spain,copa-del-rey-2016-2017,Cadiz CF,Cordoba,2.67,2.9,2.97,2.65,1.48,2.05,1.73,https://www.oddsportal.com/soccer/spain/copa-del-rey-2016-2017/cadiz-cordoba-pQVetMZI/#1X2;2,2,3,1
03.01.2017,2017,spain,copa-del-rey-2016-2017,Las Palmas,Atl. Madrid,6.16,3.84,1.63,2.04,1.83,2.04,1.87,https://www.oddsportal.com/soccer/spain/copa-del-rey-2016-2017/ud-las-palmas-atl-madrid-hC4D7zXj/#1X2;2,2,2,0
04.01.2017,2017,spain,copa-del-rey-2016-2017,Alcorcon,Cordoba,2.06,3.28,3.98,2.32,1.65,2.04,1.87,https://www.oddsportal.com/soccer/spain/copa-del-rey-2016-2017/alcorcon-cordoba-p6iaVwPc/#1X2;2,0,0,0
03.01.2017,2017,spain,copa-del-rey-2016-2017,Dep. La Coruna,Alaves,1.84,3.48,4.8,2.31,1.66,2.13,1.8,https://www.oddsportal.com/soccer/spain/copa-del-rey-2016-2017/dep-la-coruna-alaves-6FheWJ9i/#1X2;2,0,4,1
29.11.2016,2016,spain,copa-del-rey-2016-2017,Gijon,Eibar,2.51,3.18,3.05,2.23,1.69,1.92,1.94,https://www.oddsportal.com/soccer/spain/copa-del-rey-2016-2017/gijon-eibar-OIPGQKJG/#1X2;2,2,3,1
03.01.2017,2017,spain,copa-del-rey-2016-2017,Osasuna,Eibar,3.43,3.22,2.29,2.23,1.69,1.96,1.96,https://www.oddsportal.com/soccer/spain/copa-del-rey-2016-2017/osasuna-eibar-fRoA8GHp/#1X2;2,2,3,0
26.10.2016,2016,spain,copa-del-rey-2016-2017,Leonesa,Real Madrid,19.5,8.58,1.14,1.27,3.58,1.92,1.88,https://www.oddsportal.com/soccer/spain/copa-del-rey-2016-2017/leonesa-real-madrid-IaoYF35b/#1X2;2,2,8,1
10.01.2017,2017,spain,copa-del-rey-2016-2017,Atl. Madrid,Las Palmas,1.32,5.39,10.65,1.75,2.14,2.16,1.79,https://www.oddsportal.com/soccer/spain/copa-del-rey-2016-2017/atl-madrid-ud-las-palmas-YVPnMZop/#1X2;2,2,5,1
12.10.2016,2016,spain,copa-del-rey-2016-2017,Racing Santander,Amorebieta,1.27,5.19,12.25,1.91,1.89,2.45,1.54,https://www.oddsportal.com/soccer/spain/copa-del-rey-2016-2017/racing-santander-amorebieta-46b4j6cQ/#1X2;2,1,2,0
04.01.2017,2017,spain,copa-del-rey-2016-2017,Real Sociedad,Villarreal,1.95,3.49,4.22,2.05,1.82,1.92,1.99,https://www.oddsportal.com/soccer/spain/copa-del-rey-2016-2017/real-sociedad-villarreal-2sn4Ucv4/#1X2;2,1,4,1
21.12.2016,2016,spain,copa-del-rey-2016-2017,Dep. La Coruna,,1.7,3.76,5.37,2.11,1.77,2.04,1.89,https://www.oddsportal.com/soccer/spain/copa-del-rey-2016-2017/dep-la-coruna-betis-SCcv7TNJ/#1X2;2,1,4,1
