date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
02.10.2019,2019,spain,copa-federacion-2019-2020,Durango,Tropezon,1.63,3.87,4.75,1.74,2.02,1.79,2.08,https://www.oddsportal.com/soccer/spain/copa-federacion-2019-2020/scd-durango-cd-tropezon-UcHOPknJ/,1,2,0
17.10.2019,2019,spain,copa-federacion-2019-2020,Castellon,Jove,1.44,4.04,7.11,2.21,1.62,2.28,1.56,https://www.oddsportal.com/soccer/spain/copa-federacion-2019-2020/castellon-jove-GQDaAcSP/,1,2,0
07.11.2019,2019,spain,copa-federacion-2019-2020,Murcia,Linense,2.01,3.05,3.93,2.28,1.58,1.97,1.88,https://www.oddsportal.com/soccer/spain/copa-federacion-2019-2020/murcia-linense-b3htd9xn/,1,3,1
03.10.2019,2019,spain,copa-federacion-2019-2020,Coruxo FC,Internacional de Madrid,1.92,3.28,3.88,2.41,1.52,2.12,1.76,https://www.oddsportal.com/soccer/spain/copa-federacion-2019-2020/coruxo-fc-dux-internacional-de-madrid-j7IKQVWC/,1,1,0
03.10.2019,2019,spain,copa-federacion-2019-2020,San Fernando,Arroyo,1.23,5.93,9.97,1.72,2.06,2.42,1.59,https://www.oddsportal.com/soccer/spain/copa-federacion-2019-2020/cd-san-fernando-arroyo-fFJkvk1C/,1,4,0
03.10.2019,2019,spain,copa-federacion-2019-2020,CF Talavera,CD Utrera,1.55,3.82,5.74,2.44,1.52,2.61,1.52,https://www.oddsportal.com/soccer/spain/copa-federacion-2019-2020/cf-talavera-cd-utrera-tCFouVo6/,1,2,0
03.10.2019,2019,spain,copa-federacion-2019-2020,Velez,Murcia,3.69,3.17,1.96,2.49,1.51,2.2,1.71,https://www.oddsportal.com/soccer/spain/copa-federacion-2019-2020/velez-murcia-nkGstBWa/,2,2,0
03.10.2019,2019,spain,copa-federacion-2019-2020,Tudelano,Cortes,1.45,4.24,6.4,2.32,1.57,2.5,1.56,https://www.oddsportal.com/soccer/spain/copa-federacion-2019-2020/tudelano-cortes-2onwqDns/,1,5,0
02.10.2019,2019,spain,copa-federacion-2019-2020,Poblense,Teruel,1.81,3.74,3.78,1.64,2.17,1.61,2.38,https://www.oddsportal.com/soccer/spain/copa-federacion-2019-2020/ud-poblense-teruel-MXDGRBH6/,1,3,1
03.10.2019,2019,spain,copa-federacion-2019-2020,Salamanca,Burgos CF,2.66,2.92,2.73,2.59,1.47,2.14,1.74,https://www.oddsportal.com/soccer/spain/copa-federacion-2019-2020/salamanca-cf-uds-burgos-cf-E3WNLtoo/,1,1,0
03.10.2019,2019,spain,copa-federacion-2019-2020,CD Mostoles,Union Viera,1.43,4.33,6.61,2.08,1.69,2.31,1.64,https://www.oddsportal.com/soccer/spain/copa-federacion-2019-2020/cd-mostoles-union-viera-xv9fw9GI/,1,2,0
16.10.2019,2019,spain,copa-federacion-2019-2020,Salamanca,CD Mostoles,1.76,3.57,4.22,1.88,1.86,1.83,2.03,https://www.oddsportal.com/soccer/spain/copa-federacion-2019-2020/salamanca-cf-uds-cd-mostoles-Otx7mJuB/,1,5,1
07.11.2019,2019,spain,copa-federacion-2019-2020,Izarra,Tudelano,2.45,3.04,2.87,2.30,1.57,1.96,1.89,https://www.oddsportal.com/soccer/spain/copa-federacion-2019-2020/izarra-tudelano-ClRM8nMi/,2,6,1
17.10.2019,2019,spain,copa-federacion-2019-2020,San Fernando,Linense,2.16,2.93,3.56,2.59,1.45,2.09,1.79,https://www.oddsportal.com/soccer/spain/copa-federacion-2019-2020/cd-san-fernando-linense-655tXceU/,2,1,0
03.10.2019,2019,spain,copa-federacion-2019-2020,Naxara,Calahorra,3.97,3.51,1.83,2.24,1.60,2.03,1.83,https://www.oddsportal.com/soccer/spain/copa-federacion-2019-2020/naxara-cd-calahorra-tAO9qpwh/,2,1,0
03.10.2019,2019,spain,copa-federacion-2019-2020,Linense,Conquense,1.52,3.94,5.99,1.97,1.79,2.11,1.76,https://www.oddsportal.com/soccer/spain/copa-federacion-2019-2020/linense-conquense-p6aBmgvQ/,1,4,0
16.10.2019,2019,spain,copa-federacion-2019-2020,Tudelano,Calahorra,2.63,3.04,2.68,2.32,1.56,1.95,1.9,https://www.oddsportal.com/soccer/spain/copa-federacion-2019-2020/tudelano-cd-calahorra-GvHotyYp/,1,1,0
03.10.2019,2019,spain,copa-federacion-2019-2020,Compostela,Arandina,1.69,3.52,4.82,2.44,1.52,2.25,1.67,https://www.oddsportal.com/soccer/spain/copa-federacion-2019-2020/compostela-arandina-2JP5pQNo/,1,5,1
20.11.2019,2019,spain,copa-federacion-2019-2020,Tudelano,Coruxo FC,2.26,3.23,3.01,2.07,1.70,1.88,1.97,https://www.oddsportal.com/soccer/spain/copa-federacion-2019-2020/tudelano-coruxo-fc-vmoYUUqk/,1,1,0
03.10.2019,2019,spain,copa-federacion-2019-2020,Izarra,Llanes,1.27,5.54,8.83,1.82,1.93,2.39,1.6,https://www.oddsportal.com/soccer/spain/copa-federacion-2019-2020/izarra-llanes-W2e7lZOJ/,1,3,1
16.10.2019,2019,spain,copa-federacion-2019-2020,Murcia,CF Talavera,1.67,3.53,4.95,2.24,1.60,2.16,1.73,https://www.oddsportal.com/soccer/spain/copa-federacion-2019-2020/murcia-cf-talavera-rRtnhsRu/,1,1,0
16.10.2019,2019,spain,copa-federacion-2019-2020,Durango,Izarra,2.7,3.02,2.62,2.27,1.58,1.91,1.93,https://www.oddsportal.com/soccer/spain/copa-federacion-2019-2020/scd-durango-izarra-65RBnweH/,2,5,1
