date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
11.11.2020,2020,spain,copa-federacion,Leioa,Tropezon,1.62,3.58,5.35,2.18,1.65,2.14,1.66,https://www.oddsportal.com/soccer/spain/copa-federacion/leioa-cd-tropezon-tI2P9n7U/,1,3,1
10.10.2020,2020,spain,copa-federacion,Villarrubia,CD Utrera,1.75,3.63,4.38,2.00,1.80,1.93,1.84,https://www.oddsportal.com/soccer/spain/copa-federacion/villarrubia-cd-utrera-zoaJ70r2/,1,1,0
22.10.2020,2020,spain,copa-federacion,Leioa,Langreo,2.38,3.08,2.91,2.21,1.63,1.91,1.83,https://www.oddsportal.com/soccer/spain/copa-federacion/leioa-langreo-CluwcFl3/,1,2,0
10.10.2020,2020,spain,copa-federacion,Leioa,Caudal Deportivo,1.9,3.36,3.82,2.11,1.69,1.92,1.81,https://www.oddsportal.com/soccer/spain/copa-federacion/leioa-caudal-deportivo-bsPdLJC1/,1,1,0
11.10.2020,2020,spain,copa-federacion,CD Mostoles,Unionistas,3.05,3.36,2.2,2.00,1.79,1.8,1.94,https://www.oddsportal.com/soccer/spain/copa-federacion/cd-mostoles-unionistas-de-salamanca-Q9ElzTAO/,2,1,0
11.10.2020,2020,spain,copa-federacion,Rapido de Bouzas,Melilla,4.59,3.74,1.66,1.85,1.91,1.81,1.91,https://www.oddsportal.com/soccer/spain/copa-federacion/rapido-de-bouzas-melilla-xSzlNurk/,2,5,1
10.10.2020,2020,spain,copa-federacion,Balmaseda,Barakaldo,3.27,3.31,2.09,2.05,1.73,1.83,1.9,https://www.oddsportal.com/soccer/spain/copa-federacion/balmaseda-barakaldo-2X0B9MDk/,1,1,0
22.10.2020,2020,spain,copa-federacion,Las Rozas,SD Tenisca,1.47,3.95,6.16,2.08,1.72,2.14,1.65,https://www.oddsportal.com/soccer/spain/copa-federacion/cd-las-rozas-sd-tenisca-ChBnW90U/,1,4,1
28.10.2020,2020,spain,copa-federacion,Llagostera,Platges de Calvia,1.75,3.59,4.23,2.06,1.74,1.91,1.85,https://www.oddsportal.com/soccer/spain/copa-federacion/llagostera-platges-de-calvia-0d2Jl3iQ/,1,3,0
21.10.2020,2020,spain,copa-federacion,Villarrubia,UCAM Murcia,2.68,2.97,2.62,2.45,1.52,2.04,1.73,https://www.oddsportal.com/soccer/spain/copa-federacion/villarrubia-ucam-murcia-nshYB0WC/,2,1,0
18.11.2020,2020,spain,copa-federacion,Llagostera,UCAM Murcia,2.26,3.05,3.21,2.34,1.57,1.99,1.76,https://www.oddsportal.com/soccer/spain/copa-federacion/llagostera-ucam-murcia-KYW4QKA3/,1,3,1
21.10.2020,2020,spain,copa-federacion,Balmaseda,Tropezon,2.71,3.11,2.5,2.25,1.61,1.9,1.83,https://www.oddsportal.com/soccer/spain/copa-federacion/balmaseda-cd-tropezon-Cbh2HRNB/,2,2,0
10.10.2020,2020,spain,copa-federacion,Ebro,Gimnastic,2.31,3.14,3.11,2.31,1.59,1.98,1.8,https://www.oddsportal.com/soccer/spain/copa-federacion/ebro-gimnastic-jgs6V3z9/,2,2,0
21.10.2020,2020,spain,copa-federacion,Puertollano C.F.,Torredonjimeno,2.39,3.03,2.92,2.21,1.63,1.87,1.86,https://www.oddsportal.com/soccer/spain/copa-federacion/puertollano-c-f-ciudad-de-torredonjimeno-GKOn03X0/,1,7,1
11.10.2020,2020,spain,copa-federacion,Torredonjimeno,Recreativo Huelva,3.24,3.36,2.11,2.04,1.76,1.85,1.89,https://www.oddsportal.com/soccer/spain/copa-federacion/ciudad-de-torredonjimeno-recreativo-huelva-df0F8tTe/,1,1,0
11.10.2020,2020,spain,copa-federacion,Moralo,UCAM Murcia,3.24,3.22,2.15,2.14,1.67,1.88,1.85,https://www.oddsportal.com/soccer/spain/copa-federacion/moralo-ucam-murcia-GIZiMace/,2,3,1
19.11.2020,2020,spain,copa-federacion,Las Rozas,Leioa,2.35,3.19,2.89,2.10,1.72,1.84,1.9,https://www.oddsportal.com/soccer/spain/copa-federacion/cd-las-rozas-leioa-jqz1gVf4/,1,1,0
10.10.2020,2020,spain,copa-federacion,Langreo,,1.54,3.87,5.61,1.89,1.87,1.96,1.78,https://www.oddsportal.com/soccer/spain/copa-federacion/langreo-beti-kozkor-C2r2WqL2/,1,3,0
