date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
18.03.2017,2017,spain,laliga2-2016-2017,Lugo,Mirandes,1.79,3.54,4.93,2.01,1.84,1.96,1.96,https://www.oddsportal.com/soccer/spain/laliga2-2016-2017/lugo-mirandes-OIcCXayB/#1X2;2,1,3,1
02.10.2016,2016,spain,laliga2-2016-2017,Levante,Valladolid,1.88,3.31,4.52,2.28,1.63,2.0,1.79,https://www.oddsportal.com/soccer/spain/laliga2-2016-2017/levante-valladolid-pOnqtxXS/#1X2;2,1,5,1
28.04.2017,2017,spain,laliga2-2016-2017,Elche,Almeria,2.13,3.11,3.8,2.22,1.66,1.95,1.93,https://www.oddsportal.com/soccer/spain/laliga2-2016-2017/elche-almeria-8rXMTByT/#1X2;2,2,5,1
08.01.2017,2017,spain,laliga2-2016-2017,Elche,Cadiz CF,2.32,3.11,3.42,2.30,1.65,2.0,1.92,https://www.oddsportal.com/soccer/spain/laliga2-2016-2017/elche-cadiz-QXMvaQCe/#1X2;2,2,5,1
08.10.2016,2016,spain,laliga2-2016-2017,Valladolid,Alcorcon,2.09,3.05,4.03,2.57,1.51,2.06,1.76,https://www.oddsportal.com/soccer/spain/laliga2-2016-2017/valladolid-alcorcon-KEvplZOk/#1X2;2,1,2,0
04.12.2016,2016,spain,laliga2-2016-2017,Reus Deportiu,Cordoba,2.24,2.99,3.82,2.69,1.50,2.19,1.73,https://www.oddsportal.com/soccer/spain/laliga2-2016-2017/reus-deportiu-cordoba-EXo1chKg/#1X2;2,2,3,1
06.05.2017,2017,spain,laliga2-2016-2017,Numancia,UCAM Murcia,2.15,2.88,4.2,2.57,1.52,2.14,1.78,https://www.oddsportal.com/soccer/spain/laliga2-2016-2017/numancia-ucam-murcia-SSDgOkaj/#1X2;2,1,1,0
22.01.2017,2017,spain,laliga2-2016-2017,Cadiz CF,Almeria,1.99,3.24,4.19,2.23,1.69,1.95,1.93,https://www.oddsportal.com/soccer/spain/laliga2-2016-2017/cadiz-almeria-baMjRrdl/#1X2;2,1,1,0
01.10.2016,2016,spain,laliga2-2016-2017,Alcorcon,Elche,2.14,2.99,3.98,2.75,1.45,2.15,1.7,https://www.oddsportal.com/soccer/spain/laliga2-2016-2017/alcorcon-elche-nXYAydup/#1X2;2,1,1,0
08.10.2016,2016,spain,laliga2-2016-2017,Getafe,UCAM Murcia,2.33,2.93,3.54,2.72,1.46,2.14,1.71,https://www.oddsportal.com/soccer/spain/laliga2-2016-2017/getafe-ucam-murcia-rJIDeHWF/#1X2;2,1,2,0
14.01.2017,2017,spain,laliga2-2016-2017,Rayo Vallecano,Sevilla FC B,1.72,3.73,5.27,1.93,1.90,1.92,2.0,https://www.oddsportal.com/soccer/spain/laliga2-2016-2017/rayo-vallecano-sevilla-bosICqse/#1X2;2,0,2,1
13.05.2017,2017,spain,laliga2-2016-2017,Gimnastic,R. Oviedo,2.33,3.0,3.37,2.41,1.57,2.06,1.83,https://www.oddsportal.com/soccer/spain/laliga2-2016-2017/gimnastic-r-oviedo-l4w9HMcs/#1X2;2,0,4,1
20.09.2016,2016,spain,laliga2-2016-2017,Alcorcon,Cordoba,2.27,3.1,3.78,2.72,1.52,2.1,1.71,https://www.oddsportal.com/soccer/spain/laliga2-2016-2017/alcorcon-cordoba-lKJIT7s6/#1X2;2,2,1,0
