date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
14.02.2021,2021,spain,segunda-division-b-group-1,Leonesa,Valladolid Promesas,1.59,3.65,5.65,2.27,1.62,2.23,1.6,https://www.oddsportal.com/soccer/spain/segunda-division-b-group-1/leonesa-valladolid-promesas-bVzppyyh/,0,2,1
24.01.2021,2021,spain,segunda-division-b-group-1,Coruxo FC,Salamanca,2.52,2.86,3.0,2.60,1.44,2.17,1.64,https://www.oddsportal.com/soccer/spain/segunda-division-b-group-1/coruxo-fc-salamanca-cf-uds-AwWNpg9C/,1,1,0
12.12.2020,2020,spain,segunda-division-b-group-1,Numancia,Langreo,1.55,3.72,6.01,2.34,1.59,2.31,1.56,https://www.oddsportal.com/soccer/spain/segunda-division-b-group-1/numancia-langreo-tvKMOT8E/,1,1,0
24.02.2021,2021,spain,segunda-division-b-group-1,Numancia,Leonesa,2.6,2.49,3.47,3.00,1.31,2.35,1.55,https://www.oddsportal.com/soccer/spain/segunda-division-b-group-1/numancia-leonesa-KSimRMUC/,2,2,0
31.01.2021,2021,spain,segunda-division-b-group-1,Compostela,Coruxo FC,1.99,2.92,4.29,2.57,1.50,2.19,1.63,https://www.oddsportal.com/soccer/spain/segunda-division-b-group-1/compostela-coruxo-fc-M1TvU9S3/,1,5,1
17.01.2021,2021,spain,segunda-division-b-group-1,Zamora,Coruxo FC,1.84,3.11,4.73,2.45,1.54,2.13,1.66,https://www.oddsportal.com/soccer/spain/segunda-division-b-group-1/zamora-coruxo-fc-YH81Gjb4/,1,2,0
17.10.2020,2020,spain,segunda-division-b-group-1,Guijuelo,Celta Vigo B,1.98,3.31,3.68,2.16,1.69,1.93,1.8,https://www.oddsportal.com/soccer/spain/segunda-division-b-group-1/guijuelo-celta-vigo-dYrRxpAr/,0,0,0
24.01.2021,2021,spain,segunda-division-b-group-1,Dep. La Coruna,Compostela,1.56,3.67,5.99,2.34,1.59,2.37,1.54,https://www.oddsportal.com/soccer/spain/segunda-division-b-group-1/dep-la-coruna-compostela-Yump8S5p/,2,2,0
21.03.2021,2021,spain,segunda-division-b-group-1,Ferrol,Guijuelo,1.62,3.44,5.88,2.48,1.52,2.4,1.51,https://www.oddsportal.com/soccer/spain/segunda-division-b-group-1/ferrol-guijuelo-4bAPybQs/,1,1,0
14.03.2021,2021,spain,segunda-division-b-group-1,Celta Vigo B,Dep. La Coruna,3.88,3.05,2.04,2.74,1.43,2.25,1.59,https://www.oddsportal.com/soccer/spain/segunda-division-b-group-1/celta-vigo-dep-la-coruna-YBmhf6t9/,2,3,0
