date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
22.12.2018,2018,spain,segunda-division-b-group-2-2018-2019,R. Union,Ath Bilbao B,3.14,3.03,2.38,2.13,1.73,1.78,2.03,https://www.oddsportal.com/soccer/spain/segunda-division-b-group-2-2018-2019/real-union-ath-bilbao-4WV1QbjM/,1,1,0
09.12.2018,2018,spain,segunda-division-b-group-2-2018-2019,Langreo,Tudelano,2.1,3.16,3.62,2.17,1.69,1.9,1.91,https://www.oddsportal.com/soccer/spain/segunda-division-b-group-2-2018-2019/langreo-tudelano-AFDx34hb/,1,2,0
02.12.2018,2018,spain,segunda-division-b-group-2-2018-2019,CD Vitoria,Calahorra,2.42,3.04,3.06,2.34,1.61,1.99,1.82,https://www.oddsportal.com/soccer/spain/segunda-division-b-group-2-2018-2019/cd-vitoria-cd-calahorra-WOh3l5w5/,0,2,1
29.06.2019,2019,spain,segunda-division-b-group-1-2018-2019,Ponferradina,Hercules,1.85,3.43,4.16,2.15,1.69,1.93,1.87,https://www.oddsportal.com/soccer/spain/segunda-division-b-group-1-2018-2019/ponferradina-hercules-j1k0LzRG/,1,1,0
10.02.2019,2019,spain,segunda-division-b-group-2-2018-2019,Logrones,Calahorra,1.64,3.44,5.9,2.54,1.51,2.44,1.56,https://www.oddsportal.com/soccer/spain/segunda-division-b-group-2-2018-2019/logrones-cd-calahorra-vmqQZKt2/,0,2,1
25.11.2018,2018,spain,segunda-division-b-group-2-2018-2019,Mirandes,Gernika,1.65,3.35,6.08,2.35,1.59,2.29,1.62,https://www.oddsportal.com/soccer/spain/segunda-division-b-group-2-2018-2019/mirandes-gernika-club-K8RlZYX0/,1,1,0
09.06.2019,2019,spain,segunda-division-b-group-1-2018-2019,Cartagena,Ponferradina,2.03,2.97,4.1,2.60,1.47,2.17,1.67,https://www.oddsportal.com/soccer/spain/segunda-division-b-group-1-2018-2019/cartagena-ponferradina-hUDPH9NT/,2,3,1
27.01.2019,2019,spain,segunda-division-b-group-2-2018-2019,Gernika,Calahorra,2.18,3.06,3.52,2.35,1.59,2.03,1.79,https://www.oddsportal.com/soccer/spain/segunda-division-b-group-2-2018-2019/gernika-club-cd-calahorra-GW6uSWrO/,1,4,1
12.01.2019,2019,spain,segunda-division-b-group-2-2018-2019,Leioa,Gijon B,2.64,2.87,2.94,2.48,1.54,2.03,1.79,https://www.oddsportal.com/soccer/spain/segunda-division-b-group-2-2018-2019/leioa-gijon-8WnO2GFC/,1,2,0
01.12.2018,2018,spain,segunda-division-b-group-2-2018-2019,Gernika,Arenas Club,2.24,2.91,3.58,2.66,1.48,2.16,1.67,https://www.oddsportal.com/soccer/spain/segunda-division-b-group-2-2018-2019/gernika-club-arenas-club-de-getxo-fRuXoCH6/,1,2,0
24.02.2019,2019,spain,segunda-division-b-group-2-2018-2019,Izarra,Langreo,2.4,2.98,3.16,2.42,1.56,2.02,1.79,https://www.oddsportal.com/soccer/spain/segunda-division-b-group-2-2018-2019/izarra-langreo-CYIuMbHQ/,0,0,0
27.01.2019,2019,spain,segunda-division-b-group-2-2018-2019,Izarra,CD Vitoria,2.48,2.86,3.17,2.69,1.45,2.22,1.67,https://www.oddsportal.com/soccer/spain/segunda-division-b-group-2-2018-2019/izarra-cd-vitoria-ERY5rhT4/,0,2,1
