date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
22.07.2020,2020,turkey,1-lig-2019-2020,Bursaspor,Adana Demirspor,2.69,3.47,2.46,1.83,1.99,1.63,2.2,https://www.oddsportal.com/soccer/turkey/1-lig-2019-2020/bursaspor-adanademirspor-0SK8Yc4N/,0,0,0
18.07.2020,2020,turkey,1-lig-2019-2020,Akhisarspor,Keciorengucu,1.55,4.0,5.67,1.85,1.98,1.9,1.84,https://www.oddsportal.com/soccer/turkey/1-lig-2019-2020/akhisarspor-keciorengucu-6eznKEtU/,2,7,1
29.12.2019,2019,turkey,1-lig-2019-2020,Keciorengucu,Akhisarspor,2.49,3.0,3.07,2.23,1.65,1.85,1.88,https://www.oddsportal.com/soccer/turkey/1-lig-2019-2020/keciorengucu-akhisarspor-IwQFzR7R/,1,1,0
03.11.2019,2019,turkey,1-lig-2019-2020,Keciorengucu,Giresunspor,1.99,3.36,3.79,2.19,1.68,1.93,1.84,https://www.oddsportal.com/soccer/turkey/1-lig-2019-2020/keciorengucu-giresunspor-CMAsdJHE/,0,0,0
26.07.2020,2020,turkey,1-lig-2019-2020,Akhisarspor,Karagumruk,2.03,3.68,3.4,1.68,2.24,1.58,2.33,https://www.oddsportal.com/soccer/turkey/1-lig-2019-2020/akhisarspor-f-karagumruk-C6lRjuKi/,2,1,0
08.12.2019,2019,turkey,1-lig-2019-2020,Bursaspor,Giresunspor,1.8,3.59,4.31,2.01,1.81,1.85,1.88,https://www.oddsportal.com/soccer/turkey/1-lig-2019-2020/bursaspor-giresunspor-f7gRC2bN/,2,5,1
14.12.2019,2019,turkey,1-lig-2019-2020,Istanbulspor AS,Eskisehirspor,1.69,4.1,4.43,1.49,2.47,1.54,2.37,https://www.oddsportal.com/soccer/turkey/1-lig-2019-2020/istanbulspor-as-eskisehirspor-SEGgCjP9/,1,1,0
29.09.2019,2019,turkey,1-lig-2019-2020,Menemenspor,Ankaraspor,2.2,3.45,3.14,1.86,1.94,1.7,2.12,https://www.oddsportal.com/soccer/turkey/1-lig-2019-2020/menemenspor-ankaraspor-zPR3JhEn/,2,3,1
06.03.2020,2020,turkey,1-lig-2019-2020,Adanaspor AS,Balikesirspor,2.56,3.16,2.66,2.03,1.79,1.79,1.94,https://www.oddsportal.com/soccer/turkey/1-lig-2019-2020/adanaspor-as-balikesirspor-nJeyO2tC/,0,2,1
20.10.2019,2019,turkey,1-lig-2019-2020,Adanaspor AS,Istanbulspor AS,3.18,3.28,2.25,2.05,1.75,1.8,1.98,https://www.oddsportal.com/soccer/turkey/1-lig-2019-2020/adanaspor-as-istanbulspor-as-z7xxMozo/,0,4,1
31.08.2019,2019,turkey,1-lig-2019-2020,Altay,Balikesirspor,1.44,4.49,6.6,1.70,2.16,1.87,1.92,https://www.oddsportal.com/soccer/turkey/1-lig-2019-2020/altay-balikesirspor-hpIM6fDq/,1,1,0
18.08.2019,2019,turkey,1-lig-2019-2020,Altay,Umraniyespor,2.17,3.38,3.29,2.00,1.83,1.78,2.01,https://www.oddsportal.com/soccer/turkey/1-lig-2019-2020/altay-umraniyespor-QFmVoKyH/,2,4,1
10.03.2020,2020,turkey,1-lig-2019-2020,Boluspor,Adanaspor AS,1.75,3.38,4.69,2.24,1.64,2.02,1.73,https://www.oddsportal.com/soccer/turkey/1-lig-2019-2020/boluspor-adanaspor-as-MVM6wrta/,1,3,1
