date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
28.11.2020,2020,turkey,1-lig,Umraniyespor,Menemenspor,1.64,3.78,5.09,1.96,1.86,1.9,1.85,https://www.oddsportal.com/soccer/turkey/1-lig/umraniyespor-menemenspor-QcSthhNB/,2,2,0
23.02.2021,2021,turkey,1-lig,Umraniyespor,Adana Demirspor,3.11,3.15,2.3,1.79,2.01,1.59,2.28,https://www.oddsportal.com/soccer/turkey/1-lig/umraniyespor-adanademirspor-dAle4yVO/,0,0,0
12.12.2020,2020,turkey,1-lig,Bursaspor,Samsunspor,3.41,3.4,2.08,1.98,1.85,1.77,1.99,https://www.oddsportal.com/soccer/turkey/1-lig/bursaspor-samsunspor-6NUbZtC8/,1,3,0
19.09.2020,2020,turkey,1-lig,Altinordu,Bursaspor,2.04,3.35,3.6,2.16,1.71,1.89,1.87,https://www.oddsportal.com/soccer/turkey/1-lig/altinordu-bursaspor-jqln0zcr/,2,2,0
05.12.2020,2020,turkey,1-lig,Menemenspor,Bandirmaspor,2.8,3.21,2.5,1.94,1.89,1.7,2.09,https://www.oddsportal.com/soccer/turkey/1-lig/menemenspor-bandirmaspor-8ju37XMb/,0,2,1
01.11.2020,2020,turkey,1-lig,Eskisehirspor,Akhisarspor,4.51,3.85,1.7,1.79,2.04,1.77,2.0,https://www.oddsportal.com/soccer/turkey/1-lig/eskisehirspor-akhisarspor-fXUWmnQ8/,2,1,0
28.09.2020,2020,turkey,1-lig,Boluspor,Altinordu,2.22,3.23,3.2,2.15,1.69,1.86,1.88,https://www.oddsportal.com/soccer/turkey/1-lig/boluspor-altinordu-UmSODgRs/,2,3,1
28.11.2020,2020,turkey,1-lig,Akhisarspor,Ankaraspor,1.96,3.41,3.79,2.04,1.81,1.83,1.92,https://www.oddsportal.com/soccer/turkey/1-lig/akhisarspor-ankaraspor-rZxxgY75/,2,1,0
17.10.2020,2020,turkey,1-lig,Umraniyespor,Keciorengucu,3.15,3.26,2.26,2.14,1.73,1.84,1.92,https://www.oddsportal.com/soccer/turkey/1-lig/umraniyespor-keciorengucu-2LMm4tfo/,2,3,1
22.11.2020,2020,turkey,1-lig,Keciorengucu,Akhisarspor,1.81,3.48,4.42,2.15,1.72,1.99,1.77,https://www.oddsportal.com/soccer/turkey/1-lig/keciorengucu-akhisarspor-Qc6BxDNO/,1,6,0
04.12.2020,2020,turkey,1-lig,Bursaspor,Umraniyespor,2.45,3.1,2.96,1.92,1.89,1.69,2.1,https://www.oddsportal.com/soccer/turkey/1-lig/bursaspor-umraniyespor-ns0xMWyh/,2,4,1
18.10.2020,2020,turkey,1-lig,Boluspor,Tuzlaspor,3.37,3.29,2.14,2.17,1.70,1.88,1.88,https://www.oddsportal.com/soccer/turkey/1-lig/boluspor-tuzlaspor-rDch7URM/,2,3,1
04.10.2020,2020,turkey,1-lig,Samsunspor,Akhisarspor,1.74,3.57,4.71,2.02,1.82,1.93,1.83,https://www.oddsportal.com/soccer/turkey/1-lig/samsunspor-akhisarspor-fFXDArHH/,1,1,0
05.12.2020,2020,turkey,1-lig,Giresunspor,Eskisehirspor,1.49,4.16,6.16,1.86,1.98,1.94,1.81,https://www.oddsportal.com/soccer/turkey/1-lig/giresunspor-eskisehirspor-buYF4V6H/,1,2,0
07.02.2021,2021,turkey,1-lig,Balikesirspor,Akhisarspor,2.46,3.24,2.8,2.08,1.76,1.8,1.96,https://www.oddsportal.com/soccer/turkey/1-lig/balikesirspor-akhisarspor-zqWjtAtj/,1,3,0
07.11.2020,2020,turkey,1-lig,Umraniyespor,Tuzlaspor,3.09,3.1,2.35,2.07,1.77,1.77,2.0,https://www.oddsportal.com/soccer/turkey/1-lig/umraniyespor-tuzlaspor-dIhPQFOC/,0,2,1
20.09.2020,2020,turkey,1-lig,Giresunspor,Menemenspor,1.62,3.79,5.22,2.03,1.81,1.99,1.78,https://www.oddsportal.com/soccer/turkey/1-lig/giresunspor-menemenspor-Y31K4GlR/,0,2,1
24.02.2021,2021,turkey,1-lig,Akhisarspor,Istanbulspor AS,5.23,3.84,1.6,1.72,2.13,1.74,2.03,https://www.oddsportal.com/soccer/turkey/1-lig/akhisarspor-istanbulspor-as-C6Kj7wo6/,2,1,0
20.02.2021,2021,turkey,1-lig,Menemenspor,Akhisarspor,2.37,3.32,2.86,1.98,1.84,1.74,2.03,https://www.oddsportal.com/soccer/turkey/1-lig/menemenspor-akhisarspor-zNMJ4pP7/,1,8,1
24.10.2020,2020,turkey,1-lig,Umraniyespor,Altinordu,3.01,3.38,2.26,1.86,1.97,1.67,2.15,https://www.oddsportal.com/soccer/turkey/1-lig/umraniyespor-altinordu-Kvb2FRJq/,0,2,1
