date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
04.11.2017,2017,turkey,super-lig-2017-2018,Ankaraspor,Fenerbahce,3.34,3.41,2.13,1.84,2.00,1.66,2.2,https://www.oddsportal.com/soccer/turkey/super-lig-2017-2018/ankaraspor-fenerbahce-6yISWbIr/,0,2,1
01.10.2017,2017,turkey,super-lig-2017-2018,Yeni Malatyaspor,Konyaspor,2.21,3.33,3.24,1.99,1.85,1.75,2.06,https://www.oddsportal.com/soccer/turkey/super-lig-2017-2018/yeni-malatyaspor-konyaspor-4nOmFZjt/,0,2,1
05.02.2018,2018,turkey,super-lig-2017-2018,Trabzonspor,Goztepe,1.87,3.63,4.08,1.73,2.15,1.63,2.26,https://www.oddsportal.com/soccer/turkey/super-lig-2017-2018/trabzonspor-goztepe-vLvc6ERi/,0,0,0
11.05.2018,2018,turkey,super-lig-2017-2018,Antalyaspor,Basaksehir,5.49,4.14,1.57,1.78,2.09,1.81,2.0,https://www.oddsportal.com/soccer/turkey/super-lig-2017-2018/antalyaspor-basaksehir-QTW6Lakn/,2,2,0
04.11.2017,2017,turkey,super-lig-2017-2018,Kasimpasa,Bursaspor,2.46,3.56,2.73,1.59,2.38,1.5,2.55,https://www.oddsportal.com/soccer/turkey/super-lig-2017-2018/kasimpasa-bursaspor-0xjek7Y9/,0,4,1
28.04.2018,2018,turkey,super-lig-2017-2018,Kayserispor,Alanyaspor,3.0,3.54,2.31,1.67,2.28,1.55,2.45,https://www.oddsportal.com/soccer/turkey/super-lig-2017-2018/kayserispor-alanyaspor-zRQH2oq7/,2,3,1
03.02.2018,2018,turkey,super-lig-2017-2018,Kardemir Karabuk,Alanyaspor,3.3,3.65,2.05,1.68,2.20,1.58,2.39,https://www.oddsportal.com/soccer/turkey/super-lig-2017-2018/kardemir-karabuk-alanyaspor-ljCzkDdH/,1,1,0
01.10.2017,2017,turkey,super-lig-2017-2018,Besiktas,Trabzonspor,1.67,3.74,5.2,1.76,2.10,1.67,2.17,https://www.oddsportal.com/soccer/turkey/super-lig-2017-2018/besiktas-trabzonspor-AVaPE5u0/,0,4,1
10.02.2018,2018,turkey,super-lig-2017-2018,Genclerbirligi,Trabzonspor,2.77,3.21,2.67,2.11,1.76,1.81,2.0,https://www.oddsportal.com/soccer/turkey/super-lig-2017-2018/genclerbirligi-trabzonspor-z7zI1jtN/,0,0,0
21.10.2017,2017,turkey,super-lig-2017-2018,Akhisarspor,Genclerbirligi,1.77,3.57,4.75,1.94,1.87,1.83,1.96,https://www.oddsportal.com/soccer/turkey/super-lig-2017-2018/akhisarspor-genclerbirligi-WMsVRCzn/,0,6,1
19.05.2018,2018,turkey,super-lig-2017-2018,Fenerbahce,Konyaspor,1.18,7.46,14.38,1.36,3.09,1.93,1.9,https://www.oddsportal.com/soccer/turkey/super-lig-2017-2018/fenerbahce-konyaspor-n3qcWG34/,1,5,1
19.02.2018,2018,turkey,super-lig-2017-2018,Genclerbirligi,Goztepe,1.87,3.67,4.23,1.94,1.91,1.83,1.98,https://www.oddsportal.com/soccer/turkey/super-lig-2017-2018/genclerbirligi-goztepe-UTeiGkeG/,1,3,0
16.10.2017,2017,turkey,super-lig-2017-2018,Bursaspor,Ankaraspor,2.56,3.42,2.66,1.72,2.14,1.6,2.33,https://www.oddsportal.com/soccer/turkey/super-lig-2017-2018/bursaspor-ankaraspor-x0MeDDLh/,1,4,1
12.05.2018,2018,turkey,super-lig-2017-2018,Kasimpasa,Genclerbirligi,2.21,3.74,2.98,1.57,2.44,1.52,2.53,https://www.oddsportal.com/soccer/turkey/super-lig-2017-2018/kasimpasa-genclerbirligi-htONHHlB/,1,4,1
22.10.2017,2017,turkey,super-lig-2017-2018,Galatasaray,Fenerbahce,2.02,3.55,3.7,1.73,2.15,1.65,2.28,https://www.oddsportal.com/soccer/turkey/super-lig-2017-2018/galatasaray-fenerbahce-MBzrPAK4/,0,0,0
12.08.2017,2017,turkey,super-lig-2017-2018,Akhisarspor,Sivasspor,2.02,3.38,3.88,2.14,1.74,1.91,1.91,https://www.oddsportal.com/soccer/turkey/super-lig-2017-2018/akhisarspor-sivasspor-lSuHQ8wJ/,1,1,0
27.04.2018,2018,turkey,super-lig-2017-2018,Goztepe,Kardemir Karabuk,1.15,7.68,15.52,1.29,3.44,1.88,1.95,https://www.oddsportal.com/soccer/turkey/super-lig-2017-2018/goztepe-kardemir-karabuk-S0N947Ef/,1,5,0
22.04.2018,2018,turkey,super-lig-2017-2018,Akhisarspor,Goztepe,1.9,3.57,4.17,1.83,2.06,1.69,2.21,https://www.oddsportal.com/soccer/turkey/super-lig-2017-2018/akhisarspor-goztepe-r9Necj7R/,0,2,1
