date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
31.01.2021,2021,turkey,super-lig,Genclerbirligi,Antalyaspor,2.75,3.41,2.58,2.03,1.85,1.75,2.06,https://www.oddsportal.com/soccer/turkey/super-lig/genclerbirligi-antalyaspor-Ic2IpWQT/,2,1,0
04.02.2021,2021,turkey,super-lig,Trabzonspor,Denizlispor,1.54,4.15,6.46,1.88,1.99,1.9,1.89,https://www.oddsportal.com/soccer/turkey/super-lig/trabzonspor-denizlispor-zFWW3gRi/,1,1,0
02.02.2021,2021,turkey,super-lig,Hatayspor,Fenerbahce,4.01,3.7,1.9,1.71,2.21,1.59,2.34,https://www.oddsportal.com/soccer/turkey/super-lig/hatayspor-fenerbahce-UyWz3Dtb/,2,3,1
12.12.2020,2020,turkey,super-lig,Ankaragucu,Konyaspor,3.11,3.28,2.38,2.18,1.73,1.85,1.94,https://www.oddsportal.com/soccer/turkey/super-lig/ankaragucu-konyaspor-SI42UwIr/,1,7,1
03.02.2021,2021,turkey,super-lig,Karagumruk,Gaziantep,2.3,3.51,3.09,1.66,2.30,1.52,2.51,https://www.oddsportal.com/soccer/turkey/super-lig/f-karagumruk-gaziantep-MippaVuN/,1,2,0
07.11.2020,2020,turkey,super-lig,Kasimpasa,Antalyaspor,1.78,3.97,4.29,1.71,2.21,1.66,2.22,https://www.oddsportal.com/soccer/turkey/super-lig/kasimpasa-antalyaspor-M1uC9rPI/,0,4,1
28.09.2020,2020,turkey,super-lig,Antalyaspor,Denizlispor,1.99,3.44,3.95,2.02,1.84,1.83,1.98,https://www.oddsportal.com/soccer/turkey/super-lig/antalyaspor-denizlispor-8z1eV4pn/,1,1,0
29.12.2020,2020,turkey,super-lig,Antalyaspor,Hatayspor,2.7,3.19,2.78,2.23,1.71,1.86,1.94,https://www.oddsportal.com/soccer/turkey/super-lig/antalyaspor-hatayspor-bcgNDFxQ/,2,6,0
19.09.2020,2020,turkey,super-lig,Besiktas,Antalyaspor,1.72,4.1,4.55,1.66,2.28,1.65,2.25,https://www.oddsportal.com/soccer/turkey/super-lig/besiktas-antalyaspor-MudyQ986/,0,2,1
08.11.2020,2020,turkey,super-lig,Basaksehir,Genclerbirligi,1.34,5.44,8.51,1.56,2.51,1.84,1.96,https://www.oddsportal.com/soccer/turkey/super-lig/basaksehir-genclerbirligi-hMmeDQPg/,1,3,1
06.02.2021,2021,turkey,super-lig,Fenerbahce,Galatasaray,2.61,3.46,2.69,1.86,2.02,1.63,2.22,https://www.oddsportal.com/soccer/turkey/super-lig/fenerbahce-galatasaray-tYAFEAuA/,2,1,0
16.01.2021,2021,turkey,super-lig,Basaksehir,Sivasspor,1.88,3.75,4.02,1.71,2.19,1.61,2.29,https://www.oddsportal.com/soccer/turkey/super-lig/basaksehir-sivasspor-SYdNWl02/,0,2,1
03.03.2021,2021,turkey,super-lig,Ankaragucu,Galatasaray,6.11,4.42,1.52,1.67,2.27,1.72,2.1,https://www.oddsportal.com/soccer/turkey/super-lig/ankaragucu-galatasaray-QaZXqgyC/,1,3,1
14.09.2020,2020,turkey,super-lig,Hatayspor,Basaksehir,4.56,3.69,1.8,1.93,1.92,1.82,1.99,https://www.oddsportal.com/soccer/turkey/super-lig/hatayspor-basaksehir-GMHhFhfl/,1,2,0
17.01.2021,2021,turkey,super-lig,Besiktas,Galatasaray,2.66,3.37,2.68,1.77,2.11,1.58,2.36,https://www.oddsportal.com/soccer/turkey/super-lig/besiktas-galatasaray-dElvT6aR/,1,2,0
14.12.2020,2020,turkey,super-lig,Sivasspor,Antalyaspor,2.11,3.41,3.58,2.07,1.82,1.8,2.0,https://www.oddsportal.com/soccer/turkey/super-lig/sivasspor-antalyaspor-trK7Ry21/,0,0,0
25.01.2021,2021,turkey,super-lig,Kasimpasa,Sivasspor,3.01,3.28,2.45,2.10,1.79,1.78,2.02,https://www.oddsportal.com/soccer/turkey/super-lig/kasimpasa-sivasspor-Cbv8vwbt/,1,2,0
31.01.2021,2021,turkey,super-lig,Besiktas,Trabzonspor,1.86,3.68,4.27,1.87,2.01,1.72,2.11,https://www.oddsportal.com/soccer/turkey/super-lig/besiktas-trabzonspor-z1ibkfCb/,2,3,1
06.12.2020,2020,turkey,super-lig,Denizlispor,Fenerbahce,5.24,4.18,1.63,1.65,2.31,1.66,2.2,https://www.oddsportal.com/soccer/turkey/super-lig/denizlispor-fenerbahce-0j9mz9l4/,2,2,0
08.11.2020,2020,turkey,super-lig,Kayserispor,Hatayspor,2.82,3.28,2.58,2.16,1.74,1.85,1.95,https://www.oddsportal.com/soccer/turkey/super-lig/kayserispor-hatayspor-Eyx4B4f6/,2,1,0
03.03.2021,2021,turkey,super-lig,Basaksehir,Konyaspor,2.13,3.1,3.95,2.51,1.55,2.1,1.73,https://www.oddsportal.com/soccer/turkey/super-lig/basaksehir-konyaspor-UXuPoF6a/,0,2,1
21.01.2021,2021,turkey,super-lig,Sivasspor,Fenerbahce,2.93,3.29,2.48,1.98,1.88,1.71,2.11,https://www.oddsportal.com/soccer/turkey/super-lig/sivasspor-fenerbahce-SUIxPcbg/,0,2,1
04.10.2020,2020,turkey,super-lig,Denizlispor,Konyaspor,3.22,3.22,2.36,2.37,1.61,1.98,1.82,https://www.oddsportal.com/soccer/turkey/super-lig/denizlispor-konyaspor-ImTptMb4/,0,0,0
26.10.2020,2020,turkey,super-lig,Sivasspor,Rizespor,1.91,3.7,3.97,1.86,2.01,1.72,2.12,https://www.oddsportal.com/soccer/turkey/super-lig/sivasspor-rizespor-4Kuj8vrc/,2,2,0
29.11.2020,2020,turkey,super-lig,Kasimpasa,Genclerbirligi,2.0,3.47,3.88,1.88,1.98,1.69,2.15,https://www.oddsportal.com/soccer/turkey/super-lig/kasimpasa-genclerbirligi-SxkAMkK4/,1,2,0
05.12.2020,2020,turkey,super-lig,Galatasaray,Hatayspor,1.63,4.15,5.24,1.75,2.14,1.76,2.04,https://www.oddsportal.com/soccer/turkey/super-lig/galatasaray-hatayspor-IR3hZS3A/,1,3,0
02.11.2020,2020,turkey,super-lig,Antalyaspor,Fenerbahce,5.59,4.36,1.57,1.60,2.39,1.66,2.21,https://www.oddsportal.com/soccer/turkey/super-lig/antalyaspor-fenerbahce-lUU81TQs/,2,3,1
05.01.2021,2021,turkey,super-lig,Gaziantep,Ankaragucu,1.99,3.58,3.82,1.88,2.00,1.68,2.16,https://www.oddsportal.com/soccer/turkey/super-lig/gaziantep-ankaragucu-zHZBKNkA/,1,2,0
22.02.2021,2021,turkey,super-lig,Ankaragucu,Rizespor,2.57,3.32,2.81,2.25,1.69,1.87,1.91,https://www.oddsportal.com/soccer/turkey/super-lig/ankaragucu-rizespor-rwoXS00K/,0,2,1
18.10.2020,2020,turkey,super-lig,Antalyaspor,Gaziantep,1.94,3.51,4.02,1.84,2.03,1.7,2.13,https://www.oddsportal.com/soccer/turkey/super-lig/antalyaspor-gaziantep-IT6XkcSS/,0,2,1
02.11.2020,2020,turkey,super-lig,Hatayspor,Sivasspor,2.91,3.28,2.53,2.07,1.82,1.76,2.07,https://www.oddsportal.com/soccer/turkey/super-lig/hatayspor-sivasspor-C47uJedF/,0,2,1
19.02.2021,2021,turkey,super-lig,Basaksehir,Trabzonspor,2.08,3.37,3.68,2.00,1.87,1.74,2.06,https://www.oddsportal.com/soccer/turkey/super-lig/basaksehir-trabzonspor-dpR7Mbwl/,2,1,0
24.12.2020,2020,turkey,super-lig,Ankaragucu,Besiktas,4.2,3.88,1.82,1.69,2.23,1.63,2.26,https://www.oddsportal.com/soccer/turkey/super-lig/ankaragucu-besiktas-tr6CeGGs/,2,1,0
10.01.2021,2021,turkey,super-lig,Rizespor,Denizlispor,2.28,3.35,3.24,2.01,1.86,1.74,2.07,https://www.oddsportal.com/soccer/turkey/super-lig/rizespor-denizlispor-vDUUQbCq/,0,2,1
21.09.2020,2020,turkey,super-lig,Fenerbahce,Hatayspor,1.76,3.85,4.59,1.76,2.13,1.69,2.16,https://www.oddsportal.com/soccer/turkey/super-lig/fenerbahce-hatayspor-St3SRVwf/,0,0,0
21.02.2021,2021,turkey,super-lig,Erzurum BB,Hatayspor,2.78,3.3,2.59,2.18,1.74,1.82,1.97,https://www.oddsportal.com/soccer/turkey/super-lig/erzurum-bb-hatayspor-IaFGKx80/,2,4,1
12.09.2020,2020,turkey,super-lig,Goztepe,Denizlispor,2.2,3.39,3.39,2.10,1.79,1.84,1.97,https://www.oddsportal.com/soccer/turkey/super-lig/goztepe-denizlispor-lCXDMz2E/,1,6,1
28.11.2020,2020,turkey,super-lig,Rizespor,Galatasaray,3.12,3.28,2.36,2.04,1.83,1.75,2.05,https://www.oddsportal.com/soccer/turkey/super-lig/rizespor-galatasaray-YFk6NV4b/,2,4,0
03.01.2021,2021,turkey,super-lig,Kayserispor,Besiktas,4.11,4.14,1.78,1.61,2.34,1.59,2.33,https://www.oddsportal.com/soccer/turkey/super-lig/kayserispor-besiktas-2kdV7p64/,2,2,0
