date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
14.05.2017,2017,turkey,tff-1-lig-2016-2017,Goztepe,Samsunspor,1.94,3.68,3.68,1.68,2.22,1.59,2.43,https://www.oddsportal.com/soccer/turkey/tff-1-lig-2016-2017/goztepe-samsunspor-YctDJbyh/,1,5,1
29.01.2017,2017,turkey,tff-1-lig-2016-2017,Altinordu,Goztepe,4.3,3.67,1.8,1.96,1.87,1.83,2.0,https://www.oddsportal.com/soccer/turkey/tff-1-lig-2016-2017/altinordu-goztepe-lv27bun0/,2,1,0
19.11.2016,2016,turkey,tff-1-lig-2016-2017,Umraniyespor,Sivasspor,3.77,3.4,1.99,2.06,1.76,1.83,1.91,https://www.oddsportal.com/soccer/turkey/tff-1-lig-2016-2017/umraniyespor-sivasspor-QPlXM0CR/,1,5,1
07.05.2017,2017,turkey,tff-1-lig-2016-2017,Samsunspor,Giresunspor,2.45,3.13,2.93,2.21,1.66,1.9,1.98,https://www.oddsportal.com/soccer/turkey/tff-1-lig-2016-2017/samsunspor-giresunspor-8G8j2c6H/,1,1,0
18.12.2016,2016,turkey,tff-1-lig-2016-2017,Umraniyespor,Gaziantep,1.76,3.54,4.75,2.22,1.66,2.16,1.76,https://www.oddsportal.com/soccer/turkey/tff-1-lig-2016-2017/umraniyespor-gaziantep-A9fasSgB/,1,3,1
25.09.2016,2016,turkey,tff-1-lig-2016-2017,Elazigspor,Giresunspor,2.79,3.16,2.78,2.33,1.66,1.8,1.99,https://www.oddsportal.com/soccer/turkey/tff-1-lig-2016-2017/elazigspor-giresunspor-UZpWzBEl/,1,2,0
25.11.2016,2016,turkey,tff-1-lig-2016-2017,Adana Demirspor,Goztepe,2.72,3.24,2.66,2.12,1.74,1.76,2.04,https://www.oddsportal.com/soccer/turkey/tff-1-lig-2016-2017/adanademirspor-goztepe-84rjwMd8/,1,3,1
14.05.2017,2017,turkey,tff-1-lig-2016-2017,Adana Demirspor,Sivasspor,4.2,3.81,1.78,1.59,2.26,1.54,2.61,https://www.oddsportal.com/soccer/turkey/tff-1-lig-2016-2017/adanademirspor-sivasspor-E7lLHx64/,0,2,1
20.05.2017,2017,turkey,tff-1-lig-2016-2017,Gaziantep,Giresunspor,1.53,4.22,5.69,1.69,2.26,1.8,2.0,https://www.oddsportal.com/soccer/turkey/tff-1-lig-2016-2017/gaziantep-giresunspor-jinhKVR2/,1,3,1
18.02.2017,2017,turkey,tff-1-lig-2016-2017,Manisaspor,Giresunspor,2.75,3.09,2.74,2.26,1.65,1.93,1.95,https://www.oddsportal.com/soccer/turkey/tff-1-lig-2016-2017/manisaspor-giresunspor-dQtj9d0I/,2,3,1
05.11.2016,2016,turkey,tff-1-lig-2016-2017,Adana Demirspor,Eskisehirspor,2.71,3.21,2.56,1.91,1.88,1.58,2.27,https://www.oddsportal.com/soccer/turkey/tff-1-lig-2016-2017/adanademirspor-eskisehirspor-0IsxDPr3/,2,1,0
27.11.2016,2016,turkey,tff-1-lig-2016-2017,Samsunspor,Elazigspor,2.68,3.14,2.77,2.28,1.62,1.88,1.91,https://www.oddsportal.com/soccer/turkey/tff-1-lig-2016-2017/samsunspor-elazigspor-zav7Gbke/,0,0,0
26.09.2016,2016,turkey,tff-1-lig-2016-2017,Manisaspor,Goztepe,3.34,3.06,2.06,1.69,2.20,1.53,2.47,https://www.oddsportal.com/soccer/turkey/tff-1-lig-2016-2017/manisaspor-goztepe-CI4atXjR/,2,3,0
14.05.2017,2017,turkey,tff-1-lig-2016-2017,Elazigspor,Balikesirspor,1.4,4.77,6.83,1.53,2.52,1.66,2.33,https://www.oddsportal.com/soccer/turkey/tff-1-lig-2016-2017/elazigspor-balikesirspor-nLnTFGzH/,1,6,1
25.09.2016,2016,turkey,tff-1-lig-2016-2017,Denizlispor,Mersin,1.56,4.4,5.65,1.61,2.44,1.64,2.23,https://www.oddsportal.com/soccer/turkey/tff-1-lig-2016-2017/denizlispor-mersin-QLUYfW5K/,0,4,1
