date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
05.04.2017,2017,turkey,turkish-cup-2016-2017,Rizespor,Kasimpasa,2.62,3.47,2.69,1.69,2.24,1.57,2.55,https://www.oddsportal.com/soccer/turkey/turkish-cup-2016-2017/rizespor-kasimpasa-nZoLLAK6/,0,4,1
26.10.2016,2016,turkey,turkish-cup-2016-2017,Bursaspor,Yomraspor,1.15,7.95,11.65,1.33,3.04,2.06,1.7,https://www.oddsportal.com/soccer/turkey/turkish-cup-2016-2017/bursaspor-yomraspor-pzitXRc9/,1,3,0
16.05.2017,2017,turkey,turkish-cup-2016-2017,Konyaspor,Kasimpasa,2.03,3.5,3.6,1.88,1.95,1.75,2.16,https://www.oddsportal.com/soccer/turkey/turkish-cup-2016-2017/konyaspor-kasimpasa-O0lEnMeF/,1,2,0
21.09.2016,2016,turkey,turkish-cup-2016-2017,Adana Demirspor,Erzurum BB,1.71,3.98,4.32,1.68,2.22,1.58,2.25,https://www.oddsportal.com/soccer/turkey/turkish-cup-2016-2017/adanademirspor-erzurum-bb-Kle3gyZe/,2,4,1
14.12.2016,2016,turkey,turkish-cup-2016-2017,Aydinspor,Akhisarspor,4.49,3.26,1.76,1.87,2.01,1.77,2.1,https://www.oddsportal.com/soccer/turkey/turkish-cup-2016-2017/aydinspor-akhisarspor-OAkytogR/,0,4,1
13.12.2016,2016,turkey,turkish-cup-2016-2017,Basaksehir,Sivasspor,1.63,3.98,5.38,1.84,1.98,1.88,2.0,https://www.oddsportal.com/soccer/turkey/turkish-cup-2016-2017/basaksehir-sivasspor-bkDjUmfF/,1,2,0
21.09.2016,2016,turkey,turkish-cup-2016-2017,Sariyer,Bodrumspor,1.89,3.52,3.98,1.85,1.97,1.64,2.15,https://www.oddsportal.com/soccer/turkey/turkish-cup-2016-2017/sariyer-bodrumspor-nH0v3l6h/,1,1,0
22.09.2016,2016,turkey,turkish-cup-2016-2017,Kizilcaboluk Spor Kulubu,Mersin,1.51,5.0,4.84,1.61,2.35,1.7,2.06,https://www.oddsportal.com/soccer/turkey/turkish-cup-2016-2017/kizilcabolukspor-mersin-pAFq0njB/,1,6,1
21.09.2016,2016,turkey,turkish-cup-2016-2017,1922 Konyaspor,Altinordu,3.48,3.6,2.0,1.85,1.97,1.66,2.11,https://www.oddsportal.com/soccer/turkey/turkish-cup-2016-2017/1922-konyaspor-altinordu-QReafHJk/,1,1,0
29.11.2016,2016,turkey,turkish-cup-2016-2017,Darica Genclerbirligi,Besiktas,9.26,5.81,1.31,1.61,2.31,2.03,1.77,https://www.oddsportal.com/soccer/turkey/turkish-cup-2016-2017/darica-genclerbirligi-besiktas-zF022v55/,2,3,1
26.10.2016,2016,turkey,turkish-cup-2016-2017,Akhisarspor,Nazillispor,1.31,4.93,8.32,1.67,2.12,1.91,1.81,https://www.oddsportal.com/soccer/turkey/turkish-cup-2016-2017/akhisarspor-nazillispor-jJ41xNZl/,1,7,1
27.12.2016,2016,turkey,turkish-cup-2016-2017,Kirklarelispor,Gaziantepspor,4.19,3.78,1.8,1.67,2.20,1.6,2.31,https://www.oddsportal.com/soccer/turkey/turkish-cup-2016-2017/kirklarelispor-gaziantepspor-hdlbZQIS/,2,4,0
25.01.2017,2017,turkey,turkish-cup-2016-2017,Fenerbahce,Amedspor,1.11,9.92,18.44,1.27,3.54,1.97,1.91,https://www.oddsportal.com/soccer/turkey/turkish-cup-2016-2017/fenerbahce-amedspor-feuTmujC/,1,3,0
