date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
02.06.2017,2017,ukraine,persha-liga-2016-2017,Cherkashchyna,Ternopil,1.2,6.8,11.0,1.46,2.59,2.0,1.73,https://www.oddsportal.com/soccer/ukraine/persha-liga-2016-2017/cherkashchyna-fk-ternopil-AgtO1z9e/,1,3,0
02.10.2016,2016,ukraine,persha-liga-2016-2017,Mykolaiv,Kobra,2.79,3.15,2.42,2.40,1.50,2.05,1.72,https://www.oddsportal.com/soccer/ukraine/persha-liga-2016-2017/mfk-mykolaiv-kobra-O6VSZdq5/,0,0,0
21.05.2017,2017,ukraine,persha-liga-2016-2017,Mariupol,Kolos Kovalivka,1.41,3.68,7.5,2.32,1.53,2.54,1.47,https://www.oddsportal.com/soccer/ukraine/persha-liga-2016-2017/fc-mariupol-kolos-kovalivka-ADQVgnBH/,1,4,1
25.03.2017,2017,ukraine,persha-liga-2016-2017,Arsenal Kiev,Mykolaiv,1.79,3.26,4.23,2.38,1.50,2.26,1.7,https://www.oddsportal.com/soccer/ukraine/persha-liga-2016-2017/arsenal-kiev-mfk-mykolaiv-McmupdP2/,1,1,0
12.05.2017,2017,ukraine,persha-liga-2016-2017,FC Poltava,Kolos Kovalivka,2.33,3.09,2.79,2.30,1.57,1.98,1.77,https://www.oddsportal.com/soccer/ukraine/persha-liga-2016-2017/fc-poltava-kolos-kovalivka-2D6EUVs6/,2,2,0
17.05.2017,2017,ukraine,persha-liga-2016-2017,Kolos Kovalivka,Obolon,1.8,3.4,4.65,2.19,1.65,2.0,1.73,https://www.oddsportal.com/soccer/ukraine/persha-liga-2016-2017/kolos-kovalivka-obolon-0r7ms9RB/,1,2,0
02.06.2017,2017,ukraine,persha-liga-2016-2017,Mykolaiv,Kramatorsk,1.33,5.68,7.02,1.87,1.83,2.0,1.73,https://www.oddsportal.com/soccer/ukraine/persha-liga-2016-2017/mfk-mykolaiv-kramatorsk-ERnF3dvq/,1,1,0
01.06.2017,2017,ukraine,persha-liga-2016-2017,Obolon,Skala Stryj,1.22,5.7,14.5,1.78,1.97,2.61,1.46,https://www.oddsportal.com/soccer/ukraine/persha-liga-2016-2017/obolon-skala-stryj-rqdq9IGL/,1,1,0
27.05.2017,2017,ukraine,persha-liga-2016-2017,Kramatorsk,Mariupol,7.1,3.86,1.5,2.37,1.54,2.38,1.53,https://www.oddsportal.com/soccer/ukraine/persha-liga-2016-2017/kramatorsk-fc-mariupol-IsMAfJ1S/,1,3,1
18.03.2017,2017,ukraine,persha-liga-2016-2017,Mariupol,Arsenal Kiev,1.26,5.0,10.5,1.81,1.95,2.45,1.57,https://www.oddsportal.com/soccer/ukraine/persha-liga-2016-2017/fc-mariupol-arsenal-kiev-EXN1Wxe3/,0,0,0
08.10.2016,2016,ukraine,persha-liga-2016-2017,Cherkashchyna,Sumy,1.14,7.0,16.0,1.48,2.56,2.35,1.55,https://www.oddsportal.com/soccer/ukraine/persha-liga-2016-2017/cherkashchyna-sumy-lEhEofrH/,2,2,0
21.10.2016,2016,ukraine,persha-liga-2016-2017,Kramatorsk,Obolon,2.72,3.15,2.53,2.13,1.69,1.85,1.87,https://www.oddsportal.com/soccer/ukraine/persha-liga-2016-2017/kramatorsk-obolon-fePZNB77/,1,4,1
21.05.2017,2017,ukraine,persha-liga-2016-2017,Arsenal Kiev,Skala Stryj,1.17,6.4,17.0,1.91,1.83,2.75,1.4,https://www.oddsportal.com/soccer/ukraine/persha-liga-2016-2017/arsenal-kiev-skala-stryj-KOXIdlRb/,1,9,1
06.06.2017,2017,ukraine,persha-liga-2016-2017,Sumy,Balkany,1.37,4.82,7.8,1.62,2.23,2.0,1.73,https://www.oddsportal.com/soccer/ukraine/persha-liga-2016-2017/sumy-fk-balkany-2iBA1BoJ/,1,2,0
17.05.2017,2017,ukraine,persha-liga-2016-2017,Desna,Arsenal Kiev,1.18,5.85,13.63,2.06,1.63,3.2,1.3,https://www.oddsportal.com/soccer/ukraine/persha-liga-2016-2017/desna-arsenal-kiev-SU8uqVda/,1,6,1
08.05.2017,2017,ukraine,persha-liga-2016-2017,Kobra,Mykolaiv,2.0,3.0,3.49,2.66,1.42,2.37,1.62,https://www.oddsportal.com/soccer/ukraine/persha-liga-2016-2017/kobra-mfk-mykolaiv-GGYQwzLJ/,1,2,0
21.05.2017,2017,ukraine,persha-liga-2016-2017,Sumy,Kobra,2.19,2.71,2.68,2.33,1.57,1.94,1.81,https://www.oddsportal.com/soccer/ukraine/persha-liga-2016-2017/sumy-kobra-d8Vkasmc/,0,0,0
02.06.2017,2017,ukraine,persha-liga-2016-2017,Sumy,Bukovyna,1.84,3.21,3.44,2.18,1.50,1.73,2.0,https://www.oddsportal.com/soccer/ukraine/persha-liga-2016-2017/sumy-bukovyna-r7vWaEw8/,1,2,0
25.03.2017,2017,ukraine,persha-liga-2016-2017,Desna,Bukovyna,1.36,3.92,8.32,2.07,1.67,2.93,1.45,https://www.oddsportal.com/soccer/ukraine/persha-liga-2016-2017/desna-bukovyna-lEGSzhnk/,0,0,0
22.10.2016,2016,ukraine,persha-liga-2016-2017,Desna,FC Poltava,1.41,4.24,7.9,2.35,1.57,2.65,1.45,https://www.oddsportal.com/soccer/ukraine/persha-liga-2016-2017/desna-fc-poltava-G4QVOih1/,2,1,0
18.03.2017,2017,ukraine,persha-liga-2016-2017,Cherkashchyna,Skala Stryj,1.29,4.18,9.41,2.20,1.57,2.75,1.45,https://www.oddsportal.com/soccer/ukraine/persha-liga-2016-2017/cherkashchyna-skala-stryj-GdKISffS/,1,3,1
19.11.2016,2016,ukraine,persha-liga-2016-2017,Arsenal Kiev,Obolon,2.51,2.89,2.84,2.30,1.53,1.97,1.77,https://www.oddsportal.com/soccer/ukraine/persha-liga-2016-2017/arsenal-kiev-obolon-APMWIJQ3/,1,3,1
19.03.2017,2017,ukraine,persha-liga-2016-2017,Bukovyna,Kramatorsk,2.24,3.12,2.78,2.25,1.55,2.0,1.8,https://www.oddsportal.com/soccer/ukraine/persha-liga-2016-2017/bukovyna-kramatorsk-CS5lNYHk/,0,0,0
22.10.2016,2016,ukraine,persha-liga-2016-2017,Skala Stryj,Arsenal Kiev,2.68,3.19,2.57,2.20,1.62,1.9,1.85,https://www.oddsportal.com/soccer/ukraine/persha-liga-2016-2017/skala-stryj-arsenal-kiev-bTVQPXxe/,0,2,1
15.10.2016,2016,ukraine,persha-liga-2016-2017,Inhulets,Skala Stryj,2.01,2.79,4.14,2.20,1.65,1.95,1.8,https://www.oddsportal.com/soccer/ukraine/persha-liga-2016-2017/inhulets-skala-stryj-QFXIRg8r/,1,1,0
15.10.2016,2016,ukraine,persha-liga-2016-2017,Obolon,Kolos Kovalivka,2.62,3.1,2.75,2.20,1.65,1.85,1.87,https://www.oddsportal.com/soccer/ukraine/persha-liga-2016-2017/obolon-kolos-kovalivka-Kd3Zn4vi/,1,3,1
21.05.2017,2017,ukraine,persha-liga-2016-2017,Mykolaiv,Ternopil,1.25,5.6,11.5,1.70,2.07,2.8,1.41,https://www.oddsportal.com/soccer/ukraine/persha-liga-2016-2017/mfk-mykolaiv-fk-ternopil-nwlaxKup/,1,8,1
