date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
26.10.2016,2016,ukraine,ukrainian-cup-2016-2017,Shakhtar Donetsk,Oleksandriya,1.26,6.0,10.5,1.46,2.60,1.87,1.83,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2016-2017/shakhtar-oleksandriya-W6wWrx0R/,1,3,1
22.09.2016,2016,ukraine,ukrainian-cup-2016-2017,Real Pharma,Obolon,2.89,3.64,1.9,1.72,2.05,1.65,2.21,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2016-2017/real-pharma-odessa-obolon-0UkLmwnD/,2,2,0
21.09.2016,2016,ukraine,ukrainian-cup-2016-2017,Desna,Arsenal Kiev,1.82,3.5,4.18,1.90,1.85,1.77,1.97,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2016-2017/desna-arsenal-kiev-2cCj3Io0/,1,1,0
21.09.2016,2016,ukraine,ukrainian-cup-2016-2017,Cherkashchyna,Feniks Bucha,4.1,3.34,1.89,1.95,1.80,1.85,1.9,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2016-2017/cherkashchyna-fc-feniks-bucha-AaXBA0gQ/,2,4,1
26.04.2017,2017,ukraine,ukrainian-cup-2016-2017,Mykolaiv,Dyn. Kyiv,57.53,13.43,1.05,1.36,2.90,3.85,1.3,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2016-2017/mfk-mykolaiv-dynamo-kyiv-tWTOSKBl/,2,4,0
26.10.2016,2016,ukraine,ukrainian-cup-2016-2017,FC Poltava,Karpaty,4.1,3.13,1.82,2.35,1.60,2.1,1.72,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2016-2017/fc-poltava-karpaty-tIpJovG8/,1,3,1
21.09.2016,2016,ukraine,ukrainian-cup-2016-2017,FC Poltava,Zirka Kropyvnytskyi,3.92,3.68,1.83,1.91,1.84,1.75,2.0,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2016-2017/fc-poltava-zirka-kropyvnytskyi-EXw3CMOD/,1,1,0
21.09.2016,2016,ukraine,ukrainian-cup-2016-2017,Volyn Lutsk,Olimpik Donetsk,2.39,3.28,2.87,1.95,1.79,1.75,2.0,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2016-2017/volyn-lutsk-olimpik-donetsk-EXFf2x16/,1,3,1
26.04.2017,2017,ukraine,ukrainian-cup-2016-2017,Shakhtar Donetsk,Dnipro,1.21,7.03,14.38,1.56,2.43,2.24,1.69,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2016-2017/shakhtar-dnipro-6NKyiRTP/,1,1,0
17.05.2017,2017,ukraine,ukrainian-cup-2016-2017,Shakhtar Donetsk,Dyn. Kyiv,1.78,3.46,4.85,2.22,1.69,2.08,1.82,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2016-2017/shakhtar-dynamo-kyiv-vyDscgUT/,1,1,0
26.07.2017,2017,ukraine,ukrainian-cup-2017-2018,Lviv,Volyn Lutsk,2.88,3.36,2.37,1.99,1.77,1.67,2.1,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2017-2018/lviv-volyn-lutsk-2BmMN3W6/,1,3,0
20.09.2017,2017,ukraine,ukrainian-cup-2017-2018,Kobra,Desna,2.92,2.98,2.52,2.38,1.56,2.1,1.8,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2017-2018/kobra-desna-bZMxbahP/,2,3,1
20.09.2017,2017,ukraine,ukrainian-cup-2017-2018,Kolos Kovalivka,Mariupol,4.5,3.39,1.76,2.12,1.69,1.85,1.87,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2017-2018/kolos-kovalivka-fc-mariupol-xUyrxIV5/,2,3,1
26.07.2017,2017,ukraine,ukrainian-cup-2017-2018,Nikopol,Arsenal Kiev,4.72,3.74,1.7,1.89,1.85,1.85,1.89,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2017-2018/fc-nikopol-arsenal-kiev-KnbHOqH0/,2,1,0
26.07.2017,2017,ukraine,ukrainian-cup-2017-2018,Demnya,Zhytomyr,1.58,4.42,4.86,1.80,1.95,1.79,1.96,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2017-2018/css-demnya-zhytomyr-6qfDPP1f/,1,1,0
26.07.2017,2017,ukraine,ukrainian-cup-2017-2018,Nyva Ternopil,Prykarpattya,2.09,2.75,2.58,2.13,1.67,1.91,1.83,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2017-2018/nyva-ternopil-prykarpattya-ivano-frankivsk-babtY5v8/,2,2,0
26.07.2017,2017,ukraine,ukrainian-cup-2017-2018,Kramatorsk,Mykolaiv,1.69,3.52,4.94,2.16,1.65,1.91,1.8,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2017-2018/kramatorsk-mfk-mykolaiv-CrdUz8fk/,1,1,0
26.07.2017,2017,ukraine,ukrainian-cup-2017-2018,Inhulets,FC Poltava,2.43,3.12,2.87,2.17,1.62,1.91,1.8,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2017-2018/inhulets-fc-poltava-K8axZoP1/,1,4,1
29.11.2017,2017,ukraine,ukrainian-cup-2017-2018,Vorskla Poltava,Mariupol,2.08,3.17,3.76,2.38,1.57,2.22,1.71,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2017-2018/vorskla-poltava-fc-mariupol-O6spx2QO/,2,3,1
26.07.2017,2017,ukraine,ukrainian-cup-2017-2018,Nova Kakhovka,Zhemchuzhyna Odesa,2.71,3.52,2.43,1.95,1.80,1.75,2.08,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2017-2018/nova-kakhovka-zhemchuzhyna-odesa-dzzZYTv8/,2,5,1
26.07.2017,2017,ukraine,ukrainian-cup-2017-2018,Desna,Balkany,1.35,4.72,9.84,2.03,1.76,2.25,1.57,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2017-2018/desna-fk-balkany-40wsX79K/,1,4,0
20.09.2017,2017,ukraine,ukrainian-cup-2017-2018,Kramatorsk,Vorskla Poltava,5.29,3.79,1.61,2.09,1.69,1.99,1.84,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2017-2018/kramatorsk-vorskla-poltava-r7xvwbGa/,2,2,0
25.10.2017,2017,ukraine,ukrainian-cup-2017-2018,Prykarpattya,Desna,5.44,4.12,1.53,1.67,2.11,1.74,2.19,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2017-2018/prykarpattya-ivano-frankivsk-desna-ruUpc3ff/,2,2,0
20.09.2017,2017,ukraine,ukrainian-cup-2017-2018,Demnya,Lviv,8.77,4.71,1.28,1.78,2.00,2.2,1.69,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2017-2018/css-demnya-lviv-r7b9hwGn/,2,3,1
09.05.2018,2018,ukraine,ukrainian-cup-2017-2018,Dyn. Kyiv,Shakhtar Donetsk,4.01,3.5,1.9,2.25,1.73,1.96,1.92,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2017-2018/dynamo-kyiv-shakhtar-jy2A8Pk2/,2,2,0
26.07.2017,2017,ukraine,ukrainian-cup-2017-2018,Kolos Kovalivka,Cherkashchyna,1.46,3.88,8.35,2.27,1.61,2.25,1.57,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2017-2018/kolos-kovalivka-cherkashchyna-YVe5RoXs/,1,5,1
29.11.2017,2017,ukraine,ukrainian-cup-2017-2018,Desna,Dyn. Kyiv,12.9,6.45,1.23,1.61,2.32,2.42,1.59,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2017-2018/desna-dynamo-kyiv-QBLS0o3P/,2,2,0
20.09.2017,2017,ukraine,ukrainian-cup-2017-2018,Prykarpattya,Karpaty,6.95,4.7,1.41,1.59,2.28,1.96,1.95,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2017-2018/prykarpattya-ivano-frankivsk-karpaty-dA2DicVh/,1,3,1
18.04.2018,2018,ukraine,ukrainian-cup-2017-2018,Shakhtar Donetsk,Mariupol,1.07,11.93,39.88,1.35,3.25,3.4,1.36,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2017-2018/shakhtar-fc-mariupol-4CXQHD7I/,1,6,1
22.08.2018,2018,ukraine,ukrainian-cup-2018-2019,Kremin,Zirka Kropyvnytskyi,1.56,3.23,7.27,2.49,1.52,2.42,1.62,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2018-2019/kremin-zirka-kropyvnytskyi-EeCcf103/,2,3,1
18.07.2018,2018,ukraine,ukrainian-cup-2018-2019,Nova Kakhovka,Krystal,1.5,4.04,5.4,1.55,2.35,1.58,2.25,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2018-2019/nova-kakhovka-krystal-A7HZRlxI/,2,1,0
25.09.2018,2018,ukraine,ukrainian-cup-2018-2019,Sumy,Karpaty,16.0,8.5,1.12,1.26,3.54,1.83,1.65,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2018-2019/sumy-karpaty-WOdVuzFD/,2,3,0
22.08.2018,2018,ukraine,ukrainian-cup-2018-2019,Balkany,Mykolaiv,2.33,3.0,3.44,2.85,1.44,2.24,1.65,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2018-2019/fk-balkany-mfk-mykolaiv-rVG1gLF9/,2,1,0
31.10.2018,2018,ukraine,ukrainian-cup-2018-2019,Shakhtar Donetsk,Olimpik Donetsk,1.16,7.53,17.75,1.58,2.38,2.49,1.59,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2018-2019/shakhtar-olimpik-donetsk-C2jlpqVg/,1,5,1
31.10.2018,2018,ukraine,ukrainian-cup-2018-2019,Ch. Odessa,Vorskla Poltava,2.82,2.77,2.38,2.40,1.51,2.1,1.72,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2018-2019/ch-odessa-vorskla-poltava-pGldrNa6/,2,3,1
26.09.2018,2018,ukraine,ukrainian-cup-2018-2019,Ch. Odessa,Oleksandriya,1.96,3.02,3.83,2.45,1.50,2.25,1.7,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2018-2019/ch-odessa-oleksandriya-d64IrxVf/,1,3,0
22.08.2018,2018,ukraine,ukrainian-cup-2018-2019,Cherkashchyna,Rukh Lviv,3.5,3.08,2.13,2.37,1.55,2.11,1.79,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2018-2019/cherkashchyna-rukh-lviv-QZV2YJwp/,1,4,1
07.04.2019,2019,ukraine,ukrainian-cup-2018-2019,Lviv,FK Zorya Luhansk,3.88,3.26,2.04,2.36,1.58,1.95,1.91,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2018-2019/lviv-zorya-nwtc7cwd/,2,1,0
15.05.2019,2019,ukraine,ukrainian-cup-2018-2019,Shakhtar Donetsk,Inhulets,1.17,7.55,15.63,1.51,2.65,2.45,1.61,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2018-2019/shakhtar-inhulets-UPuxxhO1/,1,4,0
26.09.2018,2018,ukraine,ukrainian-cup-2018-2019,Hornostayivka,Inhulets,5.12,3.62,1.61,2.08,1.70,1.96,1.85,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2018-2019/myr-hornostajivka-inhulets-pSpD4JiE/,2,3,0
22.08.2018,2018,ukraine,ukrainian-cup-2018-2019,Inhulets,Kolos Kovalivka,1.87,3.29,4.61,2.34,1.61,2.1,1.8,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2018-2019/inhulets-kolos-kovalivka-zXZQgU9h/,1,1,0
17.04.2019,2019,ukraine,ukrainian-cup-2018-2019,Inhulets,FK Zorya Luhansk,6.25,3.96,1.55,2.16,1.73,2.19,1.74,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2018-2019/inhulets-zorya-CE6gq11H/,1,3,1
22.08.2018,2018,ukraine,ukrainian-cup-2018-2019,Minaj,Prykarpattya,2.2,3.38,2.68,2.36,1.55,2.18,1.74,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2018-2019/minaj-prykarpattya-ivano-frankivsk-lzvVhlPb/,1,4,1
22.08.2018,2018,ukraine,ukrainian-cup-2018-2019,Metalist 1925,Obolon,1.71,3.44,5.15,2.65,1.42,2.45,1.61,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2018-2019/metalist-1925-obolon-rcwZi8v5/,1,2,0
31.10.2018,2018,ukraine,ukrainian-cup-2018-2019,Cherkashchyna,Karpaty,11.25,6.55,1.23,1.60,2.40,2.05,1.84,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2018-2019/cherkashchyna-karpaty-4fbGmIyn/,2,1,0
31.10.2018,2018,ukraine,ukrainian-cup-2018-2019,Inhulets,Mariupol,3.87,3.13,1.83,2.36,1.59,2.1,1.73,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2018-2019/inhulets-fc-mariupol-banpoPFm/,1,4,1
31.10.2018,2018,ukraine,ukrainian-cup-2018-2019,Minaj,Dyn. Kyiv,16.88,8.4,1.13,1.55,2.46,2.4,1.63,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2018-2019/minaj-dynamo-kyiv-trr5t1UI/,2,4,1
18.07.2018,2018,ukraine,ukrainian-cup-2018-2019,Nikopol,Hornostayivka,1.98,3.46,3.32,1.80,1.95,1.6,2.2,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2018-2019/fc-nikopol-myr-hornostajivka-4UGwR8iO/,2,5,1
26.09.2018,2018,ukraine,ukrainian-cup-2018-2019,Minaj,Mykolaiv,2.05,3.3,3.63,2.10,1.65,1.83,1.91,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2018-2019/minaj-mfk-mykolaiv-hYcRtGa7/,1,4,1
26.09.2018,2018,ukraine,ukrainian-cup-2018-2019,Krystal,Desna,8.22,4.89,1.22,1.55,2.30,2.1,1.75,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2018-2019/krystal-desna-2q5EqIFl/,2,5,1
31.10.2018,2018,ukraine,ukrainian-cup-2018-2019,Kryvbas 2020,Lviv,9.45,4.9,1.33,1.74,2.09,2.22,1.73,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2018-2019/kryvbas-2020-lviv-hKfClbMu/,2,1,0
25.09.2019,2019,ukraine,ukrainian-cup-2019-2020,Mykolaiv,Ch. Odessa,1.94,3.57,3.61,1.85,2.00,1.71,2.25,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2019-2020/mfk-mykolaiv-ch-odessa-CUrcwEZ4/,1,1,0
27.08.2019,2019,ukraine,ukrainian-cup-2019-2020,Kalush,Minaj,2.71,3.33,2.51,1.90,1.88,1.73,2.22,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2019-2020/kalush-minaj-rk9b6ZyE/,2,3,1
20.08.2019,2019,ukraine,ukrainian-cup-2019-2020,Kryvbas 2020,Chaika,1.55,4.13,5.43,1.77,2.04,1.82,1.88,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2019-2020/kryvbas-2020-chaika-petropavlivska-borshchahivka-txVAcWJ5/,2,1,0
27.08.2019,2019,ukraine,ukrainian-cup-2019-2020,Mykolaiv,Prykarpattya,1.9,3.57,3.82,1.86,1.93,1.73,2.22,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2019-2020/mfk-mykolaiv-prykarpattya-ivano-frankivsk-dhD25giK/,1,6,1
02.10.2019,2019,ukraine,ukrainian-cup-2019-2020,Rukh Lviv,Mariupol,2.19,3.8,2.82,1.77,2.04,1.72,2.23,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2019-2020/rukh-lviv-fc-mariupol-GOQOiDlb/,2,1,0
30.10.2019,2019,ukraine,ukrainian-cup-2019-2020,Minaj,Lviv,2.38,3.31,3.03,2.29,1.67,1.92,1.97,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2019-2020/minaj-lviv-21pGVj9i/,1,2,0
27.08.2019,2019,ukraine,ukrainian-cup-2019-2020,Inhulets,Metalist 1925,1.46,4.03,7.4,2.31,1.60,2.65,1.53,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2019-2020/inhulets-metalist-1925-hObYaXEs/,1,2,0
20.08.2019,2019,ukraine,ukrainian-cup-2019-2020,Nyva Vinnytsya,Nikopol,1.63,4.08,4.69,1.83,1.95,1.81,1.89,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2019-2020/nyva-vinnytsya-fc-nikopol-0t2yEi4n/,1,6,1
27.08.2019,2019,ukraine,ukrainian-cup-2019-2020,Cherkashchyna,Kremin,2.46,3.5,2.59,1.65,2.10,1.52,2.69,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2019-2020/cherkashchyna-kremin-G2qbfTrJ/,2,3,1
30.10.2019,2019,ukraine,ukrainian-cup-2019-2020,Kolos Kovalivka,Vorskla Poltava,2.28,3.26,3.24,2.38,1.62,1.98,1.9,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2019-2020/kolos-kovalivka-vorskla-poltava-A7cU7mHp/,2,1,0
11.03.2020,2020,ukraine,ukrainian-cup-2019-2020,Alliance,Mariupol,5.92,3.96,1.56,2.02,1.84,1.92,1.82,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2019-2020/alliance-lipova-dolina-fc-mariupol-pnih7TM8/,2,6,1
17.06.2020,2020,ukraine,ukrainian-cup-2019-2020,Minaj,Dyn. Kyiv,12.45,6.89,1.19,1.45,2.63,2.11,1.68,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2019-2020/minaj-dynamo-kyiv-KGkyGs5p/,2,2,0
20.08.2019,2019,ukraine,ukrainian-cup-2019-2020,Podillya Khmelnytskyi,Zhytomyr,3.88,3.61,1.86,1.91,1.88,1.77,1.94,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2019-2020/fc-podillya-khmelnytskyi-zhytomyr-Mk3XEXlt/,1,1,0
27.08.2019,2019,ukraine,ukrainian-cup-2019-2020,Dinaz Vyshgorod,Nyva Vinnytsya,2.19,3.42,3.13,1.80,1.99,1.73,2.16,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2019-2020/dinaz-vyshgorod-nyva-vinnytsya-tpVFsjaD/,1,1,0
27.08.2019,2019,ukraine,ukrainian-cup-2019-2020,Tavriya,Bukovyna,2.04,3.5,3.54,1.75,2.05,1.8,2.11,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2019-2020/tavriya-bukovyna-rDiocVb0/,2,5,1
30.10.2019,2019,ukraine,ukrainian-cup-2019-2020,Mariupol,Olimpik Donetsk,2.11,3.26,3.67,2.25,1.69,1.95,1.93,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2019-2020/fc-mariupol-olimpik-donetsk-xKxTSlgA/,1,1,0
20.08.2019,2019,ukraine,ukrainian-cup-2019-2020,Nova Kakhovka,Bukovyna,1.37,4.79,7.7,1.70,2.16,2.11,1.65,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2019-2020/nova-kakhovka-bukovyna-KMt2ahkg/,2,5,1
20.08.2019,2019,ukraine,ukrainian-cup-2019-2020,Tavriya,Real Pharma,1.75,3.8,4.25,1.85,1.95,1.8,2.11,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2019-2020/tavriya-real-pharma-odessa-8nwb0YZn/,1,5,0
25.09.2019,2019,ukraine,ukrainian-cup-2019-2020,Kremin,Olimpik Donetsk,9.6,6.2,1.28,1.48,2.56,2.05,1.85,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2019-2020/kremin-olimpik-donetsk-revgvfKb/,2,5,1
12.03.2020,2020,ukraine,ukrainian-cup-2019-2020,Desna,Vorskla Poltava,1.72,3.6,4.91,2.22,1.68,1.89,1.86,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2019-2020/desna-vorskla-poltava-0xf44R6R/,2,1,0
30.10.2019,2019,ukraine,ukrainian-cup-2019-2020,Mykolaiv,Desna,11.13,6.03,1.23,1.52,2.52,2.17,1.76,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup-2019-2020/mfk-mykolaiv-desna-jNGcD9gN/,2,6,1
28.08.2020,2020,ukraine,ukrainian-cup,Karpaty Halych,Nyva Ternopil,7.1,4.38,1.38,1.60,2.25,1.8,1.85,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup/karpaty-halych-nyva-ternopil-txshSWba/,2,3,1
30.09.2020,2020,ukraine,ukrainian-cup,Prykarpattya,Kolos Kovalivka,9.2,5.38,1.29,1.53,2.50,1.91,1.85,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup/prykarpattya-ivano-frankivsk-kolos-kovalivka-GxnUjTI7/,2,1,0
28.08.2020,2020,ukraine,ukrainian-cup,Chaika,Zhytomyr,4.94,4.06,1.56,1.61,2.21,1.73,2.06,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup/chaika-petropavlivska-borshchahivka-zhytomyr-GfZ4PUrI/,2,1,0
02.12.2020,2020,ukraine,ukrainian-cup,Oleksandriya,Minaj,1.73,3.74,4.71,2.06,1.80,2.01,1.76,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup/oleksandriya-minaj-AaD1xMnc/,1,3,0
30.09.2020,2020,ukraine,ukrainian-cup,Dunaivtsi,Ahrobiznes Volochysk,5.65,4.12,1.54,1.75,2.13,1.85,1.91,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup/epitsentr-dunaivtsi-ahrobiznes-volochysk-Is4s0XeL/,2,3,1
16.09.2020,2020,ukraine,ukrainian-cup,Volyn Lutsk,Prykarpattya,1.84,3.75,3.82,1.56,2.42,1.57,2.34,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup/volyn-lutsk-prykarpattya-ivano-frankivsk-ENxW0No4/,2,1,0
30.09.2020,2020,ukraine,ukrainian-cup,Zhytomyr,Minaj,4.35,3.2,1.91,2.55,1.51,2.25,1.61,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup/zhytomyr-minaj-dYOGEWAE/,2,3,1
16.12.2020,2020,ukraine,ukrainian-cup,Desna,FK Zorya Luhansk,3.04,3.37,2.28,2.05,1.76,1.8,1.97,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup/desna-zorya-MwyBFbup/,2,1,0
16.09.2020,2020,ukraine,ukrainian-cup,Obolon,Zhytomyr,1.57,4.14,5.7,1.77,2.03,1.83,1.93,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup/obolon-zhytomyr-8pxz0s1A/,2,1,0
30.09.2020,2020,ukraine,ukrainian-cup,Desna,Rukh Lviv,1.37,4.69,8.02,1.80,2.01,2.14,1.67,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup/desna-rukh-lviv-EDkDfBJr/,1,3,1
02.12.2020,2020,ukraine,ukrainian-cup,Ahrobiznes Volochysk,Vorskla Poltava,4.88,3.82,1.68,2.09,1.78,1.98,1.8,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup/ahrobiznes-volochysk-vorskla-poltava-O2H5yt23/,1,1,0
30.09.2020,2020,ukraine,ukrainian-cup,Mykolaivka,Mariupol,9.63,5.88,1.25,1.53,2.51,2.04,1.72,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup/victoria-mykolaivka-fc-mariupol-C43oaiBR/,2,4,1
