date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
31.05.2017,2017,usa,mls-2017,Orlando City,DC United,1.61,4.16,5.42,1.62,2.29,1.7,2.24,https://www.oddsportal.com/soccer/usa/mls-2017/orlando-city-dc-united-UgRP9kqK/,1,2,0
25.06.2017,2017,usa,mls-2017,Minnesota United,Vancouver Whitecaps,2.42,3.48,2.87,1.70,2.19,1.61,2.45,https://www.oddsportal.com/soccer/usa/mls-2017/minnesota-united-vancouver-whitecaps-8v73MsoG/,0,4,1
06.05.2017,2017,usa,mls-2017,Seattle Sounders,Toronto FC,1.65,3.99,5.32,1.72,2.18,1.74,2.19,https://www.oddsportal.com/soccer/usa/mls-2017/seattle-sounders-toronto-fc-dxeAaaM5/,2,1,0
26.10.2017,2017,usa,mls-2017,Vancouver Whitecaps,San Jose Earthquakes,1.77,3.77,4.49,1.70,2.16,1.65,2.22,https://www.oddsportal.com/soccer/usa/mls-2017/vancouver-whitecaps-san-jose-earthquakes-8A5MUYc1/,1,5,0
19.08.2017,2017,usa,mls-2017,Club de Foot Montreal,Real Salt Lake,1.95,3.81,3.7,1.60,2.34,1.56,2.58,https://www.oddsportal.com/soccer/usa/mls-2017/club-de-foot-montreal-real-salt-lake-hI7vvIzn/,1,4,1
07.10.2017,2017,usa,mls-2017,New York Red Bulls,Vancouver Whitecaps,1.44,4.51,7.12,1.53,2.47,1.67,2.18,https://www.oddsportal.com/soccer/usa/mls-2017/new-york-red-bulls-vancouver-whitecaps-p6DHbAIS/,1,3,0
03.04.2017,2017,usa,mls-2017,Portland Timbers,New England Revolution,1.75,4.01,4.68,1.60,2.34,1.6,2.46,https://www.oddsportal.com/soccer/usa/mls-2017/portland-timbers-new-england-revolution-AHCZ4ou2/,0,2,1
31.05.2017,2017,usa,mls-2017,New York City,New England Revolution,1.85,3.81,4.06,1.45,2.72,1.5,2.76,https://www.oddsportal.com/soccer/usa/mls-2017/new-york-city-new-england-revolution-vui5Dn2o/,0,4,1
23.04.2017,2017,usa,mls-2017,Real Salt Lake,Atlanta Utd,2.04,3.61,3.57,1.61,2.32,1.59,2.5,https://www.oddsportal.com/soccer/usa/mls-2017/real-salt-lake-atlanta-united-6Hs2yJFt/,2,4,1
16.04.2017,2017,usa,mls-2017,Houston Dynamo,Minnesota United,1.49,4.71,6.63,1.53,2.55,1.67,2.37,https://www.oddsportal.com/soccer/usa/mls-2017/houston-dynamo-minnesota-united-ltByLcVa/,0,4,1
17.05.2017,2017,usa,mls-2017,Philadelphia Union,Houston Dynamo,2.05,3.58,3.55,1.67,2.21,1.63,2.41,https://www.oddsportal.com/soccer/usa/mls-2017/philadelphia-union-houston-dynamo-zDw5qgVE/,1,2,0
22.04.2017,2017,usa,mls-2017,Portland Timbers,Vancouver Whitecaps,1.66,3.95,5.21,1.69,2.22,1.72,2.25,https://www.oddsportal.com/soccer/usa/mls-2017/portland-timbers-vancouver-whitecaps-v1OqqvxP/,1,3,1
20.08.2017,2017,usa,mls-2017,Vancouver Whitecaps,Houston Dynamo,2.11,3.55,3.44,1.72,2.16,1.64,2.38,https://www.oddsportal.com/soccer/usa/mls-2017/vancouver-whitecaps-houston-dynamo-Ag2qwxjh/,1,3,1
13.05.2017,2017,usa,mls-2017,New England Revolution,Real Salt Lake,1.46,4.71,6.82,1.59,2.43,1.76,2.16,https://www.oddsportal.com/soccer/usa/mls-2017/new-england-revolution-real-salt-lake-xb74uPCq/,1,4,0
29.04.2017,2017,usa,mls-2017,Club de Foot Montreal,Vancouver Whitecaps,1.87,3.67,4.18,1.73,2.15,1.7,2.27,https://www.oddsportal.com/soccer/usa/mls-2017/club-de-foot-montreal-vancouver-whitecaps-fDbg3sNt/,2,3,1
